"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"1","1/18 Fourth Avenue Eastwood 2122",3,2,2,1366666,2022-11-18
"2","7/4-6 Lincoln Street Eastwood 2122",3,2,2,1600000,2022-06-07
"3","1/12A Darvall Road Eastwood 2122",3,3,2,1950000,2022-06-01
"4","Townhouse/2 Waratah Street Eastwood 2122",5,3,2,2090000,2022-03-02
"5","7/17 Woorang Street Eastwood 2122",3,2,1,1515000,2022-02-03
"6","1/20 Alexandria Avenue Eastwood 2122",4,2,2,1950000,2021-08-03
"7","31 Avondale Way Eastwood 2122",4,2,2,1910000,2021-07-31
"8","1/13 Corunna Road Eastwood 2122",5,3,2,1880000,2021-03-09
"9","1/50 Denistone Road Eastwood 2122",3,2,2,1030000,2020-11-28
"10","39 Birchgrove Crescent Eastwood 2122",3,2,2,1520000,2020-10-03
"11","1/19 Alexandria Ave Eastwood 2122",5,3,2,1628000,2019-12-06
"12","1/28 Lincoln Street Eastwood 2122",4,3,2,1545000,2019-11-22
"13","2/27-29 Munro Street Eastwood 2122",3,2,2,1250000,2019-10-28
"14","109 Vimiera Road Eastwood 2122",5,3,2,1400000,2019-10-03
"15","109C Vimiera Road Eastwood 2122",5,3,2,1320000,2019-09-14
"16","3/19 Alexandria Avenue Eastwood 2122",3,2,2,1150000,2019-04-04
"17","1/18 Fourth Avenue Eastwood 2122",3,2,2,1068000,2018-11-14
"18","1/45a Terry Road Eastwood 2122",3,1,1,1025000,2018-08-03
"19","1/69 Tarrants Avenue Eastwood 2122",3,2,2,1060000,2018-07-28
"20","13 Terry Road Eastwood 2122",4,3,1,1625000,2018-05-26
"21","6/601 Blaxland Ave Eastwood 2122",3,2,2,1545000,2017-07-27
"22","1/22 Sheehan Street Eastwood 2122",3,3,2,1450000,2017-04-11
"23","6/22 Sheehan Street Eastwood 2122",3,3,2,1500000,2016-12-17
"24","4/29-31 Rutledge Street Eastwood 2122",3,2,1,1100000,2016-10-13
"25","4/15-19 Woorang Street Eastwood 2122",4,2,2,1350000,2016-05-16
