"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"1","5/1-3 Pegler Avenue Granville 2142",4,3,2,770000,2023-03-02
"2","13/104-110 Elizabeth Street Granville 2142",3,2,2,675000,2023-01-17
"3","3/25-27 Dixmude Street Granville 2142",3,2,3,690000,2022-12-16
"4","3/149 Blaxcell Street Granville 2142",3,1,2,695000,2022-12-09
"5","12/162 William Street Granville 2142",3,2,1,625000,2022-11-07
"6","1/9 Gray Street Granville 2142",3,2,2,661000,2022-11-02
"7","3/18 The Trongate Granville 2142",2,1,2,573800,2022-10-20
"8","1/1 Louis Street Granville 2142",3,2,2,740000,2022-10-13
"9","11/63-65 Victoria Street Granville 2142",3,2,2,717500,2022-08-17
"10","14/162 William Street Granville 2142",3,2,2,710000,2022-08-04
"11","13/162 William Street Granville 2142",3,2,2,680000,2022-06-28
"12","3/33 Louis Street Granville 2142",4,2,2,877000,2022-05-27
"13","10/143 Blaxcell Street Granville 2142",2,2,1,610000,2022-05-09
"14","12/23 Elizabeth Street Granville 2142",3,2,2,770000,2022-04-02
"15","1/27-29 John Street Granville 2142",3,2,2,770000,2022-03-19
"16","14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,2022-02-04
"17","14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,2022-02-04
"18","11/33 Louis Street Granville 2142",4,2,2,825000,2022-01-31
"19","3/166-168 The Trongate Granville 2142",3,2,2,710000,2022-01-27
"20","4/39-47 Wellington Road Granville 2142",2,2,1,590000,2021-10-29
"21","1/35-37 Wellington Road Granville 2142",3,2,2,664000,2021-10-23
"22","7/9 Gray Street Granville 2142",3,2,2,685000,2021-10-09
"23","5/43 Crown Street Granville 2142",2,1,1,535000,2021-10-01
"24","9/63-65 Victoria St. Granville 2142",5,3,2,850000,2021-09-26
"25","9/39-47 Wellington Road Granville 2142",2,2,1,550000,2021-09-03
"26","5/19-21 Lavinia Street Granville 2142",3,2,1,750000,2021-08-23
"27","14/26-30 Elizabeth Street Granville 2142",3,2,1,705000,2021-07-09
"28","11/63-65 Victoria Street Granville 2142",3,2,2,685000,2021-07-08
"29","5/27-29 John Street Granville 2142",3,2,3,734000,2021-07-03
"30","12/63-65 Victoria Street Granville 2142",3,2,2,690000,2021-07-01
"31","21/33 Louis Street Granville 2142",3,2,2,825000,2021-06-16
"32","1/48 Pegler Avenue Granville 2142",3,2,2,690000,2021-05-22
"33","2/335-339 Blaxcell St Granville 2142",3,2,1,637500,2021-03-15
"34","4/39-47 Wellington Road Granville 2142",2,2,1,550777,2021-01-29
"35","4/32 alfred st Granville 2142",4,2,1,723000,2020-12-24
"36","3/87 Good Street Granville 2142",3,3,2,781000,2020-11-28
"37","13/335 Blaxcell Street Granville 2142",3,2,2,630000,2020-11-20
"38","6/317 Blaxcell Street Granville 2142",3,2,2,650000,2020-11-13
"39","3/151 Blaxcell Street Granville 2142",3,3,2,655000,2020-10-30
"40","3/104-110 Elizabeth Street Granville 2142",3,2,2,643000,2020-10-02
"41","16/162 William Street Granville 2142",3,2,2,638000,2020-08-20
"42","2/166-168 The Trongate Granville 2142",3,2,2,677000,2020-07-07
"43","16/63-65 Victoria Street Granville 2142",3,2,2,715000,2020-06-16
"44","6/1-3 Louis Street Granville 2142",3,2,1,695000,2020-04-02
"45","4/1 Louis Street Granville 2142",3,3,2,720000,2020-02-06
"46","7/35 wellington Street Granville 2142",3,2,1,555000,2019-07-23
"47","4/26-30 Elizabeth Street Granville 2142",3,2,2,635000,2019-05-10
"48","6/39 Wellington Road Granville 2142",2,2,1,430000,2019-04-29
"49","5/39-47 Wellington Road Granville 2142",2,2,1,460000,2019-04-03
"50","4/124 Railway Street Granville 2142",2,2,1,510000,2018-12-20
"51","3/335-339 Blaxcell Street Granville 2142",3,2,1,6e+05,2018-10-07
"52","4/143-145 Blaxcell Street Granville 2142",3,2,1,676500,2018-05-29
"53","14/335-339 Blaxcell Street Granville 2142",3,2,2,649999,2018-04-30
"54","3/17-19 Wallace Street Granville 2142",3,2,2,685000,2018-04-07
"55","11/104 Elizabeth St Granville 2142",3,2,2,678000,2017-09-25
"56","2/289 Clyde Street Granville 2142",3,2,1,650000,2017-07-31
"57","Unit 12/104-110 Elizabeth Street Granville 2142",3,2,2,690000,2017-07-21
"58","1/289 Clyde Street Granville 2142",3,2,2,640000,2017-06-21
"59","11/162 William Street Granville 2142",3,2,2,635000,2017-06-19
"60","7/9 Gray Street Granville 2142",3,2,2,720000,2017-06-03
"61","4/39-47 Wellington Road Granville 2142",2,2,1,518000,2017-05-09
"62","14/162 William Street Granville 2142",3,2,2,635000,2017-03-31
"63","14/162 William Street Granville 2142",3,2,2,635000,2017-03-31
"64","1/335-339 Blaxcell Street Granville 2142",2,1,1,527000,2017-02-04
"65","4/151 Blaxcell St Granville 2142",3,2,2,680000,2017-01-06
"66","5/26-30 Elizabeth Street Granville 2142",3,2,2,720000,2016-09-03
"67","2/1-3 Louis Street Granville 2142",3,2,2,725000,2016-07-29
"68","7/54 William Street Granville 2142",2,2,1,530000,2016-07-04
"69","4/63-65 Victoria Street Granville 2142",3,2,2,725000,2016-06-24
"70","Unit 1/9 Gray Street Granville 2142",3,2,2,696000,2016-01-30
"71","5/149 Blaxcell Street Granville 2142",3,1,2,590000,2016-01-12
"72","Unit 7/34-38 Elizabeth Street Granville 2142",3,2,3,690000,2015-10-31
"73","8/35 Wellington Road Granville 2142",2,2,1,562080,2015-10-19
"74","4/28 Inkerman Street Granville 2142",3,2,1,795000,2015-10-03
"75","12/143-145 Blaxcell Street Granville 2142",3,3,2,753500,2015-09-25
"76","15/23 Elizabeth St Granville 2142",3,2,2,785000,2015-09-16
"77","8/50 William Street Granville 2142",2,1,1,550000,2015-09-09
"78","2/162 William Street Granville 2142",3,2,2,649500,2015-09-04
"79","5/335-339 Blaxcell Street Granville 2142",3,2,1,555000,2015-05-23
"80","6/54 William Street Granville 2142",2,1,1,510000,2015-04-29
"81","7/17-19 Wallace Street Granville 2142",3,2,2,680000,2015-04-17
"82","Unit 9/26-30 Elizabeth Street Granville 2142",3,2,2,665000,2015-03-28
"83","Unit 4/17-19 Brussels Street Granville 2142",3,2,2,540000,2015-03-28
"84","3/92-94 Clyde Street Granville 2142",3,2,2,621000,2015-03-13
"85","Unit 10/36-40 Louis Street Granville 2142",3,2,2,652000,2015-02-21
"86","7/104-110 Elizabeth Street Granville 2142",4,3,4,655000,2015-02-10
"87","2/1 Pegler Avenue Granville 2142",3,2,1,565000,2014-11-24
"88","Unit 1/104-110 Elizabeth Street Granville 2142",4,4,3,720000,2014-11-08
