"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"1","28/10-14 Arthur Street Merrylands 2160",2,1,1,645000,2023-03-16
"2","26/59-61 Neil Street Merrylands 2160",2,1,1,480000,2023-02-07
"3","7/21 St Ann Street Merrylands 2160",2,2,1,645000,2023-02-06
"4","3/11-13 Torrens Street Merrylands 2160",3,1,1,555000,2022-12-20
"5","7/9-11 Kimberley Street Merrylands 2160",3,2,2,706000,2022-11-11
"6","9/6-8 Addlestone Road Merrylands 2160",3,1,1,625000,2022-10-13
"7","11/102-104 Lackey Street Merrylands 2160",3,3,2,638000,2022-10-01
"8","5/92 Burnett Street Merrylands 2160",2,2,2,642000,2022-09-26
"9","3/59-61 Lavinia Street Merrylands 2160",3,2,1,630000,2022-09-23
"10","5/158-160 Railway Terrace Merrylands 2160",3,2,2,710000,2022-07-12
"11","15/58-60 St Ann Street Merrylands 2160",2,1,2,610000,2022-07-02
"12","26/59-61 Neil Street Merrylands 2160",2,1,1,470000,2022-06-21
"13","8/79 Woodpark Road Merrylands 2160",2,2,1,605000,2022-04-06
"14","2/71-73 Lavinia Street Merrylands 2160",3,3,1,795000,2022-03-22
"15","4/52 Newman Street Merrylands 2160",3,2,1,760000,2022-03-18
"16","2/3 Manchester Street Merrylands 2160",3,1,2,745000,2022-02-28
"17","4/17 Lansdowne Street Merrylands 2160",2,1,2,630000,2022-02-15
"18","9/11 ELLIS STREET Merrylands 2160",2,1,1,660000,2022-02-14
"19","2/36-38 Manchester Street Merrylands 2160",3,1,1,638800,2022-02-08
"20","23/59-61 Neil Street Merrylands 2160",2,1,1,480500,2022-02-04
"21","1/59-61 Lavinia Street Merrylands 2160",2,1,1,595000,2022-01-31
"22","4/7-9 Ellis Street Merrylands 2160",3,2,2,7e+05,2021-12-03
"23","23/100 Kenyons Road Merrylands 2160",3,2,2,721000,2021-11-19
"24","13/58-60 St Ann Street Merrylands 2160",2,2,1,535000,2021-10-21
"25","3/19 Ellis Street Merrylands 2160",2,1,1,650000,2021-09-23
"26","4/13-15 Hawksview Street Merrylands 2160",3,2,1,8e+05,2021-08-31
"27","2/12 Bradman Street Merrylands 2160",3,3,2,7e+05,2021-08-07
"28","10A Richardson Street Merrylands 2160",2,1,1,553000,2021-08-03
"29","8/100 Kenyons Road Merrylands 2160",4,2,2,765000,2021-07-14
"30","10/58 St Ann Street Merrylands 2160",2,2,1,535000,2021-07-09
"31","107a Sherwood Road Merrylands 2160",3,1,1,775000,2021-06-28
"32","7/59-61 Lavinia Street Merrylands 2160",3,2,2,638000,2021-06-16
"33","4/3 Manchester Street Merrylands 2160",3,1,2,690000,2021-06-03
"34","5/59-61 Lavinia st Merrylands 2160",2,1,2,585000,2021-06-01
"35","7/17-19 Soudan Street Merrylands 2160",3,3,2,808000,2021-05-14
"36","5/20 Todd Street Merrylands 2160",4,2,1,610000,2021-05-14
"37","5/71-73 Lavinia Street Merrylands 2160",2,2,1,580000,2021-05-11
"38","14/100 Kenyons Road Merrylands 2160",3,2,2,635200,2021-05-07
"39","1/14 Bowden Street Merrylands 2160",4,3,2,825000,2021-05-05
"40","1/1-3 Holdsworth Street Merrylands 2160",3,2,1,722800,2021-04-29
"41","7/14 Bowden Street Merrylands 2160",3,2,2,756000,2021-04-22
"42","5/49 Edna Avenue Merrylands 2160",3,1,1,636000,2021-04-20
"43","24/58 Lansdowne Street Merrylands 2160",3,2,2,720599,2021-04-13
"44","1/6-8 Addlestone Road Merrylands 2160",3,1,1,7e+05,2021-04-09
"45","9/17-19 Soudan Street Merrylands 2160",2,1,1,660000,2021-01-19
"46","14/58-60 St Ann Street Merrylands 2160",2,1,1,520000,2020-12-18
"47","1/35 Lansdowne Street Merrylands 2160",3,2,2,710000,2020-12-15
"48","16/100 Kenyons Road Merrylands 2160",3,2,2,6e+05,2020-12-11
"49","2/73 Woodpark Road Merrylands 2160",5,3,2,698007,2020-12-09
