"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"1","13/43 Pemberton Street Parramatta 2150",3,2,2,997000,2023-03-18
"2","E6/88-98 Marsden Street Parramatta 2150",3,3,2,810000,2022-11-03
"3","5/15-17 Grandview Street Parramatta 2150",3,3,1,930000,2022-11-03
"4","1/46-48 Pemberton Street Parramatta 2150",4,2,2,1015250,2022-10-28
"5","7/46-48 Morton Street Parramatta 2150",4,2,2,1100000,2022-10-08
"6","5/1 Wandsworth Street Parramatta 2150",5,2,2,1010000,2022-09-10
"7","13/66 Marsden Street Parramatta 2150",3,1,2,880000,2022-07-29
"8","6/1-9 King Street Parramatta 2150",3,1,1,701000,2022-05-31
"9","11/66 Marsden Street Parramatta 2150",3,1,1,860000,2022-01-21
"10","5/66 Marsden Street Parramatta 2150",4,1,1,840000,2022-01-19
"11","4/16 Grandview Street Parramatta 2150",3,2,2,975000,2021-12-04
"12","5/74 Pemberton Street Parramatta 2150",3,2,1,850000,2021-11-20
"13","5/16-20 Grandview Street Parramatta 2150",3,2,2,950000,2021-11-06
"14","16/43 Pemberton Street Parramatta 2150",3,2,2,985888,2021-10-25
"15","14/43 Pemberton Street Parramatta 2150",3,2,2,985000,2021-09-25
"16","4/12 Pemberton Street Parramatta 2150",4,2,2,950000,2021-09-24
"17","5/1 Bobart Street Parramatta 2150",3,1,1,640000,2021-07-29
"18","4/55 Rosehill Street Parramatta 2150",3,2,2,860000,2021-07-23
"19","8/11-13 Tennyson Street Parramatta 2150",3,2,1,745000,2021-06-04
"20","10/9-11 New Zealand Street Parramatta 2150",3,1,2,806000,2021-05-26
"21","12/9-11 New Zealand Street Parramatta 2150",3,1,2,773000,2021-04-15
"22","6/70 Marsden Street Parramatta 2150",3,2,2,910000,2021-04-14
"23","10/77-79 Thomas Street Parramatta 2150",4,2,2,1150000,2021-03-31
"24","6/9-19 Bobart Street Parramatta 2150",2,1,1,715000,2021-02-18
"25","39/23 - 33 Napier Street Parramatta 2150",2,2,2,650000,2020-12-08
"26","6/14 Pemberton Street Parramatta 2150",3,2,1,717000,2020-11-06
"27","E3/88-98 Marsden Street Parramatta 2150",3,3,2,750000,2020-11-03
"28","4/8-10 Grandview Street Parramatta 2150",3,2,2,835000,2020-10-17
"29","1/50-52 Hassall Street Parramatta 2150",2,1,2,630000,2020-10-02
"30","4/35 Victoria Road Parramatta 2150",3,1,2,682000,2020-09-30
"31","8/148-152 Pennant Street Parramatta 2150",3,2,2,730000,2020-09-19
"32","8/145-147 Pennant Street Parramatta 2150",3,2,1,8e+05,2020-07-10
"33","7/6 Glebe Street Parramatta 2150",3,1,1,615000,2020-04-27
"34","6/35 Victoria Road Parramatta 2150",3,1,1,710000,2020-02-29
"35","19 Marion Street Parramatta 2150",2,2,1,7e+05,2020-02-21
"36","4/149-151 Pennant Street Parramatta 2150",3,2,2,860000,2019-12-11
"37","E5/88 Marsden Street Parramatta 2150",3,2,1,802800,2019-11-29
"38","1/74 Pemberton Street Parramatta 2150",3,2,3,830000,2019-11-08
"39","2/70 Marsden Street Parramatta 2150",3,2,2,808000,2019-10-30
"40","9/12 Glebe Street Parramatta 2150",2,1,2,635000,2019-10-02
"41","9/36-40 Morton Street Parramatta 2150",3,2,2,775000,2019-09-17
"42","2/145-147 Pennant St Parramatta 2150",3,2,1,760000,2019-08-22
"43","1/46-48 Morton Street Parramatta 2150",3,2,1,760000,2019-06-20
"44","8/12-16 Glebe Street Parramatta 2150",2,1,2,625000,2018-10-27
"45","1/19-21 Grandview Street Parramatta 2150",4,2,2,906000,2018-09-01
"46","6/43 Pemberton Street Parramatta 2150",3,2,2,845000,2018-06-22
"47","4/6-10 Glebe Street Parramatta 2150",2,1,1,595000,2018-04-10
"48","2/14 Pemberton Street Parramatta 2150",4,2,2,868000,2017-12-18
"49","6/46 Morton Street Parramatta 2150",4,2,2,970000,2017-12-06
"50","7/11-13 Tennyson Street Parramatta 2150",3,2,2,780000,2017-10-20
"51","3/55 Rosehill Street Parramatta 2150",3,2,1,970000,2017-08-03
"52","11/9-11 New Zealand St Parramatta 2150",3,1,2,857000,2017-06-10
"53","3/6 Glebe Street Parramatta 2150",2,1,1,7e+05,2017-05-27
"54","6/16-20 Grandview Street Parramatta 2150",3,2,2,896000,2017-04-04
"55","6/66 Marsden Street Parramatta 2150",4,1,2,851000,2017-03-11
"56","6/19 King Street Parramatta 2150",2,1,1,680000,2017-02-18
"57","8/47-49 Gladstone Street Parramatta 2150",4,2,2,780000,2017-01-17
"58","9/11-13 Tennyson Street Parramatta 2150",2,1,1,756000,2017-01-14
"59","3/19 King Street Parramatta 2150",2,1,1,705000,2016-12-10
"60","6/3 Irving Street Parramatta 2150",3,2,2,860000,2016-11-04
"61","4/46-48 Morton Street Parramatta 2150",4,2,2,945000,2016-10-21
"62","14/44 Thomas Street Parramatta 2150",3,2,2,850000,2016-05-11
"63","7/50 Morton Street Parramatta 2150",3,2,2,815000,2016-04-18
"64","4/3-5 Irving St Parramatta 2150",3,2,2,773500,2016-03-31
"65","2/19-21 Grandview Street Parramatta 2150",4,2,2,9e+05,2016-02-27
"66","7/75 Victoria Road Parramatta 2150",2,1,1,510000,2016-02-20
"67","4/16-20 Grandview Street Parramatta 2150",3,2,2,820000,2015-10-20
"68","8/64-66 Hassall Street Parramatta 2150",2,1,1,565000,2015-09-10
"69","2/149-151 Pennant Street Parramatta 2150",3,2,1,8e+05,2015-08-07
"70","1/35 Victoria Road Parramatta 2150",3,1,1,720000,2015-07-24
"71","1/77 Thomas Street Parramatta 2150",4,2,2,1080000,2015-06-23
"72","E6/88 Marsden Street Parramatta 2150",3,2,2,775500,2015-06-18
"73","5/12-14 Grandview Street Parramatta 2150",3,2,2,760000,2015-04-09
"74","4/143-145 Victoria Road Parramatta 2150",3,2,2,772000,2015-04-07
"75","7/145-147 Pennant Street Parramatta 2150",3,2,2,705000,2015-03-03
"76","5/11 Grandview Street Parramatta 2150",3,1,1,691000,2015-02-25
"77","1/9 New Zealand Street Parramatta 2150",2,1,1,670000,2015-02-23
"78","8/43 Pemberton Street Parramatta 2150",3,2,2,715000,2015-01-17
"79","8/44-50 Thomas Street Parramatta 2150",3,2,1,680000,2014-12-13
"80","2/51 Ross Street Parramatta 2150",3,1,2,745000,2014-12-02
"81","3/11 Grandview Street Parramatta 2150",3,1,1,650000,2014-11-21
"82","9/77 Thomas Street Parramatta 2150",4,2,2,945000,2014-10-29
"83","1/44 Hassall Street Parramatta 2150",4,3,2,1e+06,2014-10-04
"84","1/81-83 Thomas Street Parramatta 2150",3,2,2,691000,2014-08-30
"85","3/15-17 Grandview Street Parramatta 2150",3,3,2,747000,2014-08-28
"86","2/5 Purchase Street Parramatta 2150",2,1,1,497500,2014-06-12
"87","16/9 New Zealand Street Parramatta 2150",3,2,2,630000,2014-06-11
"88","4/14 Pemberton Street Parramatta 2150",3,2,2,595000,2014-05-30
"89","5/62 Hassall Street Parramatta 2150",2,1,1,561000,2014-05-12
"90","6/12 Glebe Street Parramatta 2150",3,1,1,600500,2014-05-12
"91","1/125 Victoria Road Parramatta 2150",2,1,1,462000,2014-05-06
"92","3 Benedict Court Parramatta 2150",3,2,1,620000,2014-04-30
"93","7/66-68 Marsden Street Parramatta 2150",4,2,2,645000,2014-04-16
"94","6/36-40 Morton Street Parramatta 2150",3,2,2,652000,2014-02-10
"95","15/9-11 New Zealand St Parramatta 2150",3,1,2,569000,2014-01-23
"96","1/14 Pemberton Street Parramatta 2150",4,2,2,560000,2013-12-14
"97","7/50-52 Hassall Street Parramatta 2150",2,1,2,590000,2013-12-11
"98","4/50 Morton Street Parramatta 2150",3,2,2,575000,2013-11-27
"99","3/59 Victoria Road Parramatta 2150",3,2,2,650000,2013-11-19
"100","2/15-17 Grandview Street Parramatta 2150",3,3,1,655000,2013-10-25
"101","3/11 King Street Parramatta 2150",2,1,1,545000,2013-10-19
"102","11/40 Fennell Street Parramatta 2150",3,2,3,615000,2013-10-15
"103","1/166 Railway Street Parramatta 2150",3,1,2,520000,2013-10-05
"104","6/4-6 Morton Street Parramatta 2150",4,2,2,680000,2013-09-14
"105","7/59 Victoria Road Parramatta 2150",3,2,2,540000,2013-09-10
"106","7/59 Victoria Road Parramatta 2150",3,2,2,540000,2013-09-10
"107","7/10 Murray Street Parramatta 2150",3,2,1,595000,2013-09-01
"108","8/77 Thomas Street Parramatta 2150",4,3,2,656000,2013-08-26
"109","7/1-9 King Street Parramatta 2150",3,1,1,518800,2013-08-24
"110","7/1 King Street Parramatta 2150",3,1,1,518800,2013-08-24
"111","7/1 King Street Parramatta 2150",3,1,1,518800,2013-08-24
"112","5/59 Victoria Road Parramatta 2150",3,2,2,650000,2013-08-21
"113","1/61 Victoria Road Parramatta 2150",3,2,2,650000,2013-08-21
"114","4/81-83 Thomas Street Parramatta 2150",3,2,2,6e+05,2013-08-17
"115","4/81 Thomas Street Parramatta 2150",3,2,2,6e+05,2013-08-17
"116","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-07-18
"117","7/81 Thomas Street Parramatta 2150",3,2,2,585000,2013-07-18
"118","7/74 Pemberton Street Parramatta 2150",3,2,1,575000,2013-07-18
"119","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-07-18
"120","7/74 PEMBERTON ST Parramatta 2150",3,2,1,575000,2013-07-18
"121","2/14 Pemberton Street Parramatta 2150",4,2,2,560000,2013-07-15
"122","10/74 Pemberton Street Parramatta 2150",3,2,1,560000,2013-07-03
"123","4/46 Pemberton Street Parramatta 2150",4,2,2,602000,2013-07-01
"124","4/59 Victoria Road Parramatta 2150",3,2,2,635000,2013-06-25
"125","4/59-61 Victoria Road Parramatta 2150",3,2,2,635000,2013-06-25
"126","4/59-61 Victoria Rd Parramatta 2150",3,2,2,635000,2013-06-25
"127","5/70 Marsden Street Parramatta 2150",3,2,2,585870,2013-06-21
"128","6/19 Grandview Street Parramatta 2150",3,2,2,625000,2013-06-18
"129","3/3 Teale Place Parramatta 2150",3,2,2,610000,2013-05-24
"130","35 Victoria Road Parramatta 2150",3,1,1,450000,2013-05-23
"131","12/35 Victoria Road Parramatta 2150",3,1,1,725000,2013-05-04
"132","2/3 Teale Place Parramatta 2150",3,2,2,605000,2013-04-15
"133","3/28 Broughton Street Parramatta 2150",3,3,1,530000,2013-04-09
"134","1/9 New Zealand Street Parramatta 2150",2,1,1,495000,2013-04-08
"135","12/19 King Street Parramatta 2150",2,1,1,468000,2013-04-06
"136","3/6 Glebe Street Parramatta 2150",2,2,1,445000,2013-04-05
"137","10/66 Marsden Street Parramatta 2150",3,1,1,535500,2013-02-01
"138","5/12 Glebe Street Parramatta 2150",3,1,1,695000,2013-02-01
"139","4/28 Broughton Street Parramatta 2150",3,2,2,530000,2013-01-01
"140","2/8-10 Grandview Street Parramatta 2150",3,2,2,568000,2012-12-17
"141","2/145-147 Pennant Street Parramatta 2150",3,2,1,515000,2012-12-04
"142","8/1-9 King Street Parramatta 2150",2,1,1,450000,2012-12-01
"143","1/68 Hassall Street Parramatta 2150",3,2,2,672000,2012-10-16
"144","4/68 Hassall Street Parramatta 2150",3,2,2,625000,2012-10-16
"145","5/36 Morton Street Parramatta 2150",3,2,2,525000,2012-10-09
"146","3/6 Glebe Street Parramatta 2150",2,2,1,445000,2012-10-01
"147","7/64-66 Hassall Street Parramatta 2150",2,1,1,390500,2012-10-01
"148","9/74-76 Pemberton Street Parramatta 2150",3,2,1,527000,2012-09-21
"149","4/1 Bobart Street Parramatta 2150",3,2,1,429000,2012-09-11
"150","7/64 Hassall Street Parramatta 2150",3,1,1,393000,2012-09-01
"151","7/148-152 Pennant Street Parramatta 2150",3,2,2,518000,2012-08-29
"152","4/11 Tennyson Street Parramatta 2150",2,1,1,462000,2012-08-22
"153","4/11-13 Tennyson Street Parramatta 2150",2,1,1,462000,2012-08-22
"154","8F/50-56 Victoria Road (Cnr of Brickfield St) Parramatta 2150",2,1,1,392000,2012-08-08
"155","2/4 Broughton Street Parramatta 2150",3,2,2,515000,2012-06-28
"156","1/35 Victoria Road Parramatta 2150",3,1,1,430000,2012-06-25
"157","3/9 Mason Street Parramatta 2150",3,2,2,483000,2012-06-25
"158","2/25 O'Connell Street Parramatta 2150",2,2,1,360000,2012-06-12
"159","6/81-83 Thomas Street Parramatta 2150",3,2,2,547000,2012-06-05
"160","6/81 Thomas Street Parramatta 2150",3,2,2,547000,2012-06-05
"161","7/68 Hassall Street Parramatta 2150",3,2,2,5e+05,2012-06-04
"162","7/25 O'Connell Street Parramatta 2150",2,2,2,375000,2012-05-30
"163","6/46-48 Morton Street Parramatta 2150",4,2,2,583000,2012-05-04
"164","6/46 Morton Street Parramatta 2150",4,2,2,583000,2012-05-04
"165","10/47 Gladstone Street Parramatta 2150",3,2,2,560000,2012-04-20
"166","4/11-15 King Street Parramatta 2150",3,1,1,461000,2012-04-17
"167","4/11 King Street Parramatta 2150",3,1,1,461000,2012-04-17
"168","66 Marsden Street Parramatta 2150",4,1,1,510000,2012-04-14
"169","3/68 Hassall Street Parramatta 2150",3,2,2,675000,2012-03-01
"170","8/68 Hassall Street Parramatta 2150",3,2,2,663000,2012-03-01
"171","9/68 Hassall Street Parramatta 2150",3,2,2,665000,2012-03-01
"172","24/1 Rangihou Crescent Parramatta 2150",3,3,2,495000,2012-03-01
"173","5/15 Grandview Street Parramatta 2150",3,3,1,483000,2012-02-29
"174","5/15-17 Grandview Street Parramatta 2150",3,3,1,483000,2012-02-29
