"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"1","3/417-419 Liverpool Road Strathfield 2135",3,2,2,925000,2023-03-03
"2","10 Fairway Circuit Strathfield 2135",4,3,2,2051000,2022-10-14
"3","12/485 Liverpool Road Strathfield 2135",3,1,2,920000,2022-07-25
"4","17/1 Fitzgerald Crescent Strathfield 2135",2,1,2,750000,2022-04-29
"5","5/485 Liverpool Road Strathfield 2135",3,1,2,940000,2022-04-14
"6","5/11-13 Manson Road Strathfield 2135",3,2,2,1491000,2021-12-06
"7","2/43 Mackenzie Street Strathfield 2135",3,2,2,1677000,2021-11-01
"8","42 Fairway Circuit Strathfield 2135",4,3,2,1660000,2021-09-30
"9","6/43 Mackenzie Street Strathfield 2135",4,3,2,1750000,2021-07-23
"10","1/25 Philip Street Strathfield 2135",3,2,2,1200000,2021-07-19
"11","5/76-80 Beresford Road Strathfield 2135",4,3,2,1470000,2021-06-26
"12","29 Fairway Circuit Strathfield 2135",4,3,2,1560000,2021-06-09
"13","10/43 Mackenzie Street Strathfield 2135",4,3,2,1800000,2021-05-29
"14","7/46 Beresford Road Strathfield 2135",3,2,2,1430000,2021-05-01
"15","10/485-489 Liverpool Road Strathfield 2135",3,1,2,880000,2021-04-17
"16","6/393 Liverpool Road Strathfield 2135",2,2,2,710000,2021-03-30
"17","4/523-527 Liverpool Road Strathfield 2135",3,2,2,880000,2021-03-25
"18","2/240-242 Homebush Road Strathfield 2135",4,3,2,1735000,2021-03-17
"19","15/523-527 Liverpool Road Strathfield 2135",3,2,4,780000,2020-10-22
"20","6/115 Wallis Avenue Strathfield 2135",3,1,3,873000,2020-10-21
"21","4/417-419 Liverpool Road Strathfield 2135",2,1,2,677000,2020-09-22
"22","20/1 Fitzgerald Crescent Strathfield 2135",2,1,1,650000,2020-07-16
"23","2/55 Manson Road Strathfield 2135",3,1,1,910000,2020-06-20
"24","5/52 Beresford Road Strathfield 2135",3,2,2,992000,2020-04-21
"25","8/43 Mackenzie Street Strathfield 2135",4,2,2,1500000,2020-04-03
"26","5/66 Beresford Road Strathfield 2135",4,2,2,1280000,2020-04-03
"27","6/397-399 Liverpool Road Strathfield 2135",3,2,2,775000,2020-03-06
"28","6/397-399 Liverpool Road Strathfield 2135",3,2,2,775000,2020-03-06
"29","2/379-381 Liverpool Road Strathfield 2135",3,2,2,775000,2019-11-16
"30","1/417 Liverpool Road Strathfield 2135",2,1,2,685000,2019-10-19
"31","2/145a Wentworth Road Strathfield 2135",3,2,5,1335000,2019-10-19
"32","4/66 Beresford Road Strathfield 2135",4,2,2,1300000,2019-08-03
"33","3/1-5 Hilts Road Strathfield 2135",4,2,1,790000,2019-07-29
"34","2/43 Mackenzie Street Strathfield 2135",4,3,2,1475000,2019-05-30
"35","6/5 JERSEY ROAD Strathfield 2135",3,2,2,1630000,2019-05-18
"36","1/379-381 LIVERPOOL ROAD Strathfield 2135",3,2,2,698000,2019-03-20
"37","5/32-34 Homebush Road Strathfield 2135",3,2,2,985500,2018-08-04
"38","3/43 Mackenzie Street Strathfield 2135",3,3,2,1580000,2018-07-18
"39","2/44 Beresford Road Strathfield 2135",3,2,2,1081000,2018-03-24
"40","5/43 MAcKENZIE STREET Strathfield 2135",4,3,2,1750000,2018-02-27
"41","1/27 Churchill Avenue Strathfield 2135",3,2,1,1500000,2018-02-12
"42","19/1 Fitzgerald Crescent Strathfield 2135",2,1,2,7e+05,2016-11-05
"43","3/44 Beresford Road Strathfield 2135",3,2,2,1180000,2016-07-29
"44","13/55 Manson Rd Strathfield 2135",3,2,2,952500,2016-07-22
"45","2/417 Liverpool Road Strathfield 2135",3,1,2,773000,2016-07-08
"46","2/101 Wentworth Road Strathfield 2135",3,3,2,1120000,2016-06-30
"47","13/485 Liverpool RD Strathfield 2135",3,1,2,660000,2016-06-20
"48","13/74-80 Beresford Road Strathfield 2135",3,2,2,1160000,2016-04-29
"49","8/523-527 Liverpool Road Strathfield 2135",3,2,2,855000,2016-04-11
"50","9/11 Manson Road Strathfield 2135",2,2,2,981000,2016-03-19
"51","7/30-34 Homebush Road Strathfield 2135",2,2,2,862000,2015-11-21
"52","10/523-527 Liverpool Road Strathfield 2135",3,2,2,871000,2015-10-10
"53","4/94 Albert Road Strathfield 2135",2,2,2,1201000,2015-09-05
"54","2/101 Wentworth Road Strathfield 2135",3,2,2,845000,2015-08-24
"55","11/76-80 Beresford Road Strathfield 2135",3,2,2,1086000,2015-07-20
"56","6/44 Beresford Road Strathfield 2135",4,3,2,1050000,2015-07-04
"57","17/523-527 Liverpool Rd Strathfield 2135",3,2,4,840000,2015-05-30
"58","8/55 Manson Road Strathfield 2135",4,2,2,1070000,2015-04-11
"59","13/55 Manson Road Strathfield 2135",3,2,2,908000,2015-03-30
"60","5/44 Beresford Road Strathfield 2135",3,2,2,1022000,2015-02-14
"61","13/485 Liverpool Road Strathfield 2135",3,1,2,658000,2014-11-26
"62","17/1 Fitzgerald Crescent Strathfield 2135",2,1,2,588000,2014-10-18
"63","9/76-80 Beresford Road Strathfield 2135",4,3,2,1010000,2014-08-30
"64","3/32 HOMEBUSH ROAD Strathfield 2135",3,2,2,860000,2014-08-16
"65","4/27 Churchill Avenue Strathfield 2135",3,1,2,850000,2014-07-28
"66","20/1 Fitzgerald Crescent Strathfield 2135",2,1,1,530000,2014-05-31
"67","12/485 Liverpool Road Strathfield 2135",3,1,2,637000,2014-04-16
"68","8/393-395 Liverpool Road Strathfield 2135",2,2,2,711500,2013-12-14
"69","4/76 Beresford Road Strathfield 2135",4,3,2,870000,2013-12-02
"70","4/74-80 Beresford Road Strathfield 2135",4,3,2,870000,2013-12-01
"71","5/62 Albert Road Strathfield 2135",3,NA,NA,1125000,2013-11-30
