"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1",1,"28/10-14 Arthur Street Merrylands 2160",2,1,1,645000,"2023-03-16",-33.833786022772,150.969996345681,2108.74176833053
"2",2,"26/59-61 Neil Street Merrylands 2160",2,1,1,480000,"2023-02-07",-33.8325814175571,150.988503001159,561.136738245937
"3",3,"7/21 St Ann Street Merrylands 2160",2,2,1,645000,"2023-02-06",-33.8397168479113,150.987621308764,597.156095735195
"4",4,"3/11-13 Torrens Street Merrylands 2160",3,1,1,555000,"2022-12-20",-33.8361963228491,150.969605413717,2126.23888461857
"5",5,"7/9-11 Kimberley Street Merrylands 2160",3,2,2,706000,"2022-11-11",-33.8478275965191,151.000340008643,1469.30428610162
"6",6,"9/6-8 Addlestone Road Merrylands 2160",3,1,1,625000,"2022-10-13",-33.836850614211,150.98742341203,482.562884065052
"7",7,"11/102-104 Lackey Street Merrylands 2160",3,3,2,638000,"2022-10-01",-33.846621189195,151.00162487058,1419.99060644881
"8",8,"5/92 Burnett Street Merrylands 2160",2,2,2,642000,"2022-09-26",-33.8271703123241,150.981102702665,1470.78219769158
"9",9,"3/59-61 Lavinia Street Merrylands 2160",3,2,1,630000,"2022-09-23",-33.8484638667891,151.003853953911,1707.69437954345
"10",10,"5/158-160 Railway Terrace Merrylands 2160",3,2,2,710000,"2022-07-12",-33.843564392926,150.991828353606,811.809869752728
"11",11,"15/58-60 St Ann Street Merrylands 2160",2,1,2,610000,"2022-07-02",-33.8396576716749,150.983845931936,891.565951492629
"12",12,"26/59-61 Neil Street Merrylands 2160",2,1,1,470000,"2022-06-21",-33.8325814175571,150.988503001159,561.136738245937
"13",13,"8/79 Woodpark Road Merrylands 2160",2,2,1,605000,"2022-04-06",-33.8395089348031,150.957905785627,3227.78556643324
"14",14,"2/71-73 Lavinia Street Merrylands 2160",3,3,1,795000,"2022-03-22",-33.8483125315273,151.002779393924,1635.23539382317
"15",15,"4/52 Newman Street Merrylands 2160",3,2,1,760000,"2022-03-18",-33.8379478472462,150.985500603442,681.591358606562
"16",16,"2/3 Manchester Street Merrylands 2160",3,1,2,745000,"2022-02-28",-33.8315766788235,150.992042092137,528.322458520177
"17",17,"4/17 Lansdowne Street Merrylands 2160",2,1,2,630000,"2022-02-15",-33.8456667418804,150.995896594131,1086.33837717489
"18",18,"9/11 ELLIS STREET Merrylands 2160",2,1,1,660000,"2022-02-14",-33.8279302575756,150.977246691928,1698.14650832227
"19",19,"2/36-38 Manchester Street Merrylands 2160",3,1,1,638800,"2022-02-08",-33.8315534609517,150.989177576727,615.904140585464
"20",20,"23/59-61 Neil Street Merrylands 2160",2,1,1,480500,"2022-02-04",-33.8325814175571,150.988503001159,561.136738245937
"21",21,"1/59-61 Lavinia Street Merrylands 2160",2,1,1,595000,"2022-01-31",-33.8484638667891,151.003853953911,1707.69437954345
"22",22,"4/7-9 Ellis Street Merrylands 2160",3,2,2,7e+05,"2021-12-03",-33.8281619333793,150.976974950627,1705.36911017845
"23",23,"23/100 Kenyons Road Merrylands 2160",3,2,2,721000,"2021-11-19",-33.8378939096992,150.969306012136,2161.16651730593
"24",24,"13/58-60 St Ann Street Merrylands 2160",2,2,1,535000,"2021-10-21",-33.8396576716749,150.983845931936,891.565951492629
"25",25,"3/19 Ellis Street Merrylands 2160",2,1,1,650000,"2021-09-23",-33.8274749945046,150.977857145936,1680.36351435301
"26",26,"4/13-15 Hawksview Street Merrylands 2160",3,2,1,8e+05,"2021-08-31",-33.8469678647104,150.987442187493,1279.71807777193
