"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1",1,"13/43 Pemberton Street Parramatta 2150",3,2,2,997000,"2023-03-18",-33.8093456923074,151.020160611263,1670.38005183624
"2",2,"E6/88-98 Marsden Street Parramatta 2150",3,3,2,810000,"2022-11-03",-33.8202814356518,150.998827578034,649.416635969715
"3",3,"5/15-17 Grandview Street Parramatta 2150",3,3,1,930000,"2022-11-03",-33.8094915793322,151.018966525336,1569.52885118375
"4",4,"1/46-48 Pemberton Street Parramatta 2150",4,2,2,1015250,"2022-10-28",-33.8102813641589,151.02096678271,1681.23876683314
"5",5,"7/46-48 Morton Street Parramatta 2150",4,2,2,1100000,"2022-10-08",-33.8092705066359,151.01843989036,1544.16370981398
"6",6,"5/1 Wandsworth Street Parramatta 2150",5,2,2,1010000,"2022-09-10",-33.8110225339471,151.015132223729,1182.4290758396
"7",7,"13/66 Marsden Street Parramatta 2150",3,1,2,880000,"2022-07-29",-33.8218246278455,150.999058918561,730.519223591541
"8",8,"6/1-9 King Street Parramatta 2150",3,1,1,701000,"2022-05-31",-33.820003449833,150.996286101172,852.724902490175
"9",9,"11/66 Marsden Street Parramatta 2150",3,1,1,860000,"2022-01-21",-33.8218246278455,150.999058918561,730.519223591541
"10",10,"5/66 Marsden Street Parramatta 2150",4,1,1,840000,"2022-01-19",-33.8218246278455,150.999058918561,730.519223591541
"11",11,"4/16 Grandview Street Parramatta 2150",3,2,2,975000,"2021-12-04",-33.8095587602861,151.019760962119,1626.45992147814
"12",12,"5/74 Pemberton Street Parramatta 2150",3,2,1,850000,"2021-11-20",-33.8078857743218,151.021156213722,1838.03818137816
"13",13,"5/16-20 Grandview Street Parramatta 2150",3,2,2,950000,"2021-11-06",-33.8095587602861,151.019760962119,1626.45992147814
"14",14,"16/43 Pemberton Street Parramatta 2150",3,2,2,985888,"2021-10-25",-33.8093918346844,151.020416343128,1687.53106462455
"15",15,"14/43 Pemberton Street Parramatta 2150",3,2,2,985000,"2021-09-25",-33.8093617855615,151.020251471093,1676.47186682782
"16",16,"4/12 Pemberton Street Parramatta 2150",4,2,2,950000,"2021-09-24",-33.813557598653,151.020123060336,1465.93615806878
"17",17,"5/1 Bobart Street Parramatta 2150",3,1,1,640000,"2021-07-29",-33.8203053659854,150.997130410279,791.984278028384
"18",18,"4/55 Rosehill Street Parramatta 2150",3,2,2,860000,"2021-07-23",-33.8245228462967,151.001218013,856.455285375594
"19",19,"8/11-13 Tennyson Street Parramatta 2150",3,2,1,745000,"2021-06-04",-33.8121977605914,151.021100893161,1601.86042115702
"20",20,"10/9-11 New Zealand Street Parramatta 2150",3,1,2,806000,"2021-05-26",-33.814316370438,151.014523027006,949.389501701963
"21",21,"12/9-11 New Zealand Street Parramatta 2150",3,1,2,773000,"2021-04-15",-33.8144085713729,151.014501820791,943.779071193061
"22",22,"6/70 Marsden Street Parramatta 2150",3,2,2,910000,"2021-04-14",-33.8216173014704,150.999108120333,712.032585068507
"23",23,"10/77-79 Thomas Street Parramatta 2150",4,2,2,1150000,"2021-03-31",-33.813248641702,151.020384743354,1499.545525601
"24",24,"6/9-19 Bobart Street Parramatta 2150",2,1,1,715000,"2021-02-18",-33.8200301461946,150.997270974795,768.303083577334
"25",25,"39/23 - 33 Napier Street Parramatta 2150",2,2,2,650000,"2020-12-08",-33.8208610442564,150.995040131265,994.216437725447
"26",26,"6/14 Pemberton Street Parramatta 2150",3,2,1,717000,"2020-11-06",-33.8134046289201,151.020165472766,1474.85503449574
"27",27,"E3/88-98 Marsden Street Parramatta 2150",3,3,2,750000,"2020-11-03",-33.8203292544095,150.999094206374,630.492949726992
"28",28,"4/8-10 Grandview Street Parramatta 2150",3,2,2,835000,"2020-10-17",-33.8101363991434,151.019607321834,1580.2553074409
"29",29,"1/50-52 Hassall Street Parramatta 2150",2,1,2,630000,"2020-10-02",-33.8180098141627,151.014093873563,842.964693606428
"30",30,"4/35 Victoria Road Parramatta 2150",3,1,2,682000,"2020-09-30",-33.8095392304517,151.010126048238,1005.04225848074
"31",31,"8/148-152 Pennant Street Parramatta 2150",3,2,2,730000,"2020-09-19",-33.8082921169334,151.01847362703,1613.58029164038
"32",32,"8/145-147 Pennant Street Parramatta 2150",3,2,1,8e+05,"2020-07-10",-33.8065600506061,151.021725261128,1968.79653532328
"33",33,"7/6 Glebe Street Parramatta 2150",3,1,1,615000,"2020-04-27",-33.8202504226101,150.99662565207,832.819266501264
"34",34,"6/35 Victoria Road Parramatta 2150",3,1,1,710000,"2020-02-29",-33.8096502906688,151.010095957206,992.833842114539
"35",35,"19 Marion Street Parramatta 2150",2,2,1,7e+05,"2020-02-21",-33.8226263568842,151.00619828841,581.324472317144
"36",36,"4/149-151 Pennant Street Parramatta 2150",3,2,2,860000,"2019-12-11",-33.806253692045,151.021612273074,1981.96185507085
"37",37,"E5/88 Marsden Street Parramatta 2150",3,2,1,802800,"2019-11-29",-33.8202973612679,150.998904356267,644.039058241161
"38",38,"1/74 Pemberton Street Parramatta 2150",3,2,3,830000,"2019-11-08",-33.8080465392247,151.02097197949,1813.76898750301
"39",39,"2/70 Marsden Street Parramatta 2150",3,2,2,808000,"2019-10-30",-33.8216173014704,150.999108120333,712.032585068507
"40",40,"9/12 Glebe Street Parramatta 2150",2,1,2,635000,"2019-10-02",-33.8205409812837,150.996941733638,818.542670895595
"41",41,"9/36-40 Morton Street Parramatta 2150",3,2,2,775000,"2019-09-17",-33.8097520469733,151.018316676383,1503.62536399962
"42",42,"2/145-147 Pennant St Parramatta 2150",3,2,1,760000,"2019-08-22",-33.8063704100467,151.021512863702,1966.63045403046
"43",43,"1/46-48 Morton Street Parramatta 2150",3,2,1,760000,"2019-06-20",-33.8092705066359,151.01843989036,1544.16370981398
"44",44,"8/12-16 Glebe Street Parramatta 2150",2,1,2,625000,"2018-10-27",-33.8205409812837,150.996941733638,818.542670895595
"45",45,"1/19-21 Grandview Street Parramatta 2150",4,2,2,906000,"2018-09-01",-33.8092383201277,151.019041878646,1591.39629569033
"46",46,"6/43 Pemberton Street Parramatta 2150",3,2,2,845000,"2018-06-22",-33.80899486775,151.020537964544,1720.95909547467
"47",47,"4/6-10 Glebe Street Parramatta 2150",2,1,1,595000,"2018-04-10",-33.8202504226101,150.99662565207,832.819266501264
"48",48,"2/14 Pemberton Street Parramatta 2150",4,2,2,868000,"2017-12-18",-33.8134046289201,151.020165472766,1474.85503449574
"49",49,"6/46 Morton Street Parramatta 2150",4,2,2,970000,"2017-12-06",-33.8092705066359,151.01843989036,1544.16370981398
"50",50,"7/11-13 Tennyson Street Parramatta 2150",3,2,2,780000,"2017-10-20",-33.8121977605914,151.021100893161,1601.86042115702
"51",51,"3/55 Rosehill Street Parramatta 2150",3,2,1,970000,"2017-08-03",-33.8245228462967,151.001218013,856.455285375594
"52",52,"11/9-11 New Zealand St Parramatta 2150",3,1,2,857000,"2017-06-10",-33.8143560587495,151.014512968722,946.88448547104
"53",53,"3/6 Glebe Street Parramatta 2150",2,1,1,7e+05,"2017-05-27",-33.8202504226101,150.99662565207,832.819266501264
"54",54,"6/16-20 Grandview Street Parramatta 2150",3,2,2,896000,"2017-04-04",-33.8095587602861,151.019760962119,1626.45992147814
"55",55,"6/66 Marsden Street Parramatta 2150",4,1,2,851000,"2017-03-11",-33.8218246278455,150.999058918561,730.519223591541
"56",56,"6/19 King Street Parramatta 2150",2,1,1,680000,"2017-02-18",-33.8204193179591,150.998226511757,705.718443580224
"57",57,"8/47-49 Gladstone Street Parramatta 2150",4,2,2,780000,"2017-01-17",-33.8021605153578,151.014487403917,1919.86964394402
"58",58,"9/11-13 Tennyson Street Parramatta 2150",2,1,1,756000,"2017-01-14",-33.8121977605914,151.021100893161,1601.86042115702
"59",59,"3/19 King Street Parramatta 2150",2,1,1,705000,"2016-12-10",-33.8202039030475,150.998223075177,695.28917180306
"60",60,"6/3 Irving Street Parramatta 2150",3,2,2,860000,"2016-11-04",-33.8109924848243,151.021438348583,1684.1339044921
"61",61,"4/46-48 Morton Street Parramatta 2150",4,2,2,945000,"2016-10-21",-33.8092705066359,151.01843989036,1544.16370981398
"62",62,"14/44 Thomas Street Parramatta 2150",3,2,2,850000,"2016-05-11",-33.8111281878367,151.013259958016,1042.47187124311
"63",63,"7/50 Morton Street Parramatta 2150",3,2,2,815000,"2016-04-18",-33.8088703964878,151.018493366902,1574.91592989847
"64",64,"4/3-5 Irving St Parramatta 2150",3,2,2,773500,"2016-03-31",-33.8109924848243,151.021438348583,1684.1339044921
"65",65,"2/19-21 Grandview Street Parramatta 2150",4,2,2,9e+05,"2016-02-27",-33.8092383201277,151.019041878646,1591.39629569033
"66",66,"7/75 Victoria Road Parramatta 2150",2,1,1,510000,"2016-02-20",-33.8093028188726,151.013811403426,1223.45494855945
"67",67,"4/16-20 Grandview Street Parramatta 2150",3,2,2,820000,"2015-10-20",-33.8095587602861,151.019760962119,1626.45992147814
"68",68,"8/64-66 Hassall Street Parramatta 2150",2,1,1,565000,"2015-09-10",-33.8181919948283,151.015728009406,995.170927495807
"69",69,"2/149-151 Pennant Street Parramatta 2150",3,2,1,8e+05,"2015-08-07",-33.806095274075,151.021713610283,2000.38362159291
"70",70,"1/35 Victoria Road Parramatta 2150",3,1,1,720000,"2015-07-24",-33.8093768310777,151.010170723782,1022.94368277426
"71",71,"1/77 Thomas Street Parramatta 2150",4,2,2,1080000,"2015-06-23",-33.8130525889867,151.020433358392,1510.82458328789
"72",72,"E6/88 Marsden Street Parramatta 2150",3,2,2,775500,"2015-06-18",-33.8202814356518,150.998827578034,649.416635969715
"73",73,"5/12-14 Grandview Street Parramatta 2150",3,2,2,760000,"2015-04-09",-33.8098741293931,151.019675299069,1600.92379393062
"74",74,"4/143-145 Victoria Road Parramatta 2150",3,2,2,772000,"2015-04-07",-33.8090444886168,151.019949554941,1672.66547809345
"75",75,"7/145-147 Pennant Street Parramatta 2150",3,2,2,705000,"2015-03-03",-33.8065808377259,151.02188870824,1979.27486477097
"76",76,"5/11 Grandview Street Parramatta 2150",3,1,1,691000,"2015-02-25",-33.809873961755,151.018868121793,1538.14785993809
"77",77,"1/9 New Zealand Street Parramatta 2150",2,1,1,670000,"2015-02-23",-33.8138639153046,151.014654622886,980.392407911776
"78",78,"8/43 Pemberton Street Parramatta 2150",3,2,2,715000,"2015-01-17",-33.8089697220405,151.020377954012,1710.17285933134
"79",79,"8/44-50 Thomas Street Parramatta 2150",3,2,1,680000,"2014-12-13",-33.8111281878367,151.013259958016,1042.47187124311
"80",80,"2/51 Ross Street Parramatta 2150",3,1,2,745000,"2014-12-02",-33.8070104940827,151.002642182169,1187.87614854974
"81",81,"3/11 Grandview Street Parramatta 2150",3,1,1,650000,"2014-11-21",-33.809873961755,151.018868121793,1538.14785993809
"82",82,"9/77 Thomas Street Parramatta 2150",4,2,2,945000,"2014-10-29",-33.813248641702,151.020384743354,1499.545525601
"83",83,"1/44 Hassall Street Parramatta 2150",4,3,2,1e+06,"2014-10-04",-33.817893012342,151.013574447023,794.219101178577
"84",84,"1/81-83 Thomas Street Parramatta 2150",3,2,2,691000,"2014-08-30",-33.8132067321861,151.020732424697,1531.54188964627
"85",85,"3/15-17 Grandview Street Parramatta 2150",3,3,2,747000,"2014-08-28",-33.8094915793322,151.018966525336,1569.52885118375
"86",86,"2/5 Purchase Street Parramatta 2150",2,1,1,497500,"2014-06-12",-33.8179694133894,151.014529816347,882.918428035366
"87",87,"16/9 New Zealand Street Parramatta 2150",3,2,2,630000,"2014-06-11",-33.8146289735169,151.01447156212,932.481219810814
"88",88,"4/14 Pemberton Street Parramatta 2150",3,2,2,595000,"2014-05-30",-33.8134046289201,151.020165472766,1474.85503449574
"89",89,"5/62 Hassall Street Parramatta 2150",2,1,1,561000,"2014-05-12",-33.8181585091251,151.015458195943,970.005262143449
"90",90,"6/12 Glebe Street Parramatta 2150",3,1,1,600500,"2014-05-12",-33.8205409812837,150.996941733638,818.542670895595
"91",91,"1/125 Victoria Road Parramatta 2150",2,1,1,462000,"2014-05-06",-33.8087686401833,151.014957628686,1339.00832619512
"92",92,"3 Benedict Court Parramatta 2150",3,2,1,620000,"2014-04-30",-33.8317320793084,150.997584709431,1726.35094849161
"93",93,"7/66-68 Marsden Street Parramatta 2150",4,2,2,645000,"2014-04-16",-33.8218246278455,150.999058918561,730.519223591541
"94",94,"6/36-40 Morton Street Parramatta 2150",3,2,2,652000,"2014-02-10",-33.8099719042936,151.0184537205,1500.21657217248
"95",95,"15/9-11 New Zealand St Parramatta 2150",3,1,2,569000,"2014-01-23",-33.8145811966688,151.014483883518,935.386213640556
"96",96,"1/14 Pemberton Street Parramatta 2150",4,2,2,560000,"2013-12-14",-33.8134046289201,151.020165472766,1474.85503449574
"97",97,"7/50-52 Hassall Street Parramatta 2150",2,1,2,590000,"2013-12-11",-33.8180098141627,151.014093873563,842.964693606428
"98",98,"4/50 Morton Street Parramatta 2150",3,2,2,575000,"2013-11-27",-33.8088703964878,151.018493366902,1574.91592989847
"99",99,"3/59 Victoria Road Parramatta 2150",3,2,2,650000,"2013-11-19",-33.8092433073601,151.012698454323,1162.66576159913
"100",100,"2/15-17 Grandview Street Parramatta 2150",3,3,1,655000,"2013-10-25",-33.8094915793322,151.018966525336,1569.52885118375
"101",101,"3/11 King Street Parramatta 2150",2,1,1,545000,"2013-10-19",-33.8199216005485,150.996924550737,794.015061817508
"102",102,"11/40 Fennell Street Parramatta 2150",3,2,3,615000,"2013-10-15",-33.8054842333335,151.002902524081,1351.58447216217
"103",103,"1/166 Railway Street Parramatta 2150",3,1,2,520000,"2013-10-05",-33.8244045357334,150.993673378133,1299.24498161847
"104",104,"6/4-6 Morton Street Parramatta 2150",4,2,2,680000,"2013-09-14",-33.8127802609526,151.017281846617,1251.54994992101
"105",105,"7/59 Victoria Road Parramatta 2150",3,2,2,540000,"2013-09-10",-33.8092433073601,151.012698454323,1162.66576159913
"106",106,"7/59 Victoria Road Parramatta 2150",3,2,2,540000,"2013-09-10",-33.8092433073601,151.012698454323,1162.66576159913
"107",107,"7/10 Murray Street Parramatta 2150",3,2,1,595000,"2013-09-01",-33.8031156376125,151.02025223727,2134.05850114228
"108",108,"8/77 Thomas Street Parramatta 2150",4,3,2,656000,"2013-08-26",-33.8132162875557,151.020232527992,1487.34462646684
"109",109,"7/1-9 King Street Parramatta 2150",3,1,1,518800,"2013-08-24",-33.8197845564316,150.996571672613,819.928081183316
"110",110,"7/1 King Street Parramatta 2150",3,1,1,518800,"2013-08-24",-33.8197845564316,150.996571672613,819.928081183316
"111",111,"7/1 King Street Parramatta 2150",3,1,1,518800,"2013-08-24",-33.8197845564316,150.996571672613,819.928081183316
"112",112,"5/59 Victoria Road Parramatta 2150",3,2,2,650000,"2013-08-21",-33.8092433073601,151.012698454323,1162.66576159913
"113",113,"1/61 Victoria Road Parramatta 2150",3,2,2,650000,"2013-08-21",-33.8092512701681,151.012843545067,1170.2364080877
"114",114,"4/81-83 Thomas Street Parramatta 2150",3,2,2,6e+05,"2013-08-17",-33.8132067321861,151.020732424697,1531.54188964627
"115",115,"4/81 Thomas Street Parramatta 2150",3,2,2,6e+05,"2013-08-17",-33.8132067321861,151.020732424697,1531.54188964627
"116",116,"5/70 Marsden Street Parramatta 2150",3,2,2,585870,"2013-07-18",-33.8216173014704,150.999108120333,712.032585068507
"117",117,"7/81 Thomas Street Parramatta 2150",3,2,2,585000,"2013-07-18",-33.8132067321861,151.020732424697,1531.54188964627
"118",118,"7/74 Pemberton Street Parramatta 2150",3,2,1,575000,"2013-07-18",-33.8077736663668,151.021215809053,1849.79993109166
"119",119,"5/70 Marsden Street Parramatta 2150",3,2,2,585870,"2013-07-18",-33.8216173014704,150.999108120333,712.032585068507
"120",120,"7/74 PEMBERTON ST Parramatta 2150",3,2,1,575000,"2013-07-18",-33.8077736663668,151.021215809053,1849.79993109166
"121",121,"2/14 Pemberton Street Parramatta 2150",4,2,2,560000,"2013-07-15",-33.8134046289201,151.020165472766,1474.85503449574
"122",122,"10/74 Pemberton Street Parramatta 2150",3,2,1,560000,"2013-07-03",-33.8076090038789,151.021302058837,1867.02600892556
"123",123,"4/46 Pemberton Street Parramatta 2150",4,2,2,602000,"2013-07-01",-33.8102813641589,151.02096678271,1681.23876683314
