"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/494-496 Glenmore Road Edgecliff 2027",3,2,2,1750000,2022-02-28,-33.87765883183,151.233090959132,358.850601936537
2,"13/17 Albert Street Edgecliff 2027",3,2,2,3627000,2021-04-15,-33.8814746513411,151.239382667113,364.150072938937
3,"6/170 Ocean Street Edgecliff 2027",3,3,2,2450000,2019-10-16,-33.8804367202709,151.237229020911,145.256216015502
4,"1/501 Glenmore Road Edgecliff 2027",3,2,2,982500,2014-02-13,-33.8786175958247,151.233773413689,256.721991933886
5,"2/7 Quambi Place Edgecliff 2027",3,1,1,2200000,2013-12-06,-33.881461240296,151.239819364268,394.487159918899
6,"102A Cameron Street Edgecliff 2027",3,2,NA,2020000,2013-02-01,-33.8817147509575,151.237016623484,272.443054860417
7,"14/17 Albert Street Edgecliff 2027",3,3,2,1670000,2012-05-31,-33.8814746513411,151.239382667113,364.150072938937
8,"5/494 Glenmore Road Edgecliff 2027",3,3,2,835000,2012-05-01,-33.87765883183,151.233090959132,358.850601936537
9,"14/17 Albert Street 'The Mews' Edgecliff 2027",3,3,2,1670000,2012-05-01,-33.8814746513411,151.239382667113,364.150072938937
10,"18/17 Albert Street Edgecliff 2027",3,3,2,1275000,2012-04-01,-33.8814746513411,151.239382667113,364.150072938937
11,"8/17 Albert Street Edgecliff 2027",3,2,2,3730000,2010-11-01,-33.8814746513411,151.239382667113,364.150072938937
12,"10/339 Edgecliff Road Edgecliff 2027",3,2,NA,1925000,2010-07-01,-33.8807364990379,151.241559112091,500.509264106465
13,"474 Glenmore Road Edgecliff 2027",3,NA,NA,395833,2009-12-01,-33.878143347743,151.233293465913,317.163127444193
14,"3 Herbert Road Edgecliff 2027",2,1,NA,9e+05,2009-08-01,-33.8802858879232,151.236474481987,107.862377894201
15,"27 Cameron Street Edgecliff 2027",2,3,1,1300000,2007-05-01,-33.8801997219586,151.235860759037,110.928968290238
16,"76 Cameron Street Edgecliff 2027",3,3,NA,2750000,2007-04-01,-33.8808303763535,151.235968466492,173.451581155605
17,"12/17 Albert Street Edgecliff 2027",3,1,NA,1425000,2004-05-01,-33.8814746513411,151.239382667113,364.150072938937
18,"2/494 Glenmore Road Edgecliff 2027",3,2,NA,817500,2004-03-01,-33.87765883183,151.233090959132,358.850601936537
19,"102C Cameron Street Edgecliff 2027",3,2,2,1750000,2004-02-01,-33.8816635375291,151.236923081445,265.211195449166
20,"1/494 Glenmore Road Edgecliff 2027",3,2,2,625000,2001-12-01,-33.87765883183,151.233090959132,358.850601936537
