"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/1 Pemell Lane Newtown 2042",3,1,3,1923000,2023-03-18,-33.8993568550327,151.174768503371,474.50652014934
2,"4/2B Gladstone Street Newtown 2042",4,2,1,1580000,2023-03-08,-33.8976184064046,151.174455858383,480.419134202122
3,"203/10 Fitzgerald Street Newtown 2042",2,2,1,931000,2023-02-23,-33.8916069054471,151.180170304692,712.96895542677
4,"4/7-9 Pemell Lane Newtown 2042",2,1,2,1126000,2023-01-27,-33.8994444878304,151.174330129835,516.019182876756
5,"8/146 Alice Street Newtown 2042",2,2,2,1290000,2022-12-14,-33.9052849560535,151.174193588632,954.532299943506
6,"3/7-9 Pemell Lane Newtown 2042",2,1,2,1195000,2022-12-10,-33.8994444878304,151.174330129835,516.019182876756
7,"14/146 Alice Street Newtown 2042",3,1,2,1505000,2022-11-14,-33.9053024323216,151.174535235006,939.971744950211
8,"18/30 Bucknell Street Newtown 2042",2,1,1,982000,2022-11-12,-33.8948160008969,151.184586729475,578.487807337214
9,"9/2B Gladstone Street Newtown 2042",3,2,1,1300000,2022-09-24,-33.8977730944277,151.174249998841,498.2149865689
10,"2/6-8 Albert Street Newtown 2042",3,3,2,1470000,2022-09-23,-33.8951457449678,151.172868996473,701.121746766181
11,"4/116 Gowrie Street Newtown 2042",2,1,1,995000,2022-08-20,-33.9025688841485,151.180725773415,518.904703065936
12,"5/146 Alice Street Newtown 2042",3,1,2,1640000,2022-04-29,-33.9051655977523,151.174132400739,946.289723203517
13,"4/3 Pemell Lane Newtown 2042",1,1,NA,725000,2022-04-08,-33.8993753790387,151.174596506718,490.235358450493
14,"1/6-8 Albert Street Newtown 2042",3,3,1,1585000,2021-12-18,-33.8951397938166,151.172814262646,705.933462033698
15,"7/17-21 Lord Street Newtown 2042",2,2,1,1060000,2021-12-09,-33.9067019167853,151.180161084598,970.332775625763
16,"2/2B Gladstone Street Newtown 2042",2,2,1,1593000,2021-09-08,-33.8975898660242,151.174366591114,488.919975565929
17,"1/2-10 Sloane Street Newtown 2042",2,1,2,1375000,2021-06-04,-33.900879385835,151.175310058135,512.566221207286
18,"1/57-61 Alice Street Newtown 2042",3,2,2,1212000,2020-11-07,-33.9032163442593,151.177213420708,622.700084664449
19,"4/10A Alice Street Newtown 2042",2,1,1,1050000,2020-09-19,-33.9036664105503,151.178860799958,635.248443934051
20,"26/131 Alice Street Newtown 2042",2,1,2,1100000,2020-07-20,-33.9041844121666,151.175115597982,805.561503805915
21,"8/17 Lord Street Newtown 2042",2,2,1,975000,2020-07-17,-33.906672161029,151.180146835363,966.959304658807
22,"5/2-18 Newman Street Newtown 2042",3,2,1,1385000,2020-02-22,-33.8984146452967,151.179420962548,50.616370908216
23,"4/7-9 Pemell Lane Newtown 2042",2,1,2,1070000,2019-06-28,-33.8994444878304,151.174330129835,516.019182876756
24,"10/2B Gladstone Street Newtown 2042",3,2,1,1105000,2018-11-15,-33.8977897325055,151.174290483433,494.389328963183
25,"7/131 Alice Street Newtown 2042",2,1,2,1150000,2018-09-19,-33.9036711882351,151.175121968228,756.961390534047
26,"4/57 Alice Street Newtown 2042",3,2,2,1335000,2018-06-02,-33.9032163442593,151.177213420708,622.700084664449
27,"4/2-18 Newman Street Newtown 2042",3,2,1,1295000,2018-06-01,-33.8984146452967,151.179420962548,50.616370908216
28,"6/2 Sloane Street Newtown 2042",2,1,2,1060000,2018-03-10,-33.9009305573539,151.175080477807,532.745526537953
29,"7/43 College Street Newtown 2042",2,2,1,1100000,2018-01-11,-33.902288970492,151.177306208376,524.089399330785
30,"47/5-7 Queen Street Newtown 2042",2,1,1,1220000,2017-11-02,-33.8936562807735,151.186581203335,803.31890036397
31,"5/5-17 Queen Street Newtown 2042",2,1,1,1309000,2017-04-29,-33.8931035780781,151.186994514981,871.228647183423
32,"2/2B Gladstone Street Newtown 2042",3,2,1,1280000,2017-03-25,-33.8975898660242,151.174366591114,488.919975565929
33,"7/2-10 Sloane Street Newtown 2042",2,1,2,935000,2015-08-08,-33.9008841635198,151.175064971286,530.733994682549
34,"48/5-17 Queen St Newtown 2042",2,1,1,880000,2015-07-28,-33.8936749724176,151.186519009614,797.478139041238
35,"4/7-9 Pemell Lane Newtown 2042",2,1,2,945000,2014-10-28,-33.8994444878304,151.174330129835,516.019182876756
36,"3/10a Alice Street Newtown 2042",2,1,1,818000,2014-10-25,-33.9036664105503,151.178860799958,635.248443934051
37,"1/146 Alice Street Newtown 2042",3,1,2,9e+05,2014-09-11,-33.9049316588347,151.17401890977,930.24095735937
38,"8/2B Gladstone Street Newtown 2042",3,2,1,830000,2014-07-25,-33.8977576298163,151.174211945,501.814984008939
39,"3/6-8 Albert Street Newtown 2042",3,3,1,950000,2014-07-17,-33.8951457449678,151.172909481066,697.788045089334
40,"1/1 Pemell Lane Newtown 2042",3,1,2,915000,2014-03-28,-33.8993568550327,151.174768503371,474.50652014934
41,"5/17 Lord St Newtown 2042",3,2,1,760000,2014-02-26,-33.906770941758,151.180187319955,978.130439349513
42,"16/2-18 Newman Street Newtown 2042",2,2,1,755000,2014-02-22,-33.8984146452967,151.179420962548,50.616370908216
43,"3/116-118 Gowrie Street Newtown 2042",2,1,1,725000,2014-02-15,-33.9025688841485,151.180725773415,518.904703065936
44,"3/116 Gowrie Street Newtown 2042",2,1,1,725000,2014-02-15,-33.9025688841485,151.180725773415,518.904703065936
45,"5/17 Lord Street Newtown 2042",2,2,1,760000,2014-02-01,-33.906770941758,151.180187319955,978.130439349513
46,"4/3 Pemell Lane Newtown 2042",1,1,NA,555000,2013-11-14,-33.8993753790387,151.174596506718,490.235358450493
47,"25/43 Mallett Street Newtown 2042",1,1,NA,531000,2013-09-21,-33.8907356904311,151.177630336572,829.197518897871
48,"4/1 Pemell Lane Newtown 2042",3,2,2,890000,2013-09-01,-33.8993568550327,151.174768503371,474.50652014934
49,"4/17 Lord Street Newtown 2042",3,2,1,683500,2013-07-20,-33.9068161202161,151.180200395724,983.216289071012
50,"1/1 Gladstone Street Newtown 2042",3,2,1,1067500,2013-07-19,-33.8978955121235,151.176010701422,335.09596100749
51,"3/116 Gowrie Street Newtown 2042",2,1,1,262500,2013-02-01,-33.9025688841485,151.180725773415,518.904703065936
52,"1/85 Alice Street Newtown 2042",3,2,1,9e+05,2013-02-01,-33.9033843595085,151.176307336975,674.031615636203
53,"2/2B Gladstone Street Newtown 2042",3,2,1,780000,2012-12-13,-33.8975898660242,151.174366591114,488.919975565929
54,"31/5 Queen Street Newtown 2042",2,1,1,661000,2012-11-10,-33.893330140921,151.186588663229,826.19978346321
55,"9/2 Newman Street Newtown 2042",2,2,1,3e+05,2012-11-01,-33.8984146452967,151.179420962548,50.616370908216
56,"1/1A Little Commodore Street Newtown 2042",3,3,1,870000,2012-10-05,-33.9045674651417,151.176212118555,796.958695093037
57,"11/17-21 Lord Street Newtown 2042",2,2,1,6e+05,2012-09-11,-33.9065805468273,151.180114732673,956.63124629936
58,"9/17-21 Lord Street Newtown 2042",2,2,1,580000,2012-08-31,-33.9066436206487,151.180139710745,963.753957784448
59,"7/17 Lord Street Newtown 2042",2,2,1,580000,2012-08-01,-33.9067019167853,151.180161084598,970.332775625763
60,"4/10A Alice Street Newtown 2042",2,2,2,640000,2012-08-01,-33.9036664105503,151.178860799958,635.248443934051
61,"6/17-21 Lord Street Newtown 2042",3,2,1,668000,2012-07-28,-33.9067400963543,151.180177094033,974.652450178676
62,"6/17 Lord Street Newtown 2042",3,2,1,668000,2012-07-28,-33.9067400963543,151.180177094033,974.652450178676
63,"8/17-21 Lord Street Newtown 2042",2,2,1,580000,2012-07-26,-33.906672161029,151.180146835363,966.959304658807
64,"10/17 Lord Street Newtown 2042",2,2,1,580000,2012-07-20,-33.9066079137412,151.180124204224,959.715251226618
65,"10/17-21 Lord Street Newtown 2042",2,2,1,580000,2012-07-20,-33.9066079137412,151.180124204224,959.715251226618
66,"17 Newtown 2042",2,1,1,595000,2012-03-28,-33.8997276109999,151.180134468,198.181399657566
67,"Unit 17 Newtown 2042",2,1,1,595000,2012-03-28,-33.8997276109999,151.180134468,198.181399657566
68,"17/131 Alice Street Newtown 2042",2,1,1,595000,2012-03-01,-33.9040281734914,151.174791302148,806.965466604149
69,"4/85 Alice Street Newtown 2042",3,2,1,880000,2012-02-17,-33.9033843595085,151.176307336975,674.031615636203
70,"5/116 Gowrie St Newtown 2042",2,1,1,575000,2012-01-23,-33.9025688841485,151.180725773415,518.904703065936
71,"1/3 Pemell Lane Newtown 2042",2,2,1,640000,2011-11-18,-33.8993753790387,151.174596506718,490.235358450493
72,"5/43 College Street Newtown 2042",3,2,1,920000,2011-10-01,-33.9022568678028,151.177416849498,516.692955454167
73,"20/131 Alice Street Newtown 2042",2,1,1,637000,2011-10-01,-33.9040408720747,151.175014763686,796.892964207667
74,"5/3 Pemell Lane Newtown 2042",2,1,1,650000,2011-09-28,-33.8993753790387,151.174596506718,490.235358450493
75,"8/2 Newman Street Newtown 2042",2,2,1,685000,2011-09-14,-33.8984146452967,151.179420962548,50.616370908216
76,"8/2-18 Newman Street Newtown 2042",2,2,1,685000,2011-09-14,-33.8984146452967,151.179420962548,50.616370908216
77,"2/85 Alice Street Newtown 2042",3,2,1,865000,2011-08-01,-33.9033843595085,151.176307336975,674.031615636203
78,"16/5 Queen Street Newtown 2042",2,1,1,520000,2011-07-01,-33.8930749538788,151.186542646581,841.117925733876
79,"1/181 Missenden Road Newtown 2042",2,1,1,520000,2011-03-01,-33.8924893522134,151.1829432059,684.995303007242
80,"3/1 Gladstone Street Newtown 2042",3,2,1,860000,2011-02-09,-33.8978755212845,151.175900730852,345.331037431757
81,"5/1 Gladstone Street Newtown 2042",4,2,1,9e+05,2010-11-18,-33.8978940872,151.175789419178,355.536424206607
82,"2/1 Gladstone Street Newtown 2042",3,2,1,857000,2010-10-13,-33.8978755212845,151.175952195737,340.579394513127
83,"1/5-11 O'Connell Street Newtown 2042",3,2,1,928000,2010-10-03,-33.893542831714,151.182565684981,564.873127579141
84,"2/2-18 Newman Street Newtown 2042",2,2,1,542000,2010-09-30,-33.8984146452967,151.179420962548,50.616370908216
85,"35/5 Queen Street Newtown 2042",2,1,1,550000,2010-08-05,-33.8930512750023,151.186403171712,833.120351365432
86,"35/5-17 Queen Street Newtown 2042",2,1,1,550000,2010-08-05,-33.8930512750023,151.186403171712,833.120351365432
87,"10/2B Gladstone Street Newtown 2042",3,2,1,686000,2010-06-26,-33.8977897325055,151.174290483433,494.389328963183
88,"7/2-10 Sloane Street Newtown 2042",2,1,2,710000,2010-05-06,-33.9008841635198,151.175064971286,530.733994682549
89,"36/5-17 Queen Street Newtown 2042",2,1,1,530000,2010-04-10,-33.8930761692548,151.186313569167,825.081504808837
90,"36/5 Queen Street Newtown 2042",2,1,1,547000,2010-04-01,-33.8930761692548,151.186313569167,825.081504808837
91,"3/57 Alice Street Newtown 2042",3,2,2,695000,2009-12-03,-33.9032163442593,151.177213420708,622.700084664449
92,"53/155 Missenden Road Newtown 2042",1,1,1,375000,2009-11-01,-33.8920128829274,151.182435681663,714.557761804493
93,"352 Edgeware Road Newtown 2042",3,2,NA,680000,2009-10-01,-33.9084759885019,151.175218611572,1235.91614827535
94,"1/10A Alice Street Newtown 2042",2,1,1,572500,2009-09-22,-33.9036664105503,151.178860799958,635.248443934051
95,"47/5-17 Queen Street Newtown 2042",2,1,1,519000,2009-09-09,-33.8936562807735,151.186581203335,803.31890036397
