"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"18/27 St Peters Street St Peters 2044",2,2,1,1150000,2021-12-16,-33.9121138602086,151.176556530956,622.512757445559
2,"7A Silver Street St Peters 2044",3,2,2,2e+06,2021-06-09,-33.9141604275974,151.176313371945,830.617141869786
3,"17/27-31 St Peters Street St Peters 2044",2,2,1,1147000,2021-03-18,-33.9121342282333,151.176589639474,622.671450453679
4,"12/27 St Peters Street St Peters 2044",3,2,1,1205000,2020-06-27,-33.9122596634143,151.17638310938,644.964736318496
5,"15/1 Goodsell Street St Peters 2044",2,2,1,895000,2016-08-31,-33.9078488964158,151.180207101246,41.643357687591
6,"13/27-31 St Peters Street St Peters 2044",3,2,1,1060000,2015-10-23,-33.9122236631402,151.176324938972,644.763770080286
7,"14/27 St Peters Street St Peters 2044",3,2,1,1050000,2014-10-04,-33.9121847711095,151.176287136588,643.270002094953
8,"7/60-68 Hutchinson Street St Peters 2044",2,2,1,805000,2014-09-24,-33.9105693269105,151.177764027928,417.643986448237
9,"8/60-68 Hutchinson Street St Peters 2044",2,2,1,8e+05,2014-07-25,-33.9105274593041,151.177689764266,417.84395876795
10,"8/11/60-68 Hutchinson Street St Peters 2044",2,1,1,825000,2014-05-26,-33.9104853821502,151.177779199173,409.207141729266
11,"1/14-18 MARY STREET St Peters 2044",3,2,2,1e+06,2014-04-23,-33.9149742684862,151.173774744931,1030.91320067301
12,"2/35 Barwon Park Road St Peters 2044",2,2,2,850000,2014-03-10,-33.9122395887562,151.18099365904,531.308516564656
13,"2/35 Barwon Park Road St Peters 2044",2,2,2,850000,2014-03-08,-33.9122395887562,151.18099365904,531.308516564656
14,"17/1 Goodsell Street St Peters 2044",2,1,1,665000,2012-03-29,-33.9078941167835,151.180041726297,53.0238432420336
15,"17/1 Goodsell Street St Peters 2044",2,1,1,665000,2012-03-01,-33.9078941167835,151.180041726297,53.0238432420336
16,"27-31 St Peters Street St Peters 2044",3,2,1,9e+05,2011-06-08,-33.9123131399566,151.176594584797,639.034047517773
17,"10/27 St Peters Street St Peters 2044",3,2,1,775000,2011-05-15,-33.9123483858594,151.176448236767,649.745941336931
18,"10/27-31 St Peters Street St Peters 2044",3,2,1,755000,2011-05-15,-33.9123483858594,151.176448236767,649.745941336931
19,"7/27 St Peters Street St Peters 2044",3,2,1,780000,2011-05-01,-33.912454207387,151.176576563705,653.155836116156
20,"9/27 St Peters Street St Peters 2044",3,2,1,799000,2011-04-01,-33.9123822068388,151.176483859856,651.064612504833
21,"4/27-31 St Peters Street St Peters 2044",2,1,1,730000,2010-12-01,-33.9125018585066,151.176854759071,644.363150861261
22,"4/27 St Peters Street St Peters 2044",2,1,1,745000,2010-12-01,-33.9125018585066,151.176854759071,644.363150861261
23,"8/27 St Peters Street St Peters 2044",3,2,1,782000,2010-04-01,-33.9124182071129,151.176543455187,651.422151902144
24,"20/27 St Peters Street St Peters 2044",3,2,1,822000,2010-03-01,-33.9120458829738,151.176482770209,620.18658381246
25,"7/14-18 Mary Street St Peters 2044",3,2,2,690000,2009-10-15,-33.9149742684862,151.173774744931,1030.91320067301
26,"89 Church Street St Peters 2044",3,2,1,630000,2009-05-01,-33.9124130522424,151.178029147525,588.086618679557
27,"4 St Peters Street St Peters 2044",2,1,NA,450000,2008-03-01,-33.9119822643287,151.177790933837,552.810451148237
28,"13/1 Goodsell Street St Peters 2044",2,1,1,514800,2007-11-01,-33.9078060648906,151.180374906948,34.5447719525718
29,"4/14 Mary Street St Peters 2044",3,2,2,620000,2007-05-01,-33.9149742684862,151.173774744931,1030.91320067301
30,"2/14 Mary Street St Peters 2044",3,2,2,605000,2005-03-01,-33.9149742684862,151.173774744931,1030.91320067301
31,"6/14 Mary Street St Peters 2044",3,2,2,660000,2004-09-01,-33.9149742684862,151.173774744931,1030.91320067301
32,"8/14-22 Mary Street St Peters 2044",3,2,2,1775000,2002-05-03,-33.9149742684862,151.173774744931,1030.91320067301
33,"29 Lackey Street St Peters 2044",2,1,NA,865000,2001-11-01,-33.910847941372,151.178491241847,411.016122821218
