"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/19-21 Middleton Street Petersham 2049",2,2,1,1251000,2022-10-12,-33.8975761616126,151.161240279284,696.301518256498
2,"1/1 Belgrave Street Petersham 2049",2,1,2,1412000,2021-07-10,-33.8981044729697,151.154770036766,467.078342232875
3,"1/21 Railway Street Petersham 2049",3,2,2,1500000,2020-11-06,-33.8903242228042,151.156851850057,430.759088660778
4,"2 Merton Street Petersham 2049",4,3,NA,2020000,2020-11-04,-33.8950009895,151.159973857533,463.790463442971
5,"8/34 Croydon Street Petersham 2049",3,2,1,1035000,2019-10-18,-33.8906931103629,151.155165914053,359.133711510831
6,"3 Phillip Street Petersham 2049",2,1,1,790000,2019-02-23,-33.8885127258899,151.160964849946,808.22913008356
7,"8/34 Croydon Street Petersham 2049",3,2,1,950000,2018-12-19,-33.8906931103629,151.155165914053,359.133711510831
8,"5/19 Middleton Street Petersham 2049",2,2,1,1225000,2017-10-23,-33.8975761616126,151.161240279284,696.301518256498
9,"5/19 Middleton Street Petersham 2049",2,2,1,1225000,2017-10-23,-33.8975761616126,151.161240279284,696.301518256498
10,"2/23 West Street Petersham 2049",3,3,1,1280000,2016-11-18,-33.8934737648319,151.151096416242,375.706104809142
11,"1/1 Belgrave Street Petersham 2049",2,1,2,1065000,2016-08-17,-33.8981044729697,151.154770036766,467.078342232875
12,"2/19-21 Middleton Street Petersham 2049",2,2,1,801000,2014-08-02,-33.8975761616126,151.161240279284,696.301518256498
13,"1/65 Crystal Street Petersham 2049",3,2,1,920000,2014-02-06,-33.8917700172829,151.158587826024,399.392134052838
14,"1/65-67 Crystal Street Petersham 2049",3,2,1,920000,2014-02-06,-33.8917700172829,151.158587826024,399.392134052838
15,"1/65 Crystal Street Petersham 2049",3,2,1,920000,2014-02-06,-33.8917700172829,151.158587826024,399.392134052838
16,"4/19-21 Middleton Street Petersham 2049",2,2,1,715000,2013-03-07,-33.8975761616126,151.161240279284,696.301518256498
17,"4/19 Middleton Street Petersham 2049",2,2,1,715000,2013-03-07,-33.8975761616126,151.161240279284,696.301518256498
18,"5/34 Croydon Street Petersham 2049",3,2,2,640000,2012-12-14,-33.8906931103629,151.155165914053,359.133711510831
19,"3/16 Sadlier Crescent Petersham 2049",3,2,2,742000,2012-10-13,-33.8951901271451,151.152487057798,281.985366868565
20,"3/16 Sadlier Crescent Petersham 2049",3,2,2,742000,2012-10-12,-33.8951901271451,151.152487057798,281.985366868565
21,"1/19-21 MIDDLETON STREET Petersham 2049",2,2,1,620000,2012-09-06,-33.8975761616126,151.161240279284,696.301518256498
22,"12/65-67 Crystal Street Petersham 2049",3,3,2,847000,2012-08-03,-33.892138527656,151.15826705059,351.408540171373
23,"12/65 Crystal Street Petersham 2049",3,3,2,847000,2012-08-03,-33.892138527656,151.15826705059,351.408540171373
24,"3/22 Croydon Street Petersham 2049",2,1,2,312500,2012-07-01,-33.8908586110411,151.156784375737,373.539163101393
25,"1/23 West Street Petersham 2049",3,3,1,950000,2012-02-01,-33.8934737648319,151.151096416242,375.706104809142
26,"4/23 West Street Petersham 2049",2,2,1,1005000,2011-11-01,-33.8934737648319,151.151096416242,375.706104809142
27,"7/23 West Street Petersham 2049",2,2,1,985000,2011-11-01,-33.8934737648319,151.151096416242,375.706104809142
28,"3/23 West Street Petersham 2049",2,2,1,835000,2011-11-01,-33.8934737648319,151.151096416242,375.706104809142
29,"8/23 West Street Petersham 2049",3,2,1,1340000,2011-10-01,-33.8934737648319,151.151096416242,375.706104809142
30,"6/23 West Street Petersham 2049",3,2,1,975000,2011-08-01,-33.8934737648319,151.151096416242,375.706104809142
31,"8/34 Croydon Street Petersham 2049",3,2,1,625000,2010-12-08,-33.8906931103629,151.155165914053,359.133711510831
32,"1/69a Station Street Petersham 2049",3,1,1,1360000,2010-10-01,-33.8910020254045,151.152110375069,427.947724966824
33,"5/34 Croydon STREET Petersham 2049",3,2,2,640000,2010-05-01,-33.8906931103629,151.155165914053,359.133711510831
34,"2/16 Sadlier Crescent Petersham 2049",3,3,2,1305500,2009-06-01,-33.8951901271451,151.152487057798,281.985366868565
35,"1/69A Station Street Petersham 2049",3,1,1,635500,2009-03-14,-33.8910020254045,151.152110375069,427.947724966824
36,"7/34 Croydon Street Petersham 2049",3,2,1,237500,2009-02-01,-33.8906931103629,151.155165914053,359.133711510831
37,"7/65 Crystal Street Petersham 2049",3,3,2,590000,2008-01-01,-33.8919013197962,151.158346427213,372.77859029153
38,"4/21 Railway Street Petersham 2049",2,1,2,494000,2007-05-01,-33.8903242228042,151.156851850057,430.759088660778
39,"6/34 Croydon Street Petersham 2049",3,2,2,1e+06,2007-03-01,-33.8906931103629,151.155165914053,359.133711510831
40,"2/34 Croydon Street Petersham 2049",3,2,NA,420000,2006-06-01,-33.8906931103629,151.155165914053,359.133711510831
41,"1/5 Phillip Street Petersham 2049",2,1,1,440000,2006-03-01,-33.8885127258899,151.160964849946,808.22913008356
