"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"17/50-60 Clark Road North Sydney 2060",3,2,1,2251000,2023-02-21,-33.8395214657483,151.21366791018,608.080736533796
2,"4/50-60 Clark Road North Sydney 2060",4,2,2,2220000,2022-10-29,-33.8393953600151,151.213816605142,625.560175905222
3,"5/50-60 Clark Road North Sydney 2060",4,2,2,2200000,2022-08-25,-33.8393501396474,151.213807049773,626.369101262105
4,"2/28 West Street North Sydney 2060",3,2,3,2300000,2022-05-09,-33.8325555593858,151.205274859073,983.375210017408
5,"13/263-269 Alfred Street North (Enter via Whaling Road) North Sydney 2060",3,2,3,2475000,2022-03-02,-33.8405338320139,151.211675364157,401.20347227618
6,"7/4 Riley Street North Sydney 2060",2,1,1,1485000,2021-12-03,-33.8375153410423,151.202333816887,624.195915817335
7,"1/50 Clark Road North Sydney 2060",4,2,3,2350000,2021-06-25,-33.8395547838134,151.213844013966,622.479910856463
8,"4A Whaling Road North Sydney 2060",4,3,2,2805000,2021-04-28,-33.8405312336239,151.212044000259,434.781353843443
9,"9/28 West Street North Sydney 2060",3,2,2,1725000,2020-11-06,-33.8327990536731,151.204597936573,971.702898988363
10,"3/42-44 Myrtle Street North Sydney 2060",3,2,2,1865000,2020-08-15,-33.830835006121,151.205162541571,1173.42605207555
11,"7 Carlow Street North Sydney 2060",4,2,2,2820000,2020-02-15,-33.8309988304186,151.206835904721,1137.842818217
12,"11/263 Alfred Street North North Sydney 2060",3,3,3,1850000,2019-12-05,-33.8405254920202,151.211552820733,390.259368763533
13,"4C Whaling Road North Sydney 2060",4,2,2,1688000,2018-10-26,-33.8405312336239,151.212044000259,434.781353843443
14,"8/50 Clark Road North Sydney 2060",3,2,2,1690000,2018-06-23,-33.8391942781579,151.213784502453,630.364818372037
15,"19 Carlow Street North Sydney 2060",3,2,2,2330000,2018-03-27,-33.8309988304186,151.206835904721,1137.842818217
16,"8 Cassins Avenue North Sydney 2060",4,2,2,2830000,2017-08-24,-33.8309988304186,151.206835904721,1137.842818217
17,"9/50-60 Clark Road North Sydney 2060",3,2,2,1670000,2017-07-22,-33.8391693000864,151.213554838306,611.592936547552
18,"13 Carlow Street North Sydney 2060",3,2,2,2830000,2017-06-10,-33.8309988304186,151.206835904721,1137.842818217
19,"TH5/28 West Street North Sydney 2060",3,2,2,1850000,2017-03-25,-33.8325431960786,151.205008817466,989.955633907736
20,"33/1 Kiara Close North Sydney 2060",3,2,2,3640000,2017-03-25,-33.84310783066,151.216267389812,845.517643597369
21,"41/22 Ridge Street North Sydney 2060",3,2,1,1800000,2016-08-31,-33.8317449874392,151.206296696889,1058.57343072641
22,"27 Riley Street North Sydney 2060",3,2,2,1600000,2016-07-08,-33.8380015752455,151.203815066816,488.010748179598
23,"16/50 Clark Road North Sydney 2060",4,2,1,1388000,2015-09-26,-33.8395190769059,151.213594149432,601.68112903569
24,"10/50-60 Clark Road North Sydney 2060",3,2,1,1570000,2015-05-01,-33.8392180827629,151.213554838306,609.597541011032
25,"12/263 Alfred Street North Sydney 2060",3,1,3,1350000,2015-03-28,-33.840530269705,151.211613505712,395.662255651482
26,"42/22 Ridge Street North Sydney 2060",3,2,1,1240000,2015-02-21,-33.8317539979852,151.206362830105,1056.99585862273
