"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/3 Benton Avenue Artarmon 2064",2,2,1,1290000,2022-11-12,-33.8079530810043,151.180932554966,399.785651447688
2,"9/20-22 Cleland Road Artarmon 2064",2,1,1,1150000,2022-09-26,-33.8116950978579,151.189619643236,524.005019668067
3,"8/19-21 Milner Road Artarmon 2064",2,1,1,1315000,2022-06-03,-33.8119884225596,151.182197048879,443.625625533723
4,"40/3 Barton Road Artarmon 2064",2,1,1,1200000,2022-04-27,-33.8115248194949,151.185048991435,299.942877159161
5,"23/19-21 Milner Road Artarmon 2064",3,2,1,1906000,2021-12-11,-33.8116114464643,151.181561113885,452.072651027842
6,"5/9-11 Kitchener Road Artarmon 2064",3,2,1,1985000,2021-11-23,-33.8090562651907,151.180037283888,471.126563467178
7,"2/1 Parkes Road Artarmon 2064",4,3,1,2e+06,2021-11-09,-33.8123456173634,151.190261613201,615.556360735555
8,"1/3 Milner Road Artarmon 2064",2,1,1,1363000,2021-10-18,-33.8115880190449,151.182799791537,374.680010618687
9,"3/1-3 Parkes Road Artarmon 2064",4,3,1,2060000,2021-09-17,-33.8123456173634,151.190261613201,615.556360735555
10,"3/8 Jersey Road Artarmon 2064",2,1,2,1360001,2021-08-30,-33.811084266664,151.183087039358,313.678947184099
11,"5/1 Milner Road Artarmon 2064",3,1,2,1640000,2021-08-27,-33.811397037381,151.183175719894,337.712393467092
12,"4/2 Palmer Street Artarmon 2064",3,1,1,1660000,2021-08-14,-33.8073713769239,151.180590154222,449.709718577436
13,"13/1 Milner Road Artarmon 2064",2,1,1,1545000,2021-08-07,-33.811397037381,151.183175719894,337.712393467092
14,"5/20-22 Cleland Road Artarmon 2064",2,1,1,1480000,2021-07-01,-33.8116950978579,151.189619643236,524.005019668067
15,"6/3 Benton Avenue Artarmon 2064",2,1,1,1040000,2021-06-05,-33.8079530810043,151.180932554966,399.785651447688
