"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/5 Corona Avenue Roseville 2069",3,2,2,1728000,2020-10-19,-33.7874945736432,151.177703007673,370.419555180621
2,"3/1 Clanville Road Roseville 2069",3,2,2,1690000,2020-09-09,-33.78263319553,151.175246271852,255.252697278484
3,"3/19 Findlay Avenue Roseville 2069",3,2,2,1820000,2020-03-05,-33.7888852990181,151.176685696084,525.968668523658
4,"4/1 Links Avenue Roseville 2069",3,2,1,1280000,2020-02-21,-33.7782705825652,151.194514171777,1725.53498968098
5,"1/7 Nola Road Roseville 2069",3,2,2,1380000,2019-02-11,-33.7873487704375,151.177100348834,352.453713115057
6,"1/4 Clanville Road Roseville 2069",3,2,3,1400000,2018-10-13,-33.7821135175331,151.174446303013,348.971697553148
7,"4/126 Archer Street Roseville 2069",2,2,1,1160000,2018-05-21,-33.7879434245582,151.18135206922,563.16700152188
8,"2/5 Corona Avenue Roseville 2069",3,2,2,1650000,2016-12-21,-33.7874945736432,151.177703007673,370.419555180621
9,"2/5 Corona Avenue Roseville 2069",3,2,2,1350000,2015-02-27,-33.7874945736432,151.177703007673,370.419555180621
10,"4/5 Corona Avenue Roseville 2069",3,2,2,1230000,2014-03-13,-33.7874945736432,151.177703007673,370.419555180621
11,"3/1 Clanville Road Roseville 2069",3,2,2,980000,2014-02-27,-33.78263319553,151.175246271852,255.252697278484
12,"2/1 Sixth Mile Lane Roseville 2069",4,2,2,1090000,2013-12-20,-33.7847349158417,151.175888493273,142.191890719389
13,"41a Ashley Street Roseville 2069",3,3,1,955000,2013-07-20,-33.786786554282,151.193315643442,1511.94981479106
14,"2/4-6 Clanville Road Roseville 2069",3,2,2,870000,2012-09-22,-33.7821135175331,151.174446303013,348.971697553148
15,"1 Links Avenue Roseville 2069",3,2,1,718000,2012-01-30,-33.7782705825652,151.194514171777,1725.53498968098
16,"6/1 Links Avenue Roseville 2069",3,2,1,1350000,2012-01-01,-33.7782705825652,151.194514171777,1725.53498968098
17,"4/1 Clanville Road Roseville 2069",3,2,2,875000,2011-11-01,-33.78263319553,151.175246271852,255.252697278484
18,"3/4 Clanville Road Roseville 2069",3,2,1,865000,2011-09-16,-33.7821135175331,151.174446303013,348.971697553148
19,"4/1 Links Avenue Roseville 2069",3,2,1,750000,2011-03-23,-33.7782705825652,151.194514171777,1725.53498968098
20,"4/4 Clanville Road Roseville 2069",3,2,2,977500,2011-02-18,-33.7821135175331,151.174446303013,348.971697553148
21,"1 4 Lord Street Roseville 2069",3,2,2,203750,2010-10-01,-33.7837461446336,151.178670279299,137.964376830277
22,"1/4 Lord Street Roseville 2069",3,2,2,203750,2010-10-01,-33.7837461446336,151.178670279299,137.964376830277
23,"1/4 Lord St Roseville 2069",3,2,2,203750,2010-10-01,-33.7837461446336,151.178670279299,137.964376830277
24,"2 Moore Street Roseville 2069",4,3,2,1200000,2010-08-23,-33.780573049458,151.191902706023,1411.8000013737
25,"3/5 Corona Avenue Roseville 2069",3,2,2,952000,2010-07-23,-33.7874945736432,151.177703007673,370.419555180621
26,"3/5 Corona Avenue Roseville 2069",3,2,2,952000,2010-07-23,-33.7874945736432,151.177703007673,370.419555180621
27,"1/126 Archer Street Roseville 2069",3,2,1,685000,2010-05-28,-33.7879434245582,151.18135206922,563.16700152188
28,"4/19 Findlay Avenue Roseville 2069",3,2,2,1975000,2010-02-01,-33.7888852990181,151.176685696084,525.968668523658
29,"3/19 findlay avenue Roseville 2069",3,2,2,920000,2009-10-31,-33.7888852990181,151.176685696084,525.968668523658
30,"5/19 Findlay Avenue Roseville 2069",3,2,2,920000,2009-06-01,-33.7888852990181,151.176685696084,525.968668523658
31,"4/1 Links Aveune Roseville 2069",3,2,2,585000,2008-07-30,-33.7782705825652,151.194514171777,1725.53498968098
32,"1/19 Larkin Street Roseville 2069",3,2,2,770000,2008-03-12,-33.7851810845477,151.176341954235,140.506124450012
33,"Unit 1/1 Links Avenue Roseville 2069",3,2,1,634000,2008-03-05,-33.7782705825652,151.194514171777,1725.53498968098
34,"1/1 Links Avenue Roseville 2069",3,2,1,1415000,2008-03-01,-33.7782705825652,151.194514171777,1725.53498968098
35,"4/5 Corona Avenue Roseville 2069",3,3,2,939000,2008-02-01,-33.7874945736432,151.177703007673,370.419555180621
36,"3/126 Archer Street Roseville 2069",2,2,1,540000,2007-08-01,-33.7879434245582,151.18135206922,563.16700152188
37,"Unit 6/1 Links Avenue Roseville 2069",3,2,1,620000,2007-06-20,-33.7782705825652,151.194514171777,1725.53498968098
38,"1/19 Findlay Avenue Roseville 2069",3,2,2,992000,2005-09-01,-33.7888852990181,151.176685696084,525.968668523658
39,"2/19 Findlay Avenue Roseville 2069",3,3,NA,1100000,2003-11-01,-33.7888852990181,151.176685696084,525.968668523658
