"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"7/9 Curagul Road Turramurra 2074",3,2,1,1551000,2023-03-25,-33.6992497293741,151.151252319641,4247.86490986943
2,"5/1276 Pacific Highway Turramurra 2074",3,2,2,1278000,2023-03-07,-33.7367311277132,151.13300298859,651.537283204829
3,"32/2 Jersey Street Turramurra 2074",3,2,2,1425000,2023-01-24,-33.7356344395017,151.128098234128,369.38564522817
4,"11/1351 Pacific Highway Turramurra 2074",2,1,1,825000,2023-01-21,-33.7317434343192,151.126145753603,215.979476540271
5,"5/2 Womerah Street Turramurra 2074",3,2,2,1480000,2022-12-06,-33.7348596163722,151.132801655276,497.850425426752
6,"3/9 Curagul Road Turramurra 2074",3,2,2,1520500,2022-11-03,-33.6990926944181,151.151557840012,4277.15634721217
7,"28/2 Jersey Street Turramurra 2074",3,2,2,1502000,2022-10-15,-33.7359542510174,151.128059425917,405.151057964743
8,"8/19-21 Eastern Road Turramurra 2074",3,2,2,1875000,2022-10-07,-33.7300960131595,151.129447971997,267.281574001562
9,"21/2 Jersey Street Turramurra 2074",3,2,3,1542000,2022-09-24,-33.7356344395017,151.128455722299,368.598327025469
10,"24/2 Jersey Street Turramurra 2074",3,2,2,1460000,2022-08-26,-33.7357392971105,151.128310296279,380.231768222189
11,"29/2 Jersey Street Turramurra 2074",3,2,2,1375000,2022-07-26,-33.7357648200056,151.127967308801,384.856402299273
12,"6/6 Finlay Road Turramurra 2074",3,2,2,1600000,2022-07-15,-33.7314195575805,151.122834315115,522.444324840664
13,"37/2 Jersey Street Turramurra 2074",3,2,2,1635000,2022-05-07,-33.7362311052793,151.127696740966,439.40377714365
14,"7/19-21 Eastern Road Turramurra 2074",3,2,2,2100000,2022-03-31,-33.7300960131595,151.129447971997,267.281574001562
15,"36/2 Jersey Street Turramurra 2074",3,2,2,1635000,2022-03-10,-33.736275277909,151.127747619118,443.633572362799
16,"3/1 Warrangi Street Turramurra 2074",4,3,2,1720000,2021-12-11,-33.7375381792605,151.135198292851,858.071877665497
17,"43/2 Jersey Street Turramurra 2074",3,2,2,1630000,2021-11-20,-33.7359021574892,151.127837221663,401.381279736995
18,"14A/1-3 Nulla Nulla Street Turramurra 2074",3,3,1,1926000,2021-11-05,-33.7322825583314,151.131695746971,307.758513657139
19,"8/183-185 Burns Road Turramurra 2074",3,3,2,1700000,2021-09-30,-33.7203988217378,151.141797616678,1818.61667638361
20,"4/2-6 Womerah Street Turramurra 2074",3,2,2,1680000,2021-09-30,-33.7348596163722,151.132801655276,497.850425426752
21,"31/2 Jersey Street Turramurra 2074",3,2,2,1440000,2021-07-23,-33.7356802046931,151.128043835577,374.842643006688
22,"Villa 5/38 Eastern Road Turramurra 2074",3,2,2,2775000,2021-07-14,-33.7290648295214,151.128755878251,364.547489809989
23,"5/1 Warrangi Street Turramurra 2074",4,3,2,1800000,2021-06-09,-33.7375381792605,151.135198292851,858.071877665497
24,"3/1-3 Nulla Nulla Street Turramurra 2074",3,3,2,2165000,2021-05-07,-33.7322825583314,151.131695746971,307.758513657139
25,"23/2 Jersey Street Turramurra 2074",3,2,2,1560000,2021-04-19,-33.735705140855,151.12835262489,376.391064343586
26,"34/2 Jersey Street Turramurra 2074",3,2,2,1573000,2021-03-27,-33.7360709271096,151.127970996838,418.753134630411
27,"4/11-15 Curagul Road Turramurra 2074",4,2,2,1875000,2021-03-19,-33.6991825065106,151.153419376888,4357.75592907308
28,"2/6 Finlay Road Turramurra 2074",3,2,2,1480000,2021-03-11,-33.7314195575805,151.122834315115,522.444324840664
29,"1/1-3 Nulla Nulla Street Turramurra 2074",3,3,2,2250000,2021-03-04,-33.7322825583314,151.131695746971,307.758513657139
30,"4/6 Finlay Road Turramurra 2074",3,2,2,1485000,2020-11-18,-33.7314195575805,151.122834315115,522.444324840664
31,"1/6 Finlay Road Turramurra 2074",3,3,2,1514000,2020-07-25,-33.7314195575805,151.122834315115,522.444324840664
32,"1/1276 Pacific Hwy Turramurra 2074",3,3,2,1180000,2020-07-03,-33.7367311277132,151.13300298859,651.537283204829
33,"10/6 Finlay Rd Turramurra 2074",4,2,2,1800000,2020-05-05,-33.7314195575805,151.122834315115,522.444324840664
34,"9/6 Finlay Road Turramurra 2074",4,2,2,1600000,2020-05-01,-33.7314195575805,151.122834315115,522.444324840664
35,"5/199 Kissing Point Road Turramurra 2074",3,2,1,1400000,2020-03-13,-33.7343764415637,151.127064745467,258.540741329288
