"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"15/1 Anzac Avenue Denistone 2114",3,2,2,1300000,2022-12-19,-33.8015385362327,151.099892040295,1236.62654476103
2,"3/11 Pennant Avenue Denistone 2114",3,2,2,1395000,2022-09-24,-33.8011168007744,151.099440255714,1187.62171906947
3,"13/1 Anzac Avenue Denistone 2114",3,2,2,1430000,2022-04-11,-33.8014454971074,151.099822805775,1228.47884242915
4,"68 Denistone Road Denistone 2114",4,3,2,1946666,2022-02-17,-33.796459480094,151.092351847837,620.306112744123
5,"494A Blaxland Road Denistone 2114",4,2,2,1808000,2021-08-20,-33.7944748968792,151.091059526005,688.725586740507
6,"1/498 Blaxland Road Denistone 2114",2,2,1,1300000,2021-07-10,-33.7941817817251,151.090804464692,702.690016570118
7,"1/11 Pennant Avenue Denistone 2114",3,2,2,1402888,2021-04-26,-33.8011168007744,151.099440255714,1187.62171906947
8,"1/360 Blaxland Road Denistone 2114",4,2,2,1550000,2021-04-01,-33.8007746095773,151.100054230122,1238.9302866259
9,"3/35 Pennant Avenue Denistone 2114",4,3,2,1570000,2020-11-13,-33.7992169586007,151.098048105416,1045.9785857374
10,"1/35 Pennant Avenue Denistone 2114",5,3,2,1810000,2020-09-21,-33.7992169586007,151.098048105416,1045.9785857374
11,"9/1 Anzac Avenue Denistone 2114",4,2,2,1150000,2018-08-09,-33.8017984171406,151.100133774383,1264.11017318827
12,"18/1 Anzac Avenue Denistone 2114",4,2,2,1129000,2018-06-23,-33.8017546636061,151.099879299803,1240.07198103562
13,"16/1 Anzac Avenue Denistone 2114",3,3,3,1135000,2017-11-10,-33.8016561762437,151.099903942598,1240.15507638015
14,"1/33 Pennant Avenue Denistone 2114",2,1,2,850000,2017-06-13,-33.7993054714982,151.098237033513,1063.18120573247
15,"3/1-13 Pennant Avenue Denistone 2114",3,2,2,972500,2015-12-11,-33.801127487701,151.098961732862,1144.06099304638
16,"4/11 Pennant Avenue Denistone 2114",3,2,2,1150000,2015-12-04,-33.8011168007744,151.099440255714,1187.62171906947
17,"5/11 Pennant Avenue Denistone 2114",3,2,2,990000,2014-08-09,-33.8011168007744,151.099440255714,1187.62171906947
18,"8/1 Anzac Avenue Denistone 2114",4,2,2,875000,2013-12-11,-33.8017500954688,151.100127320318,1262.45592999701
19,"7/53 Pennant Avenue Denistone 2114",2,1,1,640000,2013-11-02,-33.7991276494223,151.096867765811,937.262098701422
20,"7/51-53 Pennant Avenue Denistone 2114",2,1,1,640000,2013-11-02,-33.7991276494223,151.096867765811,937.262098701422
21,"1/1 Anzac Avenue Denistone 2114",3,3,1,724000,2013-07-16,-33.8012904738082,151.10005439776,1246.73214146287
22,"6/11 Pennant Avenue Denistone 2114",3,2,2,845000,2013-06-21,-33.8011168007744,151.099440255714,1187.62171906947
23,"9/1 Anzac Avenue Denistone 2114",4,2,2,850000,2013-05-09,-33.8017984171406,151.100133774383,1264.11017318827
24,"9/1-11 Anzac Avenue Denistone 2114",4,2,2,850000,2013-05-09,-33.8017984171406,151.100133774383,1264.11017318827
25,"9/1-11 Anzac Ave Denistone 2114",4,2,2,850000,2013-05-09,-33.8017984171406,151.100133774383,1264.11017318827
26,"9/1 Anzac Ave Denistone 2114",4,2,2,850000,2013-05-09,-33.8017984171406,151.100133774383,1264.11017318827
27,"1-11 Denistone 2114",4,2,2,850000,2013-05-01,-33.795109281221,151.090462483042,599.180705780148
28,"10/1 Anzac Avenue Denistone 2114",3,2,2,765000,2013-04-01,-33.8018613652335,151.100115501834,1263.88160318255
29,"1/39 Goodwin Street Denistone 2114",3,2,2,885000,2013-03-09,-33.8028094423017,151.094872118484,836.180270284536
30,"39 Goodwin Street Denistone 2114",3,2,2,885000,2013-03-09,-33.8028094423017,151.094872118484,836.180270284536
31,"UNIT6/26 MARLOW AVE Denistone 2114",2,1,1,585000,2013-03-05,-33.8006209273825,151.093182578261,607.877151785344
32,"10/22 Anzac Avenue Denistone 2114",3,NA,NA,675000,2013-03-01,-33.8033569901266,151.098476336849,1166.15606776161
33,"12/1 Anzac Avenue Denistone 2114",3,2,2,1380000,2013-02-01,-33.8013771007775,151.099810903473,1226.08714210049
34,"18/1 Anzac Avenue Denistone 2114",3,2,2,824000,2013-02-01,-33.8017546636061,151.099879299803,1240.07198103562
35,"8/22-26 Anzac Avenue Denistone 2114",3,1,1,605000,2012-10-01,-33.8033569901266,151.098476336849,1166.15606776161
36,"2/47 Anthony Road Denistone 2114",3,2,2,760000,2012-09-22,-33.8007539481859,151.086642346851,137.923345611897
37,"1 Anzac Avenue Denistone 2114",3,2,2,777000,2012-07-01,-33.8016150630087,151.100003016694,1248.28699780526
38,"5/58 Anthony Road Denistone 2114",3,2,2,645000,2011-09-01,-33.801745317784,151.086068354121,255.761024018824
39,"10/58 Anthony Road Denistone 2114",3,2,1,650000,2011-02-01,-33.801745317784,151.086068354121,255.761024018824
40,"1/40 Denistone Road Denistone 2114",2,NA,NA,570000,2010-12-01,-33.794449290165,151.09036139729,655.888292767445
41,"3/472-474 Blaxland Road Denistone 2114",3,2,1,653000,2010-11-01,-33.7957224174383,151.092144228095,654.092157518587
42,"2/34 Ryedale Road Denistone 2114",3,2,1,580000,2010-10-01,-33.7981931929468,151.088537327521,221.782073520016
43,"3/472 Blaxland Road Denistone 2114",3,2,1,653000,2010-10-01,-33.7957224174383,151.092144228095,654.092157518587
44,"2/51 Pennant Avenue Denistone 2114",2,1,1,565000,2010-09-04,-33.7991276494223,151.096867765811,937.262098701422
45,"2/51 -53 Pennant Avenue Denistone 2114",2,1,1,565000,2010-09-04,-33.7991276494223,151.096867765811,937.262098701422
46,"7/57 Terry Road Denistone 2114",4,1,2,650000,2010-06-25,-33.8022305042493,151.094739349137,798.633762718212
47,"3/502 Blaxland Road Denistone 2114",3,2,1,620000,2010-05-01,-33.7938874511951,151.09054923574,718.752371210109
48,"1/34 Ryedale Road Denistone 2114",3,2,2,6e+05,2009-08-01,-33.7981931929468,151.088537327521,221.782073520016
49,"2/50 Denistone Road Denistone 2114",3,2,1,1018000,2009-03-01,-33.7951835867926,151.090994566256,622.27675067891
50,"3/50 Denistone Road Denistone 2114",3,2,2,554000,2008-10-01,-33.7951835867926,151.090994566256,622.27675067891
51,"4/23 Pennant Avenue Denistone 2114",2,1,1,4e+05,2008-08-01,-33.7999630318023,151.099090478895,1142.93604299099
52,"1/25 Marlow Avenue Denistone 2114",3,2,1,621000,2008-02-01,-33.800992958155,151.094145575116,703.848126058847
53,"6/26 Marlow Avenue Denistone 2114",2,1,1,450000,2007-12-01,-33.8006209273825,151.093182578261,607.877151785344
54,"9/22 Anzac Avenue Denistone 2114",3,NA,NA,490500,2007-09-01,-33.8033569901266,151.098476336849,1166.15606776161
55,"3/22 Anzac Avenue Denistone 2114",3,1,1,477000,2007-08-01,-33.8033569901266,151.098476336849,1166.15606776161
56,"3/33 Pennant Avenue Denistone 2114",2,1,1,820000,2007-02-01,-33.7993054714982,151.098237033513,1063.18120573247
57,"3/34 Ryedale Road Denistone 2114",3,2,1,525000,2006-03-01,-33.7981931929468,151.088537327521,221.782073520016
58,"2/25 Marlow Avenue Denistone 2114",3,2,2,515000,2006-03-01,-33.800992958155,151.094145575116,703.848126058847
59,"2/502 Blaxland Road Denistone 2114",3,2,1,514000,2005-12-01,-33.7938874511951,151.09054923574,718.752371210109
60,"4/6A Ryedale Road Denistone 2114",2,1,3,918000,2005-08-01,-33.8002199137306,151.089503331107,266.704547058457
61,"3/25 Marlow Avenue Denistone 2114",3,2,1,605000,2004-10-01,-33.800992958155,151.094145575116,703.848126058847
62,"3/26 Marlow Avenue Denistone 2114",2,NA,NA,880000,2004-08-01,-33.8006209273825,151.093182578261,607.877151785344
63,"3/428 Blaxland Road Denistone 2114",3,NA,NA,1010000,2004-04-01,-33.7984335859299,151.096085650425,872.30104128052
64,"5/26 Marlow Avenue Denistone 2114",2,NA,NA,380000,2003-06-01,-33.8006209273825,151.093182578261,607.877151785344
65,"52 Anthony Road Denistone 2114",3,NA,NA,665000,2002-02-01,-33.8020055339681,151.086559114552,277.454168492522
66,"1/14 Stratford Avenue Denistone 2114",3,NA,NA,445000,2001-06-01,-33.7996912905014,151.091456660578,436.122663745404
67,"4/428 Blaxland Road Denistone 2114",3,2,2,561600,2000-04-01,-33.7984335859299,151.096085650425,872.30104128052
