"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/381 Pennant Hills Road Pennant Hills 2120",2,2,1,850000,2022-08-05,-33.7392819084876,151.072218013495,132.487483202654
2,"10/10-10A Albion Street Pennant Hills 2120",3,2,2,1300000,2022-06-01,-33.7375121953606,151.076011243777,334.19041996387
3,"9/92-94 Boundary Road Pennant Hills 2120",3,2,2,1100000,2022-05-27,-33.7350560462731,151.060163327986,1189.26771417091
4,"6/3-5 Fulbourne Avenue Pennant Hills 2120",4,2,1,1315000,2022-04-22,-33.7342270760491,151.074878345744,486.288308227748
5,"4/22 Britannia Street Pennant Hills 2120",3,2,2,1350000,2022-03-30,-33.7419997825017,151.076127500774,549.372000731675
6,"2/31 Hampden Road Pennant Hills 2120",3,2,2,1340000,2022-03-19,-33.7419418635508,151.074580704362,468.946942827689
7,"10/92-94 Boundary Road Pennant Hills 2120",3,2,2,1240000,2022-01-28,-33.7351404939476,151.060097949142,1192.42708115358
8,"1/17 Leo Road Pennant Hills 2120",3,2,1,1125000,2021-11-29,-33.7391608738057,151.062937821757,890.450616388539
9,"3/17 Leo Road Pennant Hills 2120",3,1,2,1105000,2021-11-03,-33.7394068826639,151.062965146761,891.959875750164
10,"12c Britannia Street Pennant Hills 2120",3,2,2,1510000,2021-07-10,-33.7412980914774,151.075082696544,429.196736296962
11,"5/18-20 Binomea Place Pennant Hills 2120",3,2,2,1355000,2021-07-09,-33.740251694685,151.070956872344,276.601917105761
12,"9/8a Hampden Road Pennant Hills 2120",3,2,2,1705800,2021-05-27,-33.7408711592391,151.072243913576,308.006046608415
13,"6/10-10a Albion Street Pennant Hills 2120",3,2,2,1040000,2020-11-25,-33.7374084273993,151.075789123343,316.720821175134
14,"4/15 Leo Road Pennant Hills 2120",3,2,2,1185000,2020-11-07,-33.7388107617101,151.063494212489,834.885176942411
15,"7/8a Hampden Road Pennant Hills 2120",3,2,2,1265000,2019-07-11,-33.7406349991172,151.071904614136,285.877227923669
16,"26/8A Hampden Road Pennant Hills 2120",3,2,2,1180000,2019-04-30,-33.7413883226651,151.072433763683,364.859751867005
17,"4/28 George Street Pennant Hills 2120",3,2,2,858000,2019-04-09,-33.7398516683559,151.077717212531,522.647097607508
18,"12c Britannia Street Pennant Hills 2120",3,2,2,925000,2019-03-13,-33.7412980914774,151.075082696544,429.196736296962
19,"1/8A Hampden Road Pennant Hills 2120",3,2,2,1240000,2018-12-18,-33.7406270633624,151.072592928649,280.31539223651
20,"15/8A Hampden Road Pennant Hills 2120",3,2,2,1237500,2018-11-24,-33.7409144936786,151.071864213362,317.153425198505
21,"1/10-10a Albion Street Pennant Hills 2120",3,2,2,1012000,2018-10-08,-33.7370032461998,151.07626462871,371.966195696279
22,"2/38 Stevens Street Pennant Hills 2120",3,2,2,1063000,2018-07-14,-33.731939696582,151.070137960403,720.201898920663
23,"2/381 Pennant Hills Road Pennant Hills 2120",3,2,2,885000,2018-07-04,-33.7392819084876,151.072218013495,132.487483202654
24,"1/51 Loftus Road Pennant Hills 2120",3,2,2,1080000,2018-06-18,-33.7354865827297,151.05717040182,1446.48038547576
25,"10/10-10a Albion Street Pennant Hills 2120",3,2,2,1090000,2018-03-09,-33.7375121953606,151.076011243777,334.19041996387
26,"12/10-10a Albion Street Pennant Hills 2120",3,2,2,1205000,2017-11-03,-33.737557960552,151.076293630095,358.935363856182
27,"1/22 Britannia Street Pennant Hills 2120",3,2,2,890000,2016-07-01,-33.7419997825017,151.076127500774,549.372000731675
28,"24/8a Hampden Road Pennant Hills 2120",3,2,2,1135000,2016-06-04,-33.7414003087866,151.072146767318,367.423834839646
29,"3 / 8-10 Albion Street Pennant Hills 2120",3,2,2,870000,2016-04-21,-33.73713048349,151.075938656496,338.817628588249
30,"3/1b Hampden Road Pennant Hills 2120",2,2,1,768000,2016-03-22,-33.739462538501,151.071983739302,157.151210342406
31,"31/8a Hampden Road Pennant Hills 2120",3,2,2,1155000,2016-02-25,-33.7409115181029,151.072708773926,312.521901466598
32,"2/92 Boundary Road Pennant Hills 2120",2,1,1,740000,2016-01-25,-33.7349965347606,151.059907596121,1213.84795010613
33,"8/17 Leo Road Pennant Hills 2120",3,2,2,720000,2014-11-27,-33.7394405779147,151.063387091767,854.079641782733
34,"4/39 Pomona Street Pennant Hills 2120",3,2,2,840000,2014-11-19,-33.7361795146652,151.080835364331,803.365676943739
35,"2/8a Hampden Road Pennant Hills 2120",4,2,2,1090000,2014-10-11,-33.7407022219806,151.07243225494,288.490155462087
36,"27 Hampden Road Pennant Hills 2120",4,2,2,1032500,2014-04-23,-33.7416976568018,151.074185162352,429.559291471308
37,"25/8a Hampden Road Pennant Hills 2120",4,2,2,1032500,2014-04-23,-33.7414107442561,151.072227485046,368.043390435429
38,"10/1B Hampden Road Pennant Hills 2120",2,2,2,572000,2013-11-23,-33.739462538501,151.071983739302,157.151210342406
39,"3/18-20 Binomea Place Pennant Hills 2120",3,2,2,785000,2013-08-22,-33.740251694685,151.070956872344,276.601917105761
40,"3/18-20 Binomea Place Pennant Hills 2120",3,2,2,785000,2013-08-22,-33.740251694685,151.070956872344,276.601917105761
41,"3/18 Binomea Place Pennant Hills 2120",3,2,2,785000,2013-08-22,-33.740251694685,151.070956872344,276.601917105761
42,"4/381 Pennant Hills Road Pennant Hills 2120",2,2,1,459000,2013-07-02,-33.7392819084876,151.072218013495,132.487483202654
43,"18/8a Hampden Road Pennant Hills 2120",3,2,2,9e+05,2013-06-11,-33.7407381384358,151.07163848871,302.509880500942
44,"9/8A Hampden Road Pennant Hills 2120",3,2,2,880000,2013-05-17,-33.7408711592391,151.072243913576,308.006046608415
