"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/12 Handley Avenue Thornleigh 2120",3,2,2,1270000,2023-03-25,-33.7350539927068,151.08442365708,665.289752796738
2,"7 Cassinia Way Thornleigh 2120",3,2,2,1325000,2023-03-09,-33.7215245951533,151.077973363492,1146.57868357435
3,"16 Silver Ash Way Thornleigh 2120",3,2,2,1410000,2023-02-28,-33.7210582260606,151.076482390555,1210.70420078478
4,"7 Allamanda Way Thornleigh 2120",3,2,2,1416000,2023-02-18,-33.7224738037784,151.077795667144,1041.70288111721
5,"6 Melaleuca Way Thornleigh 2120",3,2,2,1436000,2023-02-04,-33.7228827568343,151.077372632491,999.13980759495
6,"4/14-16 Eddy Street Thornleigh 2120",3,2,2,1201000,2023-01-24,-33.7298973201448,151.076989076602,249.735365014355
7,"14/10-14 Short Street Thornleigh 2120",3,2,2,1100000,2022-12-13,-33.7351901986334,151.081463420336,471.44802113753
8,"14/10-14 Short Street Thornleigh 2120",3,2,2,1100000,2022-12-13,-33.7351901986334,151.081463420336,471.44802113753
9,"1/173-179 Pennant Hills Road Thornleigh 2120",3,3,1,865000,2022-12-10,-33.7250190105871,151.087223464198,1114.96732399258
10,"9/173-179 Pennant Hills Road Thornleigh 2120",4,3,2,1130000,2022-12-09,-33.7250190105871,151.087223464198,1114.96732399258
11,"13 Allamanda Way Thornleigh 2120",3,2,2,1256000,2022-11-24,-33.7220538704293,151.078096158373,1087.35841171713
12,"12 Melaleuca Way Thornleigh 2120",3,2,1,1080000,2022-10-25,-33.7228151148757,151.077828775662,1003.60084762262
13,"7/18-22 Paling Street Thornleigh 2120",3,2,2,1185000,2022-10-19,-33.7354002910365,151.07958017433,413.841681315266
14,"10 Silver Ash Way Thornleigh 2120",3,2,2,1355000,2022-09-17,-33.7220648507225,151.076534274536,1099.19756033342
15,"18 Silver Ash Way Thornleigh 2120",4,2,2,1395000,2022-09-06,-33.720727937166,151.076999805438,1241.24696566178
16,"19c Nicholson Avenue Thornleigh 2120",3,2,2,975000,2022-09-05,-33.7263449438505,151.074566036032,704.327070524913
17,"7/37 Sefton Road Thornleigh 2120",4,2,2,1450000,2022-08-26,-33.7205748417045,151.077215890902,1256.32403805427
18,"2/16-18 Nelson Street Thornleigh 2120",2,1,2,930000,2022-08-22,-33.7264317384578,151.086937473662,993.548437573789
19,"1 Jamieson Way Thornleigh 2120",3,2,2,1400000,2022-06-02,-33.7231635925002,151.07936551379,967.80452273062
20,"15 Allamanda Way Thornleigh 2120",3,2,2,1400000,2022-05-05,-33.7220507272156,151.07790421279,1088.28439316353
21,"2 Silver Ash Way Thornleigh 2120",3,2,2,1400000,2022-03-24,-33.7221356358948,151.076897630038,1086.65186693373
22,"8/173-179 Pennant Hills Road Thornleigh 2120",2,1,2,8e+05,2022-03-22,-33.7250190105871,151.087223464198,1114.96732399258
23,"28 Livingstone Way Thornleigh 2120",3,2,2,1340000,2022-03-18,-33.7226566549962,151.078710132781,1020.3909967056
24,"32/10-14 Loch Maree Avenue Thornleigh 2120",3,2,2,1180000,2022-03-15,-33.7290427432065,151.085738107136,747.934103449177
25,"11/9 Trelawney Street Thornleigh 2120",3,1,2,1245000,2022-02-11,-33.7257476913397,151.085733580909,959.224451432861
26,"18/10-14 Loch Maree Avenue Thornleigh 2120",3,2,2,1210000,2022-01-19,-33.7289922422399,151.08535773637,718.458402853194
27,"2/26 Paling Street Thornleigh 2120",3,2,2,1255000,2022-01-13,-33.7347458320366,151.080305879507,371.362384909051
28,"6/4 Paling Street Thornleigh 2120",3,2,2,1300000,2021-12-21,-33.7344241345927,151.077920557502,293.131971071966
29,"18/16-18 Nelson Street Thornleigh 2120",3,2,2,1222000,2021-12-20,-33.7257922411551,151.086853151716,1032.1272734324
30,"2 Wild Ash Way Thornleigh 2120",4,2,2,1526000,2021-12-18,-33.7226122309093,151.076853541227,1034.59490160126
31,"14/173-179 Pennant Hills Road Thornleigh 2120",3,3,1,965000,2021-11-29,-33.7250190105871,151.087223464198,1114.96732399258
32,"33/10-14 Loch Maree Avenue Thornleigh 2120",3,2,2,1200000,2021-11-17,-33.7290587107321,151.085788566193,751.462045719609
33,"2/37 Sefton Road Thornleigh 2120",3,2,2,1300000,2021-11-15,-33.7207516160425,151.07804360384,1232.40083699083
34,"13/173-179 Pennant Hills Road Thornleigh 2120",3,3,1,975000,2021-11-11,-33.7250190105871,151.087223464198,1114.96732399258
35,"11/173-179 Pennant Hills Road Thornleigh 2120",3,3,1,965000,2021-11-05,-33.7250190105871,151.087223464198,1114.96732399258
36,"8/9 Trelawney Street Thornleigh 2120",3,1,1,1200000,2021-10-29,-33.7257131159891,151.085384977556,939.378921727546
37,"5 Dryandra Way Thornleigh 2120",3,2,2,1330000,2021-10-20,-33.721247950439,151.077388641926,1180.33540887022
38,"2/2a Paling Street Thornleigh 2120",3,2,2,1252000,2021-10-16,-33.7338421371457,151.078019715416,227.698381776819
39,"11 Jamieson Way Thornleigh 2120",4,2,2,1360000,2021-09-10,-33.7232088547774,151.079797433261,967.392900694174
40,"11/10-14 Short Street Thornleigh 2120",3,3,2,1360000,2021-07-01,-33.7353558250402,151.081974045877,515.416068126727
41,"19 Silver Ash Way Thornleigh 2120",4,2,2,1380000,2021-06-18,-33.7207609618645,151.077190158459,1235.8933398505
42,"46/10-14 Loch Maree Avenue Thornleigh 2120",3,2,2,980000,2021-05-08,-33.7289553618659,151.086466745979,813.605488009247
43,"1/14-16 Eddy Street Thornleigh 2120",3,2,2,1415000,2021-04-30,-33.7298973201448,151.076989076602,249.735365014355
44,"31 Silver Ash Way Thornleigh 2120",3,2,2,1280000,2021-04-08,-33.7209685816062,151.076840968373,1216.2406649227
45,"20/16-18 Nelson Street Thornleigh 2120",3,2,2,1150000,2021-03-31,-33.7259414390316,151.086824569426,1019.37847388299
46,"1/28 Wells Street Thornleigh 2120",3,1,2,1090000,2021-03-29,-33.7300782016153,151.074639210047,396.941586013834
