"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"63-67 Wetherill Street North - Newington 2127",3,2,2,810000,2015-02-16,-33.8420344860489,151.047779317502,2071.23002356952
2,"8/85-87 Wetherill Street Newington 2127",2,2,1,565000,2013-06-18,-33.8409447967265,151.048620692943,2029.58805452469
3,"8/85-87 Wetherill Street North Newington 2127",2,2,1,565000,2013-06-18,-33.8409447967265,151.048620692943,2029.58805452469
4,"1 Egerszegi Avenue Newington 2127",3,2,1,625000,2011-07-01,-33.8407419965792,151.053451938114,1618.94995755317
5,"1 Falcon Street Newington 2127",3,3,1,821000,2011-04-16,-33.8342523080456,151.058340347865,1712.82304315501
6,"5/73-75 Wetherill Street Newington 2127",3,2,2,461800,2010-09-24,-33.8415867247812,151.048121047694,2053.35366288839
7,"8 Watt Street Newington 2127",3,2,1,720000,2010-09-10,-33.8361011882481,151.054484001852,1810.58643814008
8,"43 Newington Boulevard Newington 2127",4,2,2,1090000,2007-09-01,-33.8401101687178,151.05478801348,1537.74557702532
9,"24 Newington Boulevard Newington 2127",4,2,2,650000,2007-03-01,-33.8375450967986,151.055274247683,1653.27924800791
10,"9 Egerszegi Avenue Newington 2127",3,2,1,545000,2006-05-01,-33.8405899907651,151.053133006698,1652.7390382411
11,"17 Perkins Avenue Newington 2127",3,3,1,1030000,2006-03-01,-33.8413268019638,151.051285970514,1782.30275085892
12,"5 Janet Avenue Newington 2127",4,3,2,650000,2006-02-01,-33.8445029984436,151.050278968667,1793.10953433857
13,"14 Moulton Avenue Newington 2127",3,2,NA,635000,2003-10-01,-33.8347960001951,151.058114958488,1677.98184626707
14,"43 Newington Drive Newington 2127",4,2,2,363000,2001-08-01,-33.8401101687178,151.05478801348,1537.74557702532
15,"7 Konrads Avenue Newington 2127",3,2,2,425000,2001-07-01,-33.8419007108742,151.05411888615,1514.01330113695
16,"2 Egerszegi Avenue Newington 2127",3,2,1,425000,2001-05-01,-33.8411191403126,151.053164606473,1627.38406321647
17,"4 Egerszegi Avenue Newington 2127",3,2,1,425000,2001-05-01,-33.8410755544161,151.053014402768,1642.08198700444
