"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/417-419 Liverpool Road Strathfield 2135",3,2,2,925000,2023-03-03,-33.8921999670063,151.088098702528,2295.66758555178
2,"10 Fairway Circuit Strathfield 2135",4,3,2,2051000,2022-10-14,-33.8843859796805,151.071579647749,2495.70608345843
3,"12/485 Liverpool Road Strathfield 2135",3,1,2,920000,2022-07-25,-33.8909976249053,151.082324744706,2363.37169432079
4,"17/1 Fitzgerald Crescent Strathfield 2135",2,1,2,750000,2022-04-29,-33.888618589327,151.077067279758,2420.12942549191
5,"5/485 Liverpool Road Strathfield 2135",3,1,2,940000,2022-04-14,-33.8912665163592,151.082289037799,2391.40749772331
6,"5/11-13 Manson Road Strathfield 2135",3,2,2,1491000,2021-12-06,-33.8690514973686,151.093700076963,356.865851352934
7,"2/43 Mackenzie Street Strathfield 2135",3,2,2,1677000,2021-11-01,-33.8703658636056,151.07733114207,1578.65783755086
8,"42 Fairway Circuit Strathfield 2135",4,3,2,1660000,2021-09-30,-33.8845697529076,151.071427935302,2518.59956634059
9,"6/43 Mackenzie Street Strathfield 2135",4,3,2,1750000,2021-07-23,-33.8706049993032,151.077446560877,1564.79334082487
10,"1/25 Philip Street Strathfield 2135",3,2,2,1200000,2021-07-19,-33.8695621648196,151.09728677715,407.170716185611
11,"5/76-80 Beresford Road Strathfield 2135",4,3,2,1470000,2021-06-26,-33.8843231573162,151.088369857095,1452.97375142159
12,"29 Fairway Circuit Strathfield 2135",4,3,2,1560000,2021-06-09,-33.8850282849209,151.072379113674,2474.45099333733
13,"10/43 Mackenzie Street Strathfield 2135",4,3,2,1800000,2021-05-29,-33.8704836712547,151.077158642503,1592.81735675805
14,"7/46 Beresford Road Strathfield 2135",3,2,2,1430000,2021-05-01,-33.8718644640743,151.08531616213,827.982257419954
15,"10/485-489 Liverpool Road Strathfield 2135",3,1,2,880000,2021-04-17,-33.8909631333737,151.082156939005,2367.26734825296
16,"6/393 Liverpool Road Strathfield 2135",2,2,2,710000,2021-03-30,-33.8907693437723,151.088736230083,2126.84482487326
17,"4/523-527 Liverpool Road Strathfield 2135",3,2,2,880000,2021-03-25,-33.889257290349,151.078265808093,2404.53671558404
18,"2/240-242 Homebush Road Strathfield 2135",4,3,2,1735000,2021-03-17,-33.8901045750315,151.08408175925,2201.79642602004
19,"15/523-527 Liverpool Road Strathfield 2135",3,2,4,780000,2020-10-22,-33.8888860977669,151.078004963267,2387.18838693987
20,"6/115 Wallis Avenue Strathfield 2135",3,1,3,873000,2020-10-21,-33.8891996228552,151.078605358991,2380.2700330064
21,"4/417-419 Liverpool Road Strathfield 2135",2,1,2,677000,2020-09-22,-33.8921999670063,151.088098702528,2295.66758555178
22,"20/1 Fitzgerald Crescent Strathfield 2135",2,1,1,650000,2020-07-16,-33.8887661108229,151.076969714405,2438.43782068766
23,"2/55 Manson Road Strathfield 2135",3,1,1,910000,2020-06-20,-33.8670239569,151.094580931167,579.484593206527
24,"5/52 Beresford Road Strathfield 2135",3,2,2,992000,2020-04-21,-33.8720293780193,151.084811571559,873.922699843182
25,"8/43 Mackenzie Street Strathfield 2135",4,2,2,1500000,2020-04-03,-33.8706204639145,151.077221674415,1585.24792353306
26,"5/66 Beresford Road Strathfield 2135",4,2,2,1280000,2020-04-03,-33.872456184529,151.083793757057,968.076373374072
27,"6/397-399 Liverpool Road Strathfield 2135",3,2,2,775000,2020-03-06,-33.891028470309,151.088870759629,2151.9435797708
28,"6/397-399 Liverpool Road Strathfield 2135",3,2,2,775000,2020-03-06,-33.891028470309,151.088870759629,2151.9435797708
29,"2/379-381 Liverpool Road Strathfield 2135",3,2,2,775000,2019-11-16,-33.889729694412,151.08966888445,1994.57986250214
