"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/15 Wigram Street Harris Park 2150",2,1,2,665000,2022-11-07,-33.825864537538,151.008779160217,304.074466351885
2,"5/5 Brisbane Street Harris Park 2150",3,1,2,727000,2022-09-02,-33.8238310459181,151.012404752435,448.129798997601
3,"3/14 Harris St Harris Park 2150",3,2,1,760000,2022-08-08,-33.8262954511802,151.00983243017,390.819047479508
4,"3/41 Alice Street Harris Park 2150",2,1,1,615000,2021-02-01,-33.8215217477742,151.016299487565,829.018840943348
5,"15 Wigram Street Harris Park 2150",2,1,2,582000,2018-09-04,-33.825864537538,151.008779160217,304.074466351885
6,"5/14 Harris Street Harris Park 2150",3,2,2,760800,2018-08-18,-33.8262954511802,151.00983243017,390.819047479508
7,"Unit 1 Harris Park 2150",2,1,1,675000,2017-07-28,29.7465195302579,-95.4029895185273,13847057.4666645
8,"2/15 Wigram Street Harris Park 2150",3,1,2,650000,2015-06-25,-33.825864537538,151.008779160217,304.074466351885
9,"5/5 Brisbane Street Harris Park 2150",3,1,2,5e+05,2014-03-26,-33.8238310459181,151.012404752435,448.129798997601
10,"8/102 Alfred Street Harris Park 2150",3,2,2,505500,2012-11-01,-33.8222250894769,151.016311585743,814.824825649003
11,"3/5 Brisbane Street Harris Park 2150",3,1,2,435000,2012-05-14,-33.8238310459181,151.012404752435,448.129798997601
12,"4/1 Brisbane Street Harris Park 2150",3,2,2,420000,2012-04-23,-33.8238741289004,151.012804653036,485.421875937689
13,"3/1 Brisbane Street Harris Park 2150",2,2,1,645500,2012-04-01,-33.8238741289004,151.012804653036,485.421875937689
14,"1/1 Brisbane Street Harris Park 2150",3,2,2,754000,2012-04-01,-33.8238741289004,151.012804653036,485.421875937689
15,"6/79 Weston St Harris Park 2150",2,NA,NA,378000,2012-03-31,-33.821620277046,151.012525787117,493.144146044094
16,"6/79 Weston Street Harris Park 2150",3,2,1,378000,2012-03-01,-33.821620277046,151.012525787117,493.144146044094
17,"2/1 Brisbane Street Harris Park 2150",2,2,1,680000,2012-03-01,-33.8238741289004,151.012804653036,485.421875937689
18,"6/5 Brisbane Street Harris Park 2150",3,1,2,435000,2012-02-01,-33.8238310459181,151.012404752435,448.129798997601
19,"4/15 Wigram street Harris Park 2150",3,1,2,423000,2012-01-17,-33.825864537538,151.008779160217,304.074466351885
20,"5/15 Wigram Street Harris Park 2150",3,1,2,423000,2012-01-17,-33.825864537538,151.008779160217,304.074466351885
21,"5/15 Wigram St Harris Park 2150",3,1,2,423000,2012-01-17,-33.825864537538,151.008779160217,304.074466351885
22,"4/15 Wigram street Harris Park 2150",3,1,2,362000,2011-11-07,-33.825864537538,151.008779160217,304.074466351885
23,"15 Wigram street Harris Park 2150",3,1,2,362000,2011-11-01,-33.825864537538,151.008779160217,304.074466351885
24,"1/45A Weston Street Harris Park 2150",2,1,2,375000,2011-10-01,-33.8221040385878,151.016209633563,807.642745255502
25,"6/5 Brisbane St Harris Park 2150",3,1,NA,435000,2011-09-06,-33.8238310459181,151.012404752435,448.129798997601
26,"1/5 Brisbane Street Harris Park 2150",3,1,2,435000,2011-05-06,-33.8238310459181,151.012404752435,448.129798997601
27,"1/5 Brisbane St Harris Park 2150",3,1,2,435000,2011-05-06,-33.8238310459181,151.012404752435,448.129798997601
28,"4/5 Brisbane Harris Park 2150",3,1,2,425000,2011-04-18,-33.8238310459181,151.012404752435,448.129798997601
29,"4/45a Weston Street Harris Park 2150",2,1,1,335000,2011-04-01,-33.8221040385878,151.016209633563,807.642745255502
30,"4/5 Brisbane Street Harris Park 2150",3,1,2,425000,2011-04-01,-33.8238310459181,151.012404752435,448.129798997601
31,"5/79 Weston Street Harris Park 2150",2,1,1,368500,2010-11-01,-33.821620277046,151.012525787117,493.144146044094
32,"3/5 Brisbane Street Harris Park 2150",3,1,2,4e+05,2009-09-30,-33.8238310459181,151.012404752435,448.129798997601
33,"2/41 Alice Street Harris Park 2150",2,1,1,585000,2009-07-01,-33.8215217477742,151.016299487565,829.018840943348
34,"1/41 Alice Street Harris Park 2150",2,1,1,270000,2006-01-01,-33.8215217477742,151.016299487565,829.018840943348
35,"3/79 Weston Street Harris Park 2150",2,1,NA,271000,2005-06-01,-33.821620277046,151.012525787117,493.144146044094
36,"2/79 Weston Street Harris Park 2150",1,NA,NA,250000,2001-11-01,-33.821620277046,151.012525787117,493.144146044094
37,"16 Bowden Street Harris Park 2150",3,2,2,178000,2001-09-01,-33.8266000914511,151.012003426911,547.389617563524
