"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/11-15 Campbell Hill Road Chester Hill 2162",2,1,1,560000,2023-03-24,-33.8736958260991,150.999853606801,1101.6149390021
2,"4/1 Parkham Street Chester Hill 2162",4,3,1,950000,2022-10-28,-33.8683962001784,150.991498777173,1859.72521030759
3,"3/1 Parkham Street Chester Hill 2162",4,3,1,910000,2022-09-06,-33.8683962001784,150.991498777173,1859.72521030759
4,"48/124 Gurney Road Chester Hill 2162",3,2,4,683000,2022-09-05,-33.8708990364666,150.987062152003,1842.67550377026
5,"11/50-56 Boundary Road Chester Hill 2162",4,2,1,816000,2022-08-19,-33.8744662487295,151.006699442401,1196.44835979256
6,"2/188 Hector Street Chester Hill 2162",3,1,1,730000,2022-07-11,-33.8900223904709,151.00493010646,855.544049019549
7,"13/27-31 Campbell Hill Road Chester Hill 2162",2,1,1,565175,2022-02-18,-33.8747669495059,150.999954944011,982.41696777264
8,"17/11-15 Campbell Hill Road Chester Hill 2162",2,1,1,575000,2022-02-18,-33.8739751530224,151.000440842938,1071.86485933913
9,"2/1 Parkham Street Chester Hill 2162",4,3,2,1065000,2022-02-11,-33.8683962001784,150.991498777173,1859.72521030759
10,"1/117 Miller Road Chester Hill 2162",5,3,2,910000,2021-12-13,-33.8739484147513,150.994152739176,1196.08595771679
11,"7/124 Gurney Road Chester Hill 2162",2,1,1,617000,2021-11-13,-33.8710204483341,150.985481995617,1929.82897520455
12,"11/82-90 Wellington Road Chester Hill 2162",3,2,2,810000,2021-09-23,-33.8839994482156,150.997921997215,184.767302712289
13,"15/11-15 Campbell Hill Road Chester Hill 2162",2,2,1,545000,2021-07-07,-33.873838066996,151.000461294782,1087.20129173796
14,"10/82-90 Wellington Road Chester Hill 2162",3,2,2,806000,2021-06-26,-33.8840232947301,150.998159456532,164.339838315608
15,"3/20 Priam Street Chester Hill 2162",3,2,1,836000,2021-05-11,-33.8751435484156,151.003420106603,996.345596237509
16,"11/119-121 Proctor Parade Chester Hill 2162",3,1,2,5e+05,2020-08-07,-33.8873258484003,151.001443486196,440.674862380894
17,"4/117 Miller Road Chester Hill 2162",4,3,2,775000,2020-07-18,-33.8739484147513,150.994152739176,1196.08595771679
