"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/5-7 Clifford Ave Canley Vale 2166",3,2,1,725000,2023-03-31,-33.8875450770778,150.940648536636,279.711679868818
2,"5/27 Phelps Street Canley Vale 2166",3,1,1,660000,2023-03-27,-33.8887207647267,150.938682309789,490.613893808894
3,"26/59 Bartley St Canley Vale 2166",2,1,1,570000,2022-12-12,-33.8893857849247,150.934968875225,839.156018278148
4,"1/134 Carcoola Street Canley Vale 2166",3,1,2,790000,2022-12-09,-33.8880738075301,150.945860320211,230.958140554809
5,"3 Pevensey Street Canley Vale 2166",2,1,1,530000,2022-08-25,-33.888474797778,150.941145834951,274.309270130365
6,"5/30-34 Pevensey Street Canley Vale 2166",2,1,1,561000,2022-08-13,-33.8882850733997,150.937822745618,552.170496850046
7,"3/45 Bartley Street Canley Vale 2166",2,1,1,560000,2022-06-30,-33.8895785267882,150.935892058041,765.550746587365
8,"3/38 Pevensey St Canley Vale 2166",3,1,1,710000,2022-02-19,-33.8881070417762,150.937115564447,612.089050542151
9,"4/38 Pevensey St Canley Vale 2166",3,1,1,650000,2021-12-22,-33.8881070417762,150.937115564447,612.089050542151
10,"11/6-8 Clifford Avenue Canley Vale 2166",2,1,1,640000,2021-11-30,-33.8876888267173,150.941496869056,207.025093749814
11,"6/7 Pevensey Street Canley Vale 2166",3,1,1,590000,2021-11-24,-33.8881445507929,150.940967132776,271.044838696433
12,"17/6-8 Clifford Avenue Canley Vale 2166",2,1,2,550000,2021-03-10,-33.8876888267173,150.941496869056,207.025093749814
13,"10/282 Sackville Street Canley Vale 2166",3,1,1,540000,2021-02-25,-33.8882250589729,150.935093681763,798.551885787982
14,"1/288 Sackville Street Canley Vale 2166",2,1,1,560000,2021-02-23,-33.888580158301,150.934786736469,833.336429089401
15,"3/25 Pevensey Street Canley Vale 2166",3,1,1,717000,2021-02-06,-33.8876923052071,150.938643166301,465.417314804779
16,"2/25 Pevensey Street Canley Vale 2166",3,1,1,710000,2020-10-10,-33.8877951092496,150.938607543213,470.341874184372
17,"9/3 Pevensey Street Canley Vale 2166",2,1,1,460000,2019-07-12,-33.888474797778,150.941145834951,274.309270130365
18,"5/17-25 BARTLEY STREET Canley Vale 2166",3,2,1,635000,2019-05-28,-33.8899723085994,150.937556536373,644.553602240077
19,"3/30 Pevensey Street Canley Vale 2166",2,1,1,480000,2018-10-25,-33.8881970215068,150.937854848307,547.076483467063
20,"3/45-47 Bartley Street Canley Vale 2166",2,1,1,490000,2018-10-02,-33.8895785267882,150.935892058041,765.550746587365
21,"5/44 Pevensey Street Canley Vale 2166",3,1,1,650000,2018-05-10,-33.8879963168353,150.936670736846,650.64526282224
22,"7/17 Pevensey Street Canley Vale 2166",3,1,1,548000,2016-12-10,-33.888003609091,150.940101533635,340.58164178221
23,"1/59 Bartley St Canley Vale 2166",1,1,NA,468000,2016-12-06,-33.8895023771978,150.934592863049,876.196131422209
24,"5/37 Bareena Street Canley Vale 2166",3,2,1,650000,2016-11-28,-33.8893818035207,150.946935131655,394.763365455453
25,"1/59-63 Bartley St Canley Vale 2166",2,1,1,468000,2016-10-01,-33.8895023771978,150.934592863049,876.196131422209
26,"3/288 Sackville St Canley Vale 2166",2,1,1,480000,2015-12-01,-33.8886551344249,150.934729655709,840.157385249202
27,"2/11 Pevensey Street Canley Vale 2166",2,1,1,448000,2015-09-23,-33.8883724547403,150.940740067019,301.025501532554
28,"23/6-8 Clifford Avenue Canley Vale 2166",2,1,1,475000,2015-04-26,-33.8876888267173,150.941496869056,207.025093749814
29,"15/34 Chancery Street Canley Vale 2166",3,2,1,555000,2015-03-18,-33.8923545293009,150.95471630383,1177.65849216496
30,"2/37 Bareena Street Canley Vale 2166",3,1,1,525000,2014-11-15,-33.8893818035207,150.946935131655,394.763365455453
31,"4/55-59 Canley Vale Road Canley Vale 2166",3,1,1,520000,2014-11-15,-33.8862070319644,150.94029322776,325.407180462629
32,"17/6-8 Clifford Ave Canley Vale 2166",2,1,2,428000,2014-09-19,-33.8876888267173,150.941496869056,207.025093749814
33,"7/6-8 Clifford Avenue Canley Vale 2166",2,1,2,395000,2014-08-11,-33.8876888267173,150.941496869056,207.025093749814
34,"28/6 Clifford Avenue Canley Vale 2166",2,1,1,350000,2013-12-01,-33.8876888267173,150.941496869056,207.025093749814
35,"3/37 Bareena Street Canley Vale 2166",3,2,1,465000,2013-10-03,-33.8893818035207,150.946935131655,394.763365455453
36,"12/288 Sackville Street Canley Vale 2166",2,1,1,370000,2013-09-25,-33.8887419709418,150.934942639868,822.942614149796
37,"12/288 Sackville St Canley Vale 2166",2,1,1,370000,2013-09-25,-33.8887419709418,150.934942639868,822.942614149796
38,"3/20 Chancery Street Canley Vale 2166",4,2,1,475000,2013-07-20,-33.8926851953811,150.955896727255,1290.87251284557
39,"7/19 Pevensey Street Canley Vale 2166",2,1,NA,310000,2013-05-01,-33.8879310218095,150.939927776782,353.881759478935
40,"1/81 Lansdowne Road Canley Vale 2166",4,2,4,447500,2013-02-01,-33.8896410557859,150.954502313842,1042.4759327472
41,"3/282 Sackville Street Canley Vale 2166",3,1,1,346000,2012-11-01,-33.88812749362,150.935292416688,778.786059896432
42,"4/5 Clifford Avenue Canley Vale 2166",3,NA,NA,415000,2012-07-01,-33.8874772674811,150.940379645182,303.196147879978
43,"9/26-28 Pevensey Street Canley Vale 2166",3,1,1,351000,2012-06-18,-33.888390140556,150.938396319253,503.900187849832
44,"9/26 Pevensey Street Canley Vale 2166",3,1,1,351000,2012-06-01,-33.888390140556,150.938396319253,503.900187849832
45,"2/55-59 Canley Vale Road Canley Vale 2166",3,1,1,350500,2012-05-26,-33.8862070319644,150.94029322776,325.407180462629
46,"4/38 Pevensey Street Canley Vale 2166",3,1,1,356000,2012-04-21,-33.8881070417762,150.937115564447,612.089050542151
47,"26/6 Clifford Avenue Canley Vale 2166",2,1,1,280000,2012-04-01,-33.8876888267173,150.941496869056,207.025093749814
48,"9/9-11 Pevensey Street Canley Vale 2166",2,1,NA,291000,2011-12-19,-33.8883724547403,150.940740067019,301.025501532554
49,"18/6 Clifford Avenue Canley Vale 2166",2,1,1,3e+05,2011-12-01,-33.8876888267173,150.941496869056,207.025093749814
50,"9 9-Nov Pevensey Street Canley Vale 2166",2,1,NA,291000,2011-12-01,-33.8883724547403,150.940740067019,301.025501532554
51,"34 Chancery Street Canley Vale 2166",3,2,2,371000,2011-09-13,-33.8925623585901,150.954810600241,1196.76270771099
52,"4/54 McBurney Road Canley Vale 2166",3,1,1,378000,2011-09-03,-33.8916601724418,150.932378699506,1155.84146949552
53,"2/34 Chancery Street Canley Vale 2166",3,2,2,371000,2011-08-01,-33.8924338640144,150.954991733169,1204.16144874937
54,"25/59 Bartley Street Canley Vale 2166",2,1,1,307500,2011-06-01,-33.8893370022482,150.934985471393,836.081835070542
55,"8/55-59 Canley Vale Road Canley Vale 2166",3,1,1,360000,2011-05-16,-33.8862070319644,150.94029322776,325.407180462629
56,"10/288-292 Sackville Street Canley Vale 2166",2,1,1,315000,2010-11-21,-33.8886432321224,150.934991338726,816.213935512475
57,"10/288 Sackville Street Canley Vale 2166",2,1,1,315000,2010-11-20,-33.8886432321224,150.934991338726,816.213935512475
58,"14/30-34 Pevensey Street Canley Vale 2166",2,1,1,320000,2010-10-30,-33.8882386795656,150.937620490295,569.223648677263
59,"2/282 Sackville Street Canley Vale 2166",3,1,1,321000,2010-10-01,-33.8881108555422,150.935242376726,783.103323502887
60,"1/45-47 Bartley Street Canley Vale 2166",2,1,1,280000,2010-08-25,-33.8896808279165,150.935852830734,773.047535907492
61,"1/45 Bartley Street Canley Vale 2166",1,1,NA,280000,2010-08-25,-33.8896808279165,150.935852830734,773.047535907492
62,"7/282 Sackville Street Canley Vale 2166",3,NA,NA,250000,2010-05-01,-33.8882619393469,150.935242376726,785.621826361882
