"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"22/130 Canterbury Road Hurlstone Park 2193",3,2,2,1080000,2023-02-08,-33.9095324435781,151.124336268345,756.464903935396
2,"5/62 Canterbury Road Hurlstone Park 2193",3,2,1,1266000,2022-04-20,-33.9076454676258,151.126765343885,599.052835415648
3,"1/3 Mill Lane Hurlstone Park 2193",2,1,1,1150000,2022-04-12,-33.9091594907963,151.12990478572,264.107750447316
4,"8/32-34 Melford Street Hurlstone Park 2193",2,1,1,1295500,2022-04-09,-33.9074572100804,151.127526085418,549.311628906844
5,"8/74-76 Floss Street Hurlstone Park 2193",2,1,1,1078000,2021-11-30,-33.9106059558273,151.129457695004,283.960726199677
6,"19/130 Canterbury Road Hurlstone Park 2193",3,2,2,1380000,2021-11-06,-33.9094569226305,151.12420945015,768.959866368501
7,"4/225 Queen Street Hurlstone Park 2193",2,1,1,1126000,2021-05-08,-33.9062278782512,151.126744556765,689.009096480286
8,"5/12 Hurlstone Avenue Hurlstone Park 2193",3,1,1,1356000,2021-04-24,-33.9139339485736,151.126154806058,719.175936216425
9,"3/54 Kilbride Street Hurlstone Park 2193",2,2,1,1070500,2021-04-13,-33.9118375926799,151.123394142428,860.193810088408
10,"3/48 Garnet Street Hurlstone Park 2193",2,1,1,1031000,2021-03-13,-33.9080131817181,151.13406690356,281.586270416023
11,"32/74 Floss Street Hurlstone Park 2193",2,1,1,889720,2021-02-19,-33.9109752205717,151.130047780988,242.292934824599
12,"4/74-76 Floss Street Hurlstone Park 2193",2,1,1,8e+05,2020-04-16,-33.9103223122239,151.129537658361,273.004709022122
13,"2/3 Mill Lane Hurlstone Park 2193",2,1,2,880000,2019-05-14,-33.9091594907963,151.12990478572,264.107750447316
14,"5/12 Hurlstone Avenue Hurlstone Park 2193",3,1,1,935000,2019-04-09,-33.9139339485736,151.126154806058,719.175936216425
15,"16/74 Floss Street Hurlstone Park 2193",2,1,1,779000,2018-10-30,-33.9106059558273,151.129461466861,283.617239806884
16,"6/16-20 Smith Avenue Hurlstone Park 2193",3,2,2,1275000,2018-10-10,-33.9133030008121,151.130597550017,389.371115810575
17,"32/74 Floss Street Hurlstone Park 2193",2,1,1,817500,2018-01-06,-33.9109752205717,151.130047780988,242.292934824599
18,"2/74 Floss Street Hurlstone Park 2193",2,1,1,820000,2017-12-22,-33.9103223122239,151.129537658361,273.004709022122
19,"5/96 Garnet Street Hurlstone Park 2193",4,2,2,1375000,2017-11-28,-33.9113818686043,151.134388768642,221.029260182672
20,"14/74 Floss Street Hurlstone Park 2193",2,1,1,820000,2017-10-11,-33.9108229633005,151.129415869307,292.75311783345
21,"1/3 Mill Lane Hurlstone Park 2193",2,1,2,845000,2015-09-04,-33.9091594907963,151.12990478572,264.107750447316
