"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/13 Urunga Parade Wiley Park 2195",3,2,2,8e+05,2022-02-16,-33.9236461855116,151.06249601164,526.667083938808
2,"9/15 Alice Street North Wiley Park 2195",2,1,1,353000,2020-11-07,-33.9218687610337,151.069429354309,154.581803510569
3,"3/25 Shadforth Street Wiley Park 2195",4,2,3,710000,2020-08-31,-33.9209620067482,151.066228892219,257.380489067118
4,"6/45-51 ROBINSON NTH Street Wiley Park 2195",3,2,2,720000,2020-02-03,-33.9225389780116,151.060639671544,687.48411534548
5,"2/61 Rawson Street Wiley Park 2195",3,2,2,650000,2019-05-21,-33.9297714288951,151.06440054768,858.433798671563
6,"4/30-32 McCourt Street Wiley Park 2195",2,2,2,5e+05,2016-11-19,-33.9185045165562,151.067949864579,466.092064554619
7,"4/30 Rawson Street Wiley Park 2195",3,3,1,7e+05,2016-08-25,-33.9278842433951,151.064094608214,685.451481419527
8,"6/45 - 51 ROBINSON Street Wiley Park 2195",3,2,2,688000,2016-01-14,-33.9225389780116,151.060639671544,687.48411534548
9,"2/13 Urunga Parade Wiley Park 2195",3,2,2,567500,2014-11-22,-33.9236461855116,151.06249601164,526.667083938808
10,"2/65 Alice Street Wiley Park 2195",4,2,3,688000,2014-06-11,-33.9253280562932,151.071862453163,456.404654022997
11,"7/36 Denman Avenue Wiley Park 2195",2,1,1,343000,2014-01-01,-33.9274207241495,151.06998591268,555.258220396712
12,"6/278 Lakemba Street Wiley Park 2195",2,1,1,330000,2013-07-01,-33.9213690738759,151.068633827878,155.700520392652
13,"1/51 Shadforth Street Wiley Park 2195",3,3,2,425000,2012-08-04,-33.9195238398013,151.065373183724,432.147992960404
14,"5/28 Ferguson Avenue Wiley Park 2195",2,1,1,240000,2012-04-01,-33.9266798058183,151.068116580634,444.144873388736
15,"2/726 Punchbowl Road Wiley Park 2195",3,1,1,570000,2012-01-01,-33.9225726732624,151.059673573384,776.62857052861
16,"2/51 Shadforth Street Wiley Park 2195",3,3,1,410000,2011-07-26,-33.9195238398013,151.065373183724,432.147992960404
17,"1/24 Renown Avenue Wiley Park 2195",3,1,2,385000,2011-05-01,-33.9260610118164,151.066139624951,415.855209819737
18,"9 45-51 Robinson Street North Wiley Park 2195",3,1,1,452000,2011-01-01,-33.9225389780116,151.060639671544,687.48411534548
19,"2/51 Shadforth Street Wiley Park 2195",3,3,1,340000,2010-10-03,-33.9195238398013,151.065373183724,432.147992960404
20,"1/1 Cornelia Street Wiley Park 2195",3,1,2,380000,2010-03-13,-33.9230794012188,151.066009537813,196.100689557203
21,"7/36 Denman Avenue Wiley Park 2195",2,1,1,240000,2010-02-01,-33.9274207241495,151.06998591268,555.258220396712
22,"3/24 Renown Avenue Wiley Park 2195",2,2,1,580000,2010-02-01,-33.9260610118164,151.066139624951,415.855209819737
23,"5/62 Denman Avenue Wiley Park 2195",2,2,2,367000,2010-02-01,-33.9286408777948,151.070732404976,706.291831406098
24,"7/60 DENMAN AVENUE Wiley Park 2195",2,1,1,207000,2009-09-04,-33.9285158617089,151.070661494076,690.968465982014
25,"54A King Georges Road Wiley Park 2195",3,1,3,4e+05,2009-06-01,-33.9203562885152,151.067318874908,269.144054997069
26,"5/278 Lakemba Street Wiley Park 2195",2,1,1,2e+05,2008-09-01,-33.9213355462632,151.068614968596,158.679173129794
27,"2/71 Robinson Street Wiley Park 2195",2,1,1,273000,2008-08-01,-33.9238302940148,151.061281725327,640.664548702037
28,"8/53 Robinson Street Wiley Park 2195",2,1,1,265000,2007-12-01,-33.92295983337,151.060764226625,676.437938673302
29,"6/45 Robinson Street Wiley Park 2195",3,1,1,380000,2007-10-01,-33.9225389780116,151.060639671544,687.48411534548
30,"1/53 Robinson Street Wiley Park 2195",2,1,1,232000,2007-09-01,-33.92295983337,151.060764226625,676.437938673302
31,"3/71 Robinson Street Wiley Park 2195",2,1,1,265000,2007-05-01,-33.9238302940148,151.061281725327,640.664548702037
32,"2/45 Robinson Street Wiley Park 2195",3,2,NA,310000,2007-03-01,-33.9225389780116,151.060639671544,687.48411534548
33,"2/65 Alice Street Wiley Park 2195",4,1,1,435000,2005-06-01,-33.9253280562932,151.071862453163,456.404654022997
34,"1/81 Alice Street Wiley Park 2195",2,1,2,731500,2005-05-01,-33.9261977625667,151.072388585225,557.547495192666
35,"3/51 Shadforth Street Wiley Park 2195",2,3,1,320000,2005-04-01,-33.9195238398013,151.065373183724,432.147992960404
36,"10/15 Alice Street Wiley Park 2195",2,1,1,190000,2004-07-01,-33.9218863211208,151.069389121174,150.430229618837
37,"9/45 Robinson Street Wiley Park 2195",4,2,1,376000,2004-06-01,-33.9225389780116,151.060639671544,687.48411534548
38,"3/8 Shadforth Street Wiley Park 2195",2,1,1,285000,2004-01-01,-33.9225194481772,151.066293516693,166.110952437296
39,"4/62 Denman Avenue Wiley Park 2195",2,1,2,330000,2003-07-01,-33.9286408777948,151.070732404976,706.291831406098
40,"34A Renown Avenue Wiley Park 2195",3,NA,NA,310000,2002-10-01,-33.9264811128036,151.066292762322,453.15471320584
