"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/56 Terry Street Arncliffe 2205",3,2,2,1360000,2021-12-02,-33.9432824700807,151.14960678441,811.502749982825
2,"2/42 Knight Street Arncliffe 2205",2,2,2,1e+06,2021-07-02,-33.9432737948109,151.137164100603,1218.18267364637
3,"1/193-195 Forest Road Arncliffe 2205",4,3,2,1285000,2021-04-14,-33.9410900575766,151.135041132167,1252.16819048718
4,"4/56 Terry Street Arncliffe 2205",3,2,2,1175000,2021-03-03,-33.9432824700807,151.14960678441,811.502749982825
5,"2/193-195 Forest Road Arncliffe 2205",4,3,2,952000,2021-03-02,-33.9410900575766,151.135041132167,1252.16819048718
6,"2/56 Terry Street Arncliffe 2205",3,2,2,1145000,2020-11-29,-33.9432824700807,151.14960678441,811.502749982825
7,"1/56 Terry Street Arncliffe 2205",3,2,2,1100000,2020-07-14,-33.9432824700807,151.14960678441,811.502749982825
8,"11/3-9 Broe Avenue Arncliffe 2205",3,2,2,952000,2020-06-22,-33.9344913623922,151.143738613997,381.450596931143
9,"12/3-9 Broe Avenue Arncliffe 2205",3,2,2,952000,2020-02-08,-33.9345240099051,151.143678348113,384.403805361063
10,"3/13-15 Roach Street Arncliffe 2205",3,2,2,820000,2019-09-28,-33.9420051099462,151.141837598356,814.160852542062
11,"T.07 Bonar Street Arncliffe 2205",2,1,NA,775000,2017-07-19,-33.9333648346054,151.145311645765,369.3671248009
12,"2/19 Withers Street Arncliffe 2205",4,3,2,1100000,2017-07-10,-33.942116631168,151.139046759875,1002.25523560482
13,"2/121 West Botany Street Arncliffe 2205",3,1,1,750000,2017-05-11,-33.9409425360807,151.150731216721,611.624803550049
14,"4/13-15 Roach Street Arncliffe 2205",3,2,2,941000,2017-05-06,-33.9420051099462,151.141837598356,814.160852542062
15,"21A Terry Street Arncliffe 2205",4,2,2,1345000,2016-12-21,-33.9434732421969,151.145945736741,813.220566350595
16,"12 Terry Lane Arncliffe 2205",3,2,2,1195000,2016-12-21,-33.9438927145414,151.147366804605,850.541278766645
17,"15/3-9 Broe Avenue Arncliffe 2205",4,3,2,9e+05,2016-12-06,-33.9346641553262,151.143491683129,392.144489355183
18,"3/24-26 Kelsey Street Arncliffe 2205",3,1,2,870000,2015-09-05,-33.9341942658341,151.144530787666,342.109263592505
19,"4/19 Withers Street Arncliffe 2205",3,2,3,920000,2015-07-29,-33.942116631168,151.139046759875,1002.25523560482
20,"1/19 Withers Arncliffe 2205",5,3,1,760000,2014-07-15,-33.942116631168,151.139046759875,1002.25523560482
21,"10/3-9 Broe Avenue Arncliffe 2205",2,2,1,630000,2013-10-16,-33.9343919530205,151.143839699749,379.398891548769
22,"10/3 Broe Avenue Arncliffe 2205",2,2,1,630000,2013-10-16,-33.9343919530205,151.143839699749,379.398891548769
23,"2/3-9 Broe Avenue Arncliffe 2205",3,2,2,692000,2013-09-21,-33.9347880398551,151.143670133848,371.247275072539
24,"2/3 Broe Avenue Arncliffe 2205",3,2,2,692000,2013-09-21,-33.9347880398551,151.143670133848,371.247275072539
25,"3/19 Withers Street Arncliffe 2205",3,3,1,685000,2013-02-25,-33.942116631168,151.139046759875,1002.25523560482
26,"2/24 Kelsey Street Arncliffe 2205",3,2,2,628000,2013-02-05,-33.9341942658341,151.144530787666,342.109263592505
27,"2/24 Kelsey St Arncliffe 2205",3,2,2,628000,2013-02-05,-33.9341942658341,151.144530787666,342.109263592505
28,"2/173 West Botany Street Arncliffe 2205",1,1,1,225000,2012-11-01,-33.9440920781084,151.150094694994,910.549936156991
29,"4/13-15 Roach Street Arncliffe 2205",3,2,2,575000,2012-09-26,-33.9420051099462,151.141837598356,814.160852542062
