"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/63 Cairns Street Riverwood 2210",4,3,2,1220000,2023-02-08,-33.9541845600839,151.056764130973,496.503396884078
2,"1/2 Lillian Rd Riverwood 2210",3,2,1,1250000,2022-11-18,-33.9520656987802,151.047592149604,456.959669703506
3,"6/15-17 Larkhill Avenue Riverwood 2210",3,2,6,1200000,2022-10-20,-33.952875642084,151.056496245347,401.309361394659
4,"9/30A Keats Ave Riverwood 2210",2,1,2,730000,2022-01-18,-33.9476573625336,151.055188416995,492.982871477288
5,"3/20 Belgium Street Riverwood 2210",2,1,1,750000,2021-10-22,-33.9403878217285,151.051866920223,1235.94832257824
6,"1/32-34 Hardwicke Street Riverwood 2210",4,2,2,1e+06,2021-05-29,-33.9555208030881,151.054196167297,476.772209712181
7,"5/4-6 Wiggs Road Riverwood 2210",3,1,2,7e+05,2021-03-26,-33.9394106594563,151.053621671653,1347.44542721986
8,"7/20-22 Belgium Street Riverwood 2210",2,1,1,7e+05,2021-03-22,-33.9403878217285,151.051866920223,1235.94832257824
9,"8/30A Keats Ave Riverwood 2210",2,1,1,665000,2020-09-29,-33.9476573625336,151.055188416995,492.982871477288
10,"5/20-22 Belgium Street Riverwood 2210",2,1,1,660000,2020-08-15,-33.9403878217285,151.051866920223,1235.94832257824
11,"8/11-13 Mary Street Riverwood 2210",3,2,2,876500,2020-07-25,-33.9479891182613,151.045076740461,787.078226473645
12,"8/16-18 Thurlow Street Riverwood 2210",2,3,2,811000,2020-07-10,-33.9518462186455,151.056036497958,330.043028648923
13,"1/16-18 Thurlow Street Riverwood 2210",4,3,2,1060000,2020-07-03,-33.9518462186455,151.056036497958,330.043028648923
14,"11/16-18 Thurlow Street Riverwood 2210",2,3,2,819000,2020-06-17,-33.9518462186455,151.056036497958,330.043028648923
15,"2/16-18 Thurlow Street Riverwood 2210",4,3,2,1e+06,2020-06-15,-33.9518462186455,151.056036497958,330.043028648923
16,"3/16-18 Thurlow Street Riverwood 2210",4,3,2,975000,2020-06-06,-33.9518462186455,151.056036497958,330.043028648923
17,"4/16-18 Thurlow Street Riverwood 2210",3,2,2,891000,2020-05-26,-33.9518462186455,151.056036497958,330.043028648923
18,"3/27-29 Hannans Road Riverwood 2210",2,1,1,6e+05,2020-03-05,-33.9463340695698,151.058112360098,772.996354607321
19,"1/26 Belgium Street Riverwood 2210",4,2,2,880000,2019-12-20,-33.9408105211057,151.051696599951,1189.81143798637
20,"1/26 Talbot Street Riverwood 2210",4,2,2,920000,2019-11-20,-33.9551846049517,151.058231802219,671.802843618886
21,"5/1A Henry Road Riverwood 2210",3,1,1,783000,2019-10-30,-33.9512712619972,151.044301246779,756.498922920238
22,"1/115 Belmore Road North Riverwood 2210",3,2,2,750000,2019-08-15,-33.9400856122096,151.053975555605,1275.64960201471
23,"33 Eldon Street Riverwood 2210",5,2,2,1100000,2019-01-25,-33.9550402685791,151.054372773997,432.938568598254
24,"2/33 Eldon Street Riverwood 2210",4,2,2,1100000,2018-12-18,-33.9550402685791,151.054372773997,432.938568598254
25,"4/1A Henry Road Riverwood 2210",3,1,1,705000,2018-12-11,-33.9512712619972,151.044301246779,756.498922920238
26,"2/20 Belgium Street Riverwood 2210",2,1,1,705000,2018-06-15,-33.9403878217285,151.051866920223,1235.94832257824
27,"4/115 Belmore Road Nth Riverwood 2210",3,2,2,705000,2018-05-23,-33.9400856122096,151.053975555605,1275.64960201471
28,"1/71 Cairns Street Riverwood 2210",3,1,1,955000,2018-04-06,-33.9542535850565,151.057724613258,573.653315091642
29,"1/1A Henry Rd Riverwood 2210",3,1,1,795000,2017-11-08,-33.9512712619972,151.044301246779,756.498922920238
30,"2/63 Cairns Street Riverwood 2210",3,2,1,1015000,2017-07-07,-33.9541845600839,151.056764130973,496.503396884078
31,"2/27-29 Hannans Road Riverwood 2210",2,1,1,603000,2017-07-04,-33.9463340695698,151.058112360098,772.996354607321
32,"9/1A Henry Road Riverwood 2210",3,1,1,760000,2017-03-03,-33.9512712619972,151.044301246779,756.498922920238
33,"9/17 Larkhill Avenue Riverwood 2210",4,2,2,1050000,2017-01-25,-33.952875642084,151.056496245347,401.309361394659
34,"3/16 Basil Street Riverwood 2210",2,1,1,615500,2016-12-24,-33.9530839742874,151.043670760022,833.738649542805
