"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/50 Vega Street Revesby 2212",2,1,3,735800,2022-09-15,-33.9584670420543,151.017842344482,723.225067279798
2,"9/259-261 The River Road Revesby 2212",3,1,2,890000,2022-08-26,-33.9622551174659,151.01679418749,1105.68958140912
3,"8/14C Mars Street Revesby 2212",3,2,2,860000,2022-08-04,-33.9590962715256,151.019138689627,837.468792660483
4,"2/64-66 Vega Street Revesby 2212",4,2,2,1180000,2022-07-25,-33.9616125607684,151.017443952624,1046.97940707692
5,"1/13 Kinross Place Revesby 2212",3,2,2,985000,2022-05-19,-33.9634963515976,151.01181910886,1262.14359783003
6,"6/18 Vega Street Revesby 2212",3,1,2,825000,2022-04-30,-33.9562784014066,151.018051389148,516.569119463396
7,"6/187 The River Road Revesby 2212",3,2,2,920000,2022-01-20,-33.9562351507862,151.017431715046,482.342925981949
8,"13/30 Vega Street Revesby 2212",2,2,2,8e+05,2022-01-11,-33.9571708226377,151.018088604798,602.856007578748
9,"1/18-20 Hydrae Street Revesby 2212",3,2,2,895000,2021-12-11,-33.9572123549679,151.020067572137,713.839809964575
10,"1/82 Sherwood Street Revesby 2212",4,2,2,1200000,2021-11-27,-33.9437095280475,151.012825607794,991.374109319143
11,"1/64-66 Vega Street Revesby 2212",4,2,2,1200000,2021-11-05,-33.9616125607684,151.017443952624,1046.97940707692
12,"4/2A Victoria Street Revesby 2212",3,2,3,786000,2021-10-08,-33.9386440505919,151.017137091149,1550.63333858176
13,"6/57 Queen Street Revesby 2212",5,3,2,1030000,2021-08-11,-33.9418199117956,151.011009919928,1236.30844052377
14,"2/74 Turvey Street Revesby 2212",3,2,1,880000,2021-07-16,-33.9385895682213,151.021089158496,1645.49232685753
15,"7/30 Vega Street Revesby 2212",2,2,2,834000,2021-06-26,-33.9568873047628,151.017843266492,564.261982107405
