"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/9 Banksia Avenue Banksia 2216",3,2,2,967000,2020-05-18,-33.9460160182538,151.142452830049,204.243627593684
2,"3/9 Banksia Avenue Banksia 2216",3,2,2,890000,2019-08-09,-33.9459398686634,151.142463558885,202.046750328191
3,"5/9 Banksia Avenue Banksia 2216",3,2,2,950000,2016-09-01,-33.9460160182538,151.142452830049,204.243627593684
4,"22/32-34 Wolli Creek Road Banksia 2216",3,2,2,732000,2014-06-12,-33.9452200727282,151.133863893866,604.879471161763
5,"3/9 Banksia Avenue Banksia 2216",3,2,2,618000,2013-04-08,-33.9459398686634,151.142463558885,202.046750328191
6,"3/9 Banksia Ave Banksia 2216",3,2,2,618000,2013-04-08,-33.9459398686634,151.142463558885,202.046750328191
7,"21/32 Wolli Creek Road Banksia 2216",3,2,2,640000,2013-04-01,-33.9452200727282,151.133863893866,604.879471161763
8,"22/32 Wolli Creek Road Banksia 2216",3,2,2,510000,2009-08-17,-33.9452200727282,151.133863893866,604.879471161763
9,"22/32-34 Wolli Creek Road Banksia 2216",3,2,2,480000,2008-10-07,-33.9452200727282,151.133863893866,604.879471161763
10,"2/9 Banksia Avenue Banksia 2216",3,2,2,457500,2008-09-17,-33.9458923013629,151.142477808121,201.5057389233
11,"4/9 Banksia Avenue Banksia 2216",3,2,NA,480000,2008-01-03,-33.9459827001886,151.142456434268,203.14774211006
12,"2/32 Wolli Creek Road Banksia 2216",2,NA,NA,4e+05,2003-03-01,-33.9448203397658,151.134574176341,541.922386056885
