"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/415 Princes Highway Carlton 2218",2,1,2,789000,2023-02-18,-33.9794992487782,151.1203996237,1294.08766688517
2,"6/405 Princes Highway Carlton 2218",2,1,2,780000,2022-11-19,-33.9792885696419,151.120697684177,1264.50950667432
3,"3/405-407 Princes Highway Carlton 2218",2,1,1,825000,2022-02-16,-33.9792885696419,151.120697684177,1264.50950667432
4,"2/405-407 Princes Highway Carlton 2218",2,1,1,810000,2021-11-17,-33.9792885696419,151.120697684177,1264.50950667432
5,"3/22 Paris Street Carlton 2218",3,2,2,915000,2021-08-02,-33.9796687727699,151.120162499659,1318.05854076743
6,"1/53a Park Road Carlton 2218",3,2,2,799000,2020-12-12,-33.9782460704345,151.121627572515,1132.50180890826
7,"4/415 Princes Highway Carlton 2218",2,1,1,7e+05,2020-12-11,-33.9794992487782,151.1203996237,1294.08766688517
8,"4/22 Paris Street Carlton 2218",3,2,2,850000,2020-10-28,-33.9796687727699,151.120162499659,1318.05854076743
9,"2/405-407 Princes Highway Carlton 2218",2,1,1,650000,2020-08-15,-33.9792885696419,151.120697684177,1264.50950667432
10,"2/415 Princes Highway Carlton 2218",2,1,1,7e+05,2020-08-09,-33.9794992487782,151.1203996237,1294.08766688517
11,"4/17-19 Nielsen Avenue Carlton 2218",3,2,1,781000,2019-10-19,-33.9708754857866,151.125340504165,315.461514860554
12,"3/405-407 Princes Highway Carlton 2218",2,1,1,680000,2019-08-02,-33.9792885696419,151.120697684177,1264.50950667432
13,"3/7 - 11 Blakesley Road Carlton 2218",3,3,2,8e+05,2019-01-12,-33.9764250181506,151.114945686941,1234.851117853
14,"3/390 Railway Parade Carlton 2218",3,2,2,878000,2018-08-11,-33.9695474570475,151.120678489618,338.874253767051
15,"4/2 Willison Road Carlton 2218",2,2,1,719000,2018-02-22,-33.967027773134,151.126235775243,247.592111027382
