"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/2 Windermere Avenue Miranda 2228",4,2,2,1350000,2023-03-23,-34.032207547702,151.107534324335,647.441722083451
2,"5/7-13 Taylor Close Miranda 2228",3,2,2,1020000,2023-03-11,-34.038107150252,151.102658906534,200.361108195653
3,"2/1 Animbo Street Miranda 2228",3,2,2,1320000,2023-02-25,-34.0386591404856,151.100618583663,316.946912652178
4,"5/204 The Boulevarde Miranda 2228",2,1,2,860000,2022-11-24,-34.0307016549775,151.10812943946,808.569177063265
5,"2/196 Sylvania Road Miranda 2228",5,3,2,1350500,2022-11-08,-34.0305496491634,151.093543670649,1050.0893969776
6,"3/12-18 Kumbardang Avenue Miranda 2228",3,2,2,865000,2022-10-01,-34.0313091334101,151.103469939485,562.919773422217
7,"9/147-151 President Avenue Miranda 2228",3,2,2,1340000,2022-09-29,-34.0406078072454,151.106761931957,615.898431904854
8,"2/1 Bowral Avenue Miranda 2228",3,2,3,1190000,2022-09-23,-34.0258125746743,151.104032281369,1176.36260601441
9,"2/143 President Avenue Miranda 2228",4,3,2,1150000,2022-08-19,-34.0406419635008,151.107220422061,646.198109958484
10,"2/8-12 Taylor Close Miranda 2228",3,2,2,1070000,2022-08-01,-34.0380804538904,151.103205574259,206.012219505329
11,"171A Sylvania Road Miranda 2228",3,3,2,1160000,2022-07-26,-34.0360342217777,151.09151189732,1019.49463726628
12,"7/143 president ave Miranda 2228",3,3,2,1240000,2022-07-25,-34.0406419635008,151.107220422061,646.198109958484
13,"3/143-145 president ave Miranda 2228",3,2,2,1144000,2022-07-25,-34.0406419635008,151.107220422061,646.198109958484
14,"3/103-109 Kareena Road Miranda 2228",3,2,2,1075000,2022-07-22,-34.0366006288848,151.112730433751,938.9054100671
15,"6/289 The Boulevarde Miranda 2228",3,2,2,1280000,2022-05-30,-34.0283029219267,151.096137282949,1070.16097770394
16,"5/122-124 Kiora Road Miranda 2228",3,2,2,1220000,2022-05-28,-34.0395357199197,151.101588621317,370.149866445635
17,"6/278-280 Port Hacking Road Miranda 2228",3,2,2,1050000,2022-05-20,-34.0321513051317,151.109338277536,778.080890383644
18,"8/2 Windermere Avenue Miranda 2228",3,2,2,1399000,2022-05-20,-34.032207547702,151.107534324335,647.441722083451
19,"29/8 Warumbui Avenue Miranda 2228",3,2,2,1075000,2022-05-18,-34.0289869690449,151.102275099187,815.526203464915
20,"5/27-31 Miranda Road Miranda 2228",1,1,1,745000,2022-05-18,-34.0326599190164,151.105914018632,510.732828692576
21,"13/147-151 President Avenue Miranda 2228",3,2,2,1350000,2022-05-13,-34.0406078072454,151.106761931957,615.898431904854
22,"9/276 Port Hacking Road Miranda 2228",3,2,2,915000,2022-04-22,-34.0312856640812,151.109369039121,841.107208461974
23,"7/12-18 Kumbardang Avenue Miranda 2228",3,2,1,1120000,2022-04-01,-34.0313091334101,151.103469939485,562.919773422217
24,"9/206 The Boulevarde Miranda 2228",2,1,1,950000,2022-03-23,-34.0306146508225,151.107799276294,797.239582345058
25,"6/94 Karimbla Road Miranda 2228",3,2,1,882000,2022-03-23,-34.0373562155465,151.101904199972,131.254447032301
26,"2/201 Parraweena Road Miranda 2228",3,2,2,1305000,2022-03-11,-34.0271624801807,151.110449298802,1251.66497286222
27,"1/30 Carramar Crescent Miranda 2228",3,2,2,1430000,2022-03-10,-34.0376955988061,151.111372649256,827.603569647323
28,"7/206 The Boulevarde Miranda 2228",2,1,1,920000,2022-03-09,-34.0306146508225,151.107799276294,797.239582345058
29,"2/4 Ventura Avenue Miranda 2228",4,3,2,1580000,2022-02-28,-34.0333520127616,151.108959164056,676.027827985774
30,"8/143-145 president ave Miranda 2228",4,3,2,1280000,2022-02-25,-34.0406419635008,151.107220422061,646.198109958484
31,"1/196 Sylvania Road Miranda 2228",4,4,2,1654400,2022-02-04,-34.0305496491634,151.093543670649,1050.0893969776
