"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/107-109 Caringbah Road Caringbah 2229",3,2,2,1195000,2023-03-18,-34.046341322384,151.122022024878,531.44255181707
2,"17/26-32 High Street Caringbah 2229",3,2,2,915000,2023-03-08,-34.0446818731933,151.117632254547,570.841325819864
3,"19/13-17 Oleander Parade Caringbah 2229",3,2,1,1080000,2022-12-14,-34.0465128580325,151.129364739698,832.74898696954
4,"8/20 High Street Caringbah 2229",3,2,2,1260000,2022-12-01,-34.0443500336466,151.117845071069,533.194433570081
5,"9/5 Oleander Parade Caringbah 2229",3,1,1,1260000,2022-11-03,-34.0456158267546,151.129826079649,805.692593591612
6,"5/8-14 Jacaranda Road Caringbah 2229",2,1,1,1115000,2022-10-25,-34.0449854657263,151.126878080483,548.641781200409
7,"1/6-8 Kitchener Street Caringbah 2229",2,2,1,956000,2022-10-19,-34.0390305426154,151.12657272775,466.419762213091
8,"8/272-276 Kingsway Caringbah 2229",3,2,1,1090000,2022-10-18,-34.0439777933266,151.127038091015,490.628669057638
9,"3/85 Yathong Road Caringbah 2229",3,2,2,1280000,2022-10-13,-34.0449066758365,151.127834287997,610.211980673886
10,"3/16-18 Jacaranda Road Caringbah 2229",3,2,2,1200000,2022-09-16,-34.0452229250433,151.126645231213,552.341101598545
11,"5/13-17 Oleander Parade Caringbah 2229",3,2,2,1315000,2022-08-25,-34.0462058289192,151.129493904826,819.909352287404
12,"10/17-21 Gardere Street Caringbah 2229",3,2,3,1035000,2022-08-18,-34.0394719336366,151.11757400032,517.46425769088
13,"3/26-28 Vista Street Caringbah 2229",3,2,2,1243000,2022-08-16,-34.0445881635158,151.116605890503,643.396250607699
14,"3/8-14 Jacaranda Road Caringbah 2229",2,1,1,1030000,2022-08-02,-34.0449498007283,151.126716225933,535.139171428515
15,"2/127-129 Denman Avenue Caringbah 2229",5,3,2,1755000,2022-07-28,-34.0419761948483,151.127277561988,436.530021982239
16,"6/24-28 Jacaranda Road Caringbah 2229",3,2,2,1055000,2022-07-20,-34.0458715586205,151.126773809608,614.634432186408
17,"1/9 Fenton Avenue Caringbah 2229",3,2,1,1200000,2022-07-14,-34.0346700670359,151.130590173942,1068.0722765269
18,"6/1 Combara Ave Caringbah 2229",3,2,2,1150000,2022-06-18,-34.0459403740456,151.125535048137,556.367267045261
19,"3/7 Nullaburra Road Caringbah 2229",3,2,2,1300000,2022-05-25,-34.0413223225816,151.129962117937,682.672577836394
20,"3/10 Nullaburra Road Caringbah 2229",3,2,2,1328000,2022-05-25,-34.0419149650456,151.130776084555,757.97795682483
21,"4/41 Gannons Road Caringbah 2229",3,2,2,1400000,2022-05-12,-34.0422214912447,151.133091836764,973.268930997404
22,"12/115 Caringbah Road Caringbah 2229",3,2,1,1280000,2022-04-12,-34.0463711619593,151.121409307756,542.997930652725
23,"1/46 Oleander Parade Caringbah 2229",3,2,2,1880000,2022-04-06,-34.045062537326,151.130268644136,808.727639100441
24,"3/272-276 Kingsway Caringbah 2229",4,2,1,1125000,2022-03-26,-34.0439777933266,151.127038091015,490.628669057638
25,"9/246-248 Kingsway Caringbah 2229",3,2,2,1280000,2022-03-25,-34.0450852103741,151.129492815179,747.970006287094
26,"12/87 Yathong Road Caringbah 2229",2,1,2,1332000,2022-03-15,-34.0453972267198,151.12773538154,637.885387982648
27,"7/10 Winifred Avenue Caringbah 2229",3,2,2,1710000,2022-03-09,-34.0408184863817,151.113989982341,795.924683986371
28,"5/10 Winifred Avenue Caringbah 2229",3,2,2,1595000,2022-02-28,-34.0408184863817,151.113989982341,795.924683986371
29,"9/13-17 Oleander Parade Caringbah 2229",3,2,1,1235000,2022-02-24,-34.046295180007,151.129164747488,802.935163393673
30,"24/26-28 Wallumatta Road Caringbah 2229",3,2,1,1220000,2022-02-24,-34.043432466706,151.13253729005,942.182849919114
31,"4/10 Winifred Avenue Caringbah 2229",3,2,2,1605000,2022-02-21,-34.0408184863817,151.113989982341,795.924683986371
32,"2/9-15 Gardere Street Caringbah 2229",3,2,2,1330000,2022-02-12,-34.0398531845025,151.117903995848,471.642802760045
33,"4/20-22 High Street Caringbah 2229",3,2,2,1210000,2022-02-10,-34.0443500336466,151.117845071069,533.194433570081
34,"1/11 Burrawalla Rd Caringbah 2229",2,1,1,1188000,2022-02-05,-34.0406300192888,151.130733588306,760.718122484547
35,"2/82 Yathong Road Caringbah 2229",3,2,1,1347500,2022-02-05,-34.0455939499874,151.128185405921,683.547657785417
36,"4/405-407 Port Hacking Road Caringbah 2229",3,2,2,1180000,2022-01-06,-34.0464149154939,151.122665335947,537.315274292922
37,"3/61-63 Caringbah Road Caringbah 2229",3,2,1,1380000,2021-12-22,-34.0471183667179,151.128535937112,825.772006081633
38,"2/32 Vista Street Caringbah 2229",3,2,2,1320000,2021-12-10,-34.0450496291951,151.116387625745,688.077308172315
39,"4/101 Yathong Road Caringbah 2229",3,1,1,1270000,2021-12-04,-34.0464020492725,151.127298349108,690.976875357491
40,"14/82-84 Yathong Road Caringbah 2229",3,2,2,1210000,2021-11-30,-34.0454574506942,151.129002473843,733.279334376789
41,"8/395-401 Port Hacking Road Caringbah 2229",3,2,2,1225000,2021-11-25,-34.046144641026,151.12263734039,507.193884872594
42,"2/25-27 Jacaranda Road Caringbah 2229",4,2,4,1430000,2021-11-23,-34.0465017101013,151.125442009012,607.754346382232
43,"5/22-24 Dianella Street Caringbah 2229",3,2,2,1250000,2021-11-20,-34.0380730778156,151.121651125663,400.408729331294
44,"21/216-224 Willarong Road Caringbah 2229",3,2,2,1200000,2021-11-17,-34.0457489313771,151.118352343849,604.726719745801
45,"12/260 Kingsway Caringbah 2229",3,2,1,1247500,2021-11-13,-34.0441657994148,151.127160969715,511.625520206641
46,"10/96-98 Yathong Road Caringbah 2229",3,2,2,1245000,2021-10-23,-34.0469439393128,151.128209545802,791.286753542593
47,"3/17-21 Gardere Street Caringbah 2229",3,2,2,1175000,2021-10-15,-34.0394719336366,151.11757400032,517.46425769088
48,"4/13-17 Oleander Parade Caringbah 2229",3,2,1,1205000,2021-09-29,-34.0462181922264,151.129577975315,826.822672995734
49,"10/88-92 Yathong Road Caringbah 2229",3,2,2,1200000,2021-09-07,-34.0461850417993,151.128176269647,727.575882966416
50,"4/1 Combara Avenue Caringbah 2229",3,2,2,1185000,2021-08-13,-34.0459403740456,151.125535048137,556.367267045261
51,"6/395-401 Port Hacking Road Caringbah 2229",3,2,2,1080000,2021-08-11,-34.046120836421,151.122830543259,505.083557753177
52,"10/5 Oleander Parade Caringbah 2229",3,1,1,1260000,2021-08-05,-34.0455552255947,151.129834126276,802.578568318493
53,"7/9-15 Gardere Street Caringbah 2229",3,2,2,1020000,2021-07-30,-34.0398531845025,151.117903995848,471.642802760045
54,"7/88 Yathong Road Caringbah 2229",3,2,2,1100000,2021-07-15,-34.0461850417993,151.128176269647,727.575882966416
55,"11/17-21 Gardere Street Caringbah 2229",3,2,3,1062000,2021-07-12,-34.0394719336366,151.11757400032,517.46425769088
56,"8/96-98 Yathong Road Caringbah 2229",3,2,2,1060000,2021-07-01,-34.0469267564113,151.128086667102,782.426207177811
57,"5/161-167 Caringbah Road Caringbah 2229",3,2,2,1200000,2021-06-11,-34.0456638550598,151.116360971293,730.49083410171
58,"14/395 Port Hacking Road Caringbah 2229",3,2,1,1105000,2021-06-10,-34.0458191298162,151.122697354817,471.068595453773
59,"12/88-92 Yathong Road Caringbah 2229",3,2,2,950000,2021-06-05,-34.0461850417993,151.128176269647,727.575882966416
60,"6/88-92 Yathong Road Caringbah 2229",3,2,2,1120000,2021-06-02,-34.0461850417993,151.128176269647,727.575882966416
61,"3/10 Nullaburra Road Caringbah 2229",3,2,2,1080000,2021-05-19,-34.0419149650456,151.130776084555,757.97795682483
62,"5/16-18 Dianella Street Caringbah 2229",3,2,2,1335000,2021-04-27,-34.0382788954481,151.122991811076,370.522172507583
63,"1/23 Gannons Road Caringbah 2229",4,2,2,1410000,2021-04-17,-34.0408243956234,151.133498275249,1011.80095449322
64,"4/16-18 High Street Caringbah 2229",3,2,4,1100000,2021-04-14,-34.0440919129383,151.117951856515,508.893181566441
65,"2/107-109 Caringbah Road Caringbah 2229",4,2,2,1180000,2021-04-10,-34.046341322384,151.122022024878,531.44255181707
