"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/92-94 Kingsway Woolooware 2230",3,1,1,1210000,2023-03-17,-34.049650036753,151.145025403772,235.061703300894
2,"1/6 Trickett Road Woolooware 2230",3,3,2,1350000,2022-12-07,-34.0497854883083,151.143894852672,230.344506983943
3,"2/45 Caronia Avenue Woolooware 2230",2,1,2,1250000,2022-11-18,-34.0500470875064,151.143730315912,260.437025046008
4,"3/33 Caronia Avenue Woolooware 2230",3,1,2,1500000,2022-10-11,-34.0501628834988,151.145030935828,288.38735097443
5,"8/4 Foreshore Boulevard Woolooware 2230",3,2,2,1600000,2022-03-29,-34.038240296784,151.139416401805,1136.51244677777
6,"5/39 Caronia Avenue Woolooware 2230",3,2,2,1500000,2022-01-28,-34.050032838271,151.144283437703,259.037421534126
7,"14/97-103 Denman Avenue Woolooware 2230",2,1,2,1050000,2021-10-15,-34.0444842279164,151.134878020331,914.911279885787
8,"1/105 Denman Avenue Woolooware 2230",3,2,2,1450000,2021-10-15,-34.0442446731237,151.133576226949,1036.04399780941
9,"4/1-3 Hughes Street Woolooware 2230",2,1,1,1155000,2021-10-11,-34.0466373292946,151.138145705284,552.949262658908
10,"11/97-103 Denman Avenue Woolooware 2230",2,1,1,1035000,2021-10-02,-34.044478989227,151.134699318155,930.313392692269
11,"9/199 Kingsway Woolooware 2230",3,2,2,1310000,2021-09-17,-34.0464427853219,151.136394306615,715.472650136012
12,"6/160 Kingsway Woolooware 2230",3,2,2,1450000,2021-07-16,-34.0473000025597,151.136429007694,699.593464141169
13,"2/73-79 Denman Avenue Woolooware 2230",3,2,2,1347000,2021-07-15,-34.0462153842888,151.13986609091,416.122103882267
14,"1/1-3 Hughes St Woolooware 2230",6,3,2,1470000,2021-06-26,-34.0466373292946,151.138145705284,552.949262658908
15,"1/26 Dolans Road Woolooware 2230",3,2,2,1750000,2021-06-08,-34.0485286638367,151.137283375085,625.777145206847
16,"4/199-203 Kingsway Woolooware 2230",4,3,2,1399000,2021-04-30,-34.046575051754,151.136263884202,724.536569536151
17,"26/97 Denman Avenue Woolooware 2230",2,1,1,905000,2021-04-23,-34.0447367327496,151.135339025005,864.8061573636
18,"4/31 Caronia Avenue Woolooware 2230",3,2,2,1230000,2021-03-20,-34.0501998476918,151.145244087626,299.266222480489
19,"7/67 Denman Avenue Woolooware 2230",3,2,2,1035000,2020-11-09,-34.0461506340868,151.140255095037,386.737391402871
20,"9/73-79 Denman Avenue Woolooware 2230",3,2,2,1145000,2020-09-28,-34.0458086524372,151.139600887494,457.815101993126
21,"2/63 Denman Avenue Woolooware 2230",3,2,2,1010000,2020-08-13,-34.0462234309158,151.140752141895,342.430386782674
22,"3/199-203 Kingsway Woolooware 2230",4,3,2,1285000,2020-08-04,-34.0465978924402,151.136333370179,717.7817324361
23,"3/63-65 Denman Avenue Woolooware 2230",3,2,2,950000,2020-04-16,-34.0462234309158,151.140752141895,342.430386782674
24,"5/92 Kingsway Woolooware 2230",3,2,2,1100000,2019-12-23,-34.049650036753,151.145025403772,235.061703300894
25,"5/137 Kingsway Woolooware 2230",3,2,2,1295000,2019-11-29,-34.0481514362843,151.142359958562,158.515781977212
26,"2/7 Glandore Street Woolooware 2230",3,2,2,1530000,2019-11-15,-34.0414956184297,151.145053734605,699.496900231537
27,"1/7 Glandore Street Woolooware 2230",3,2,2,1730000,2019-10-21,-34.0414956184297,151.145053734605,699.496900231537
28,"10/73-79 Denman Avenue Woolooware 2230",3,2,2,1121000,2019-10-18,-34.0460560862189,151.139739691811,434.079622280366
29,"5/27 Caronia Avenue Woolooware 2230",3,2,2,1215000,2019-09-26,-34.0502552101623,151.145563102861,317.23563250151
30,"23/97 Denman Avenue Woolooware 2230",2,1,1,742000,2019-05-29,-34.0447561368555,151.135154958412,879.69628930332
31,"13/97-103 Denman Avenue Woolooware 2230",2,1,2,775000,2018-09-12,-34.044471110238,151.134828064188,919.722200828942
32,"22/97-103 Denman Avenue Woolooware 2230",2,1,1,860000,2018-07-20,-34.0447348468214,151.135096704185,885.5662405705
33,"16/73-79 Denman Avenue Woolooware 2230",3,2,2,1038000,2018-06-25,-34.0462367581419,151.139567946614,440.544751378587
34,"19/97 Denman Avenue Woolooware 2230",2,1,1,870000,2018-06-05,-34.0445163725151,151.135014142438,901.961815451088
35,"1/39-41 Caronia Avenue Woolooware 2230",3,2,1,1150000,2018-06-01,-34.050032838271,151.144283437703,259.037421534126
36,"26/97 Denman Avenue Woolooware 2230",2,1,1,830000,2017-10-10,-34.0447367327496,151.135339025005,864.8061573636
37,"7/199-203 Kingsway Woolooware 2230",3,2,2,1350000,2017-10-06,-34.0464751394682,151.136520873353,703.316940443155
38,"2/34 Dolans Road Woolooware 2230",3,2,1,1300000,2017-09-21,-34.0491136787688,151.137090088398,655.733485029549
39,"2/45 Caronia Avenue Woolooware 2230",2,1,1,1038000,2017-05-20,-34.0500470875064,151.143730315912,260.437025046008
40,"4/1-3 Hughes Street Woolooware 2230",2,1,1,865000,2017-05-03,-34.0466373292946,151.138145705284,552.949262658908
41,"10A Caringbah Road Woolooware 2230",3,2,1,1395000,2017-04-08,-34.0489124292736,151.135854763508,762.682964758695
42,"2/105 Denman Avenue Woolooware 2230",3,2,2,1270000,2017-01-21,-34.0442446731237,151.133576226949,1036.04399780941
43,"4/199-203 Kingsway Woolooware 2230",4,2,2,1290000,2016-12-01,-34.046575051754,151.136263884202,724.536569536151
44,"2/35-37 Caronia Ave Woolooware 2230",4,2,2,1260000,2016-11-25,-34.0501070600236,151.144710160394,273.96280787123
45,"5/137 Kingsway Woolooware 2230",3,2,2,1260000,2016-11-18,-34.0481514362843,151.142359958562,158.515781977212
46,"11/97 Denman Avenue Woolooware 2230",2,1,1,870000,2016-09-30,-34.044478989227,151.134699318155,930.313392692269
47,"2/137 Kingsway Woolooware 2230",3,2,2,1227000,2016-08-18,-34.0481514362843,151.142359958562,158.515781977212
48,"23/73-79 Denman Ave Woolooware 2230",3,2,2,1075000,2016-06-06,-34.0458015278195,151.139436183097,471.681469084363
49,"6/137-139 Kingsway Woolooware 2230",3,2,3,1290000,2016-06-03,-34.0481514362843,151.142359958562,158.515781977212
50,"15/97 Denman Avenue Woolooware 2230",2,1,1,712500,2016-04-22,-34.0446499800517,151.13458029513,933.310286218884
51,"1/20-22 Woolooware Road Woolooware 2230",3,2,2,1001000,2016-03-12,-34.0424680868361,151.143183648187,589.213389308768
52,"17a Hill Street Woolooware 2230",3,2,2,1250000,2016-03-03,-34.0517743462938,151.142448136184,473.609681193663
53,"2/45 Caronia Avenue Woolooware 2230",2,1,2,865000,2015-12-15,-34.0500470875064,151.143730315912,260.437025046008
54,"6/35-37 Caronia Ave Woolooware 2230",3,2,1,1e+06,2015-12-11,-34.0501070600236,151.144710160394,273.96280787123
55,"5/168 Kingsway Woolooware 2230",3,2,3,930000,2015-08-10,-34.0471349628862,151.135791815415,759.595267445289
56,"2/81-91 Denman Ave Woolooware 2230",4,2,2,1060000,2015-06-13,-34.0459190840115,151.138531859563,542.408971029305
57,"9/73-79 Denman Avenue Woolooware 2230",3,2,2,920000,2015-03-06,-34.0458086524372,151.139600887494,457.815101993126
58,"6a Panorama Avenue Woolooware 2230",3,3,2,1225000,2015-02-23,-34.0479535395503,151.142571433979,134.077355962194
59,"1/26 Woolooware Road Woolooware 2230",3,2,2,910000,2015-02-14,-34.042858348248,151.143367295686,544.083154493896
60,"26/97 Denman Avenue Woolooware 2230",2,1,1,701000,2014-10-18,-34.0447367327496,151.135339025005,864.8061573636
61,"1/73 Denman Ave Woolooware 2230",3,2,1,790000,2014-09-26,-34.0462688189215,151.139858966293,414.371999107459
62,"3/92-94 Kingsway Woolooware 2230",3,3,2,8e+05,2014-09-19,-34.049650036753,151.145025403772,235.061703300894
63,"10/81 Denman Avenue Woolooware 2230",4,2,2,865000,2014-07-08,-34.0457515297671,151.138605368854,543.356630907845
64,"2/37 Dolans Road Woolooware 2230",3,2,2,840000,2014-07-02,-34.0485299630317,151.136468654096,700.240549229981
65,"6/105 Denman Avenue Woolooware 2230",3,2,2,865000,2014-04-28,-34.0442446731237,151.133576226949,1036.04399780941
66,"5/105 Denman Avenue Woolooware 2230",3,2,2,850000,2014-04-25,-34.0442446731237,151.133576226949,1036.04399780941
67,"4/105 Denman Avenue Woolooware 2230",3,2,2,795000,2014-04-24,-34.0442446731237,151.133576226949,1036.04399780941
68,"3/105 Denman Avenue Woolooware 2230",3,2,2,830000,2014-04-23,-34.0442446731237,151.133576226949,1036.04399780941
69,"1/105 Denman Avenue Woolooware 2230",3,2,2,860000,2014-04-21,-34.0442446731237,151.133576226949,1036.04399780941
70,"22/97 Denman Avenue Woolooware 2230",2,1,1,650000,2014-02-04,-34.0447348468214,151.135096704185,885.5662405705
71,"3/6 Panorama Avenue Woolooware 2230",3,NA,NA,1165000,2014-02-01,-34.0479535395503,151.142571433979,134.077355962194
72,"19/73-79 Denman Ave Woolooware 2230",3,2,1,720000,2013-12-02,-34.0461806832096,151.139356974112,460.928703170192
