"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"9/101-103 The Grand Parade Sutherland 2232",3,2,2,1160000,2023-03-17,-34.0260530933859,151.050913981651,859.57609673954
2,"unit 1/7 Vermont Street Sutherland 2232",2,2,2,1100000,2023-03-10,-34.0236930009088,151.057512132012,876.186999128265
3,"8/11-13 Belmont Street Sutherland 2232",2,1,1,820000,2023-02-24,-34.027693976661,151.061783717508,588.30524970336
4,"4/11-17 Acton Street Sutherland 2232",3,1,2,1005000,2023-01-19,-34.0290376376496,151.060965224663,429.883077674009
5,"8/83-85 East Parade Sutherland 2232",3,2,1,840000,2022-12-14,-34.0339104989701,151.054686340995,364.436065619611
6,"4/305-307 Forest Road Sutherland 2232",3,2,1,1040000,2022-11-10,-34.0380991455345,151.063136556681,897.429739733664
7,"5/153-157 Wattle Road Sutherland 2232",2,1,1,966000,2022-11-03,-34.0218662908403,151.066302150053,1354.15246802978
8,"5/146-150 Waratah Street Sutherland 2232",3,1,2,1070000,2022-10-14,-34.0272248834498,151.06293145151,699.915906717103
9,"7/60-62 Toronto Parade Sutherland 2232",3,2,2,1200000,2022-09-16,-34.0248370887827,151.063737203862,947.70749936111
10,"7/58 Merton Street Sutherland 2232",3,2,2,987500,2022-07-23,-34.0371146910065,151.059471150422,645.698866447842
11,"5/11-17 Acton Street Sutherland 2232",3,1,2,990000,2022-07-22,-34.0290197841958,151.060899761999,426.650020378188
12,"6/24 Toronto Parade Sutherland 2232",3,1,2,910000,2022-07-08,-34.0220008203862,151.065194565368,1282.56744076391
13,"13/24-26 Toronto Parade Sutherland 2232",3,1,2,1022000,2022-07-06,-34.0220079450039,151.066041389045,1327.09212968487
14,"10/11-17 Acton Street Sutherland 2232",2,1,1,890000,2022-07-01,-34.0287544550508,151.060841507772,442.979032045276
15,"6/9 Glencoe Street Sutherland 2232",3,2,2,1286000,2022-05-21,-34.0249053593841,151.064222096961,969.948240713656
16,"6/146-150 Waratah Street Sutherland 2232",3,1,2,1075000,2022-05-17,-34.0272149089851,151.062864396285,696.223411788905
17,"4/24 Toronto Parade Sutherland 2232",2,1,1,870000,2022-05-13,-34.0219209827585,151.065008738574,1280.52569075413
18,"6/58 Merton Street Sutherland 2232",3,3,2,1075000,2022-04-09,-34.0369326779791,151.059343410218,622.913533189713
19,"5/24 Toronto Parade Sutherland 2232",3,1,2,972000,2022-04-05,-34.021969849254,151.065096832376,1280.43449333777
20,"11/11-17 Acton Street Sutherland 2232",2,1,2,960000,2022-03-23,-34.0287021100655,151.060837903554,446.878503904577
21,"34/24 Toronto Parade Sutherland 2232",2,1,1,740000,2022-03-11,-34.0221485095202,151.06478485794,1248.03600917232
22,"12/58 Merton Street Sutherland 2232",3,2,2,1e+06,2022-03-04,-34.0368798300796,151.059522531489,622.171656417408
23,"2/24-26 Toronto Parade Sutherland 2232",3,1,2,1e+06,2022-02-25,-34.0218698112396,151.064863396373,1278.0699585028
24,"5/9 Glencoe Street Sutherland 2232",3,2,2,1160000,2022-02-17,-34.0249053593841,151.064222096961,969.948240713656
25,"24/98 Glencoe Street Sutherland 2232",2,1,1,815000,2022-02-04,-34.0340709285969,151.063306709315,608.888800975181
26,"4/3-5 Acton Street Sutherland 2232",3,2,2,1109000,2022-01-31,-34.02918390186,151.061652959819,470.311738307371
27,"3/20-22 Toronto Parade Sutherland 2232",2,1,1,815000,2022-01-18,-34.0215961421009,151.065044864577,1312.76547059287
28,"18/16-18 Merton Street Sutherland 2232",3,2,2,830000,2021-12-15,-34.0331637552162,151.060064421529,300.519492912705
29,"7/146-150 Waratah Street Sutherland 2232",3,1,2,1140000,2021-12-11,-34.0273997718596,151.062840843137,680.481840538306
30,"4/71 -75 East Parade Sutherland 2232",3,1,1,1e+06,2021-12-09,-34.0332146333685,151.055257064782,272.683311247569
31,"5/60-62 Toronto Parade Sutherland 2232",3,2,2,1210000,2021-11-19,-34.0250057326746,151.063582893025,924.147808633302
