"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"7/5-7 Saywell Road Macquarie Fields 2564",3,1,1,690000,2023-04-05,-33.9878892404902,150.878908192217,350.518822507819
2,"4/14 Bunbury Road Macquarie Fields 2564",2,1,2,513000,2023-04-05,-33.9911108668852,150.881030909196,731.525166130112
3,"4/12 Parliament Road Macquarie Fields 2564",3,1,1,640000,2023-03-24,-33.989260058845,150.883311708869,637.147495667629
4,"7/34A Saywell Road Macquarie Fields 2564",3,1,1,490000,2023-03-02,-33.9880303917397,150.881827441455,445.626619069365
5,"3/85-87 Saywell Road Macquarie Fields 2564",4,3,2,807500,2023-02-17,-33.9921733569317,150.884868228289,985.054531813512
6,"3/6 Bunbury Road Macquarie Fields 2564",2,1,2,569950,2023-02-07,-33.9914261102636,150.881570955218,778.85915908997
7,"2/16 Groundsel Avenue Macquarie Fields 2564",4,3,1,765000,2023-02-06,-33.9985085669898,150.895950361572,2185.15765508811
8,"2/14 Harold Street Macquarie Fields 2564",2,1,1,4e+05,2023-01-23,-33.9941398771452,150.89178832755,1572.18939376644
9,"3/10 Azalea Place Macquarie Fields 2564",3,1,1,660000,2022-11-28,-34.0011826036503,150.884807794767,1905.04230914496
10,"4A Azalia Place Macquarie Fields 2564",3,1,2,660000,2022-10-12,-34.0020579677085,150.885562333691,2018.393969647
11,"4/9-11 Fourth Avenue Macquarie Fields 2564",2,1,1,580000,2022-09-27,-33.9938103845314,150.889779520635,1412.63098205024
12,"3/12 Parliament Road Macquarie Fields 2564",3,1,1,620000,2022-09-05,-33.989260058845,150.883311708869,637.147495667629
13,"5/11 Saywell Road Macquarie Fields 2564",3,2,1,655000,2022-07-20,-33.9884276520407,150.87985065341,416.38209403044
14,"12/10 Atchison Road Macquarie Fields 2564",3,1,1,520000,2022-07-18,-33.9882884705385,150.882136314587,485.539467813107
15,"8/85-87 Saywell Road Macquarie Fields 2564",4,3,2,872000,2022-07-06,-33.9921733569317,150.884868228289,985.054531813512
16,"6/15 CADOGAN ROAD Macquarie Fields 2564",3,1,2,710000,2022-05-20,-33.9947804221859,150.891755973404,1618.33998131637
17,"6/34A Saywell Road Macquarie Fields 2564",3,1,1,512000,2022-05-13,-33.9880261588786,150.881770863608,442.277212802521
18,"5/16-20 Myee Road Macquarie Fields 2564",3,2,1,710000,2022-05-05,-33.98916094284,150.879067951291,491.75874782015
19,"8/5 Casuarina Place Macquarie Fields 2564",2,1,1,630000,2022-04-04,-33.9976855898265,150.888765310351,1695.91691289192
20,"18/72 Parliament Road Macquarie Fields 2564",4,2,2,785000,2022-04-04,-33.990000390443,150.888432464976,1043.53799866283
21,"6/5-7 Saywell Road Macquarie Fields 2564",3,2,2,781000,2022-04-02,-33.9878892404902,150.878908192217,350.518822507819
22,"14/322 Railway Parade Macquarie Fields 2564",2,1,2,520000,2022-03-17,-33.9887824160926,150.875691636873,547.267312253274
23,"4/34a Saywell Road Macquarie Fields 2564",3,1,1,530000,2022-02-21,-33.9880251111407,150.881646140889,435.798472762549
24,"14/16-20 Myee Road Macquarie Fields 2564",3,2,1,710000,2022-02-21,-33.9890717174807,150.879264506921,482.15430741433
25,"3/5-7 Saywell Road Macquarie Fields 2564",3,1,2,770000,2022-02-21,-33.9878892404902,150.878908192217,350.518822507819
26,"1/2 Edward Street Macquarie Fields 2564",2,1,1,480000,2022-01-28,-33.9827025607148,150.882473937647,387.597990486498
27,"6/16-20 Myee Road Macquarie Fields 2564",3,2,1,705000,2021-12-11,-33.9891983680377,150.879119835272,495.944592837976
28,"2/58 Parliament Rd Macquarie Fields 2564",2,1,1,462500,2021-09-15,-33.9896817104843,150.886790953058,899.91621627374
29,"20/15-19 Fourth Avenue Macquarie Fields 2564",2,1,1,475000,2021-08-30,-33.9943368518699,150.890056291078,1472.55153927853
30,"3/17 Third Avenue Macquarie Fields 2564",2,1,1,505000,2021-07-15,-33.9920163638853,150.887860819179,1146.11808031943
31,"10/24 Atchison Road Macquarie Fields 2564",3,2,1,492000,2021-07-14,-33.9872297942579,150.88218451053,398.946632256068
32,"14/26-28 Third Avenue Macquarie Fields 2564",2,2,1,450000,2021-06-30,-33.9909400436985,150.887037632469,1008.18440391139
33,"13/72 Parliament Road Macquarie Fields 2564",4,2,1,668000,2021-05-21,-33.9895944967817,150.888512344513,1025.14783703761
34,"32/15-19 Fourth Avenue Macquarie Fields 2564",2,1,1,4e+05,2021-04-21,-33.9947313042333,150.890280590807,1518.72513555751
35,"1/19-21 Alexander Crescent Macquarie Fields 2564",3,1,1,590000,2021-03-29,-33.9871478611544,150.879988619536,280.722571414822
36,"3/1 Atchison Road Macquarie Fields 2564",2,1,1,455000,2021-03-18,-33.9889991301992,150.883159158231,605.615059233678
37,"3/14 Harold Street Macquarie Fields 2564",2,1,1,430000,2021-03-08,-33.9941398771452,150.89178832755,1572.18939376644
38,"11/322 Railway Parade Macquarie Fields 2564",3,1,1,480000,2021-02-25,-33.9890272095748,150.875548976881,577.181482449623
39,"1/1 Harold Street Macquarie Fields 2564",4,3,1,575000,2021-02-05,-33.9942058008137,150.892333654171,1614.89121707342
40,"7/16-20 Myee Road Macquarie Fields 2564",3,2,1,630000,2021-01-13,-33.9892345359499,150.879169288501,500.031939623115
41,"4/3 Amaranthus Place Macquarie Fields 2564",2,1,1,410000,2020-12-09,-33.996735207735,150.888843513508,1611.04291561267
42,"7 Cotula Place Macquarie Fields 2564",4,2,2,590000,2020-12-04,-33.9970369143398,150.899793883273,2351.78088786987
43,"4/21-23 Gloucester Street Macquarie Fields 2564",2,1,1,407500,2020-11-27,-33.983992493704,150.882913568468,364.333402857803
44,"19/124 Saywell Road Macquarie Fields 2564",2,1,1,480000,2020-11-20,-33.9927554801073,150.88743568905,1179.59911108122
45,"9A Victoria Road Macquarie Fields 2564",2,1,1,465000,2020-10-30,-33.9837138792424,150.883151614518,393.640672464322
46,"3/1 Harold Street Macquarie Fields 2564",4,2,1,6e+05,2020-10-20,-33.9942058008137,150.892333654171,1614.89121707342
47,"12/34A Saywell Road Macquarie Fields 2564",3,1,1,470000,2020-10-14,-33.9884276101312,150.881702718736,476.627330008927
48,"28/15 Fourth Avenue Macquarie Fields 2564",2,1,1,385000,2020-09-18,-33.9945552004476,150.890576807265,1523.36413802728
49,"1/3 Amaranthus Place Macquarie Fields 2564",2,1,1,412000,2020-08-31,-33.996735207735,150.888843513508,1611.04291561267
50,"1/14 Westringia Place Macquarie Fields 2564",3,1,3,482000,2020-07-14,-33.9934787964418,150.892902114844,1604.72590008775
51,"5/43 Clarence Street Macquarie Fields 2564",3,1,1,448000,2020-05-29,-33.9874699776934,150.88173004374,390.293153104254
52,"3/5 Amaranthus Place Macquarie Fields 2564",2,1,1,372000,2020-05-05,-33.9968692343667,150.889354725782,1650.10654439395
53,"8/29 Myee Rd Macquarie Fields 2564",2,1,1,442000,2020-04-14,-33.9894260205279,150.877139778285,550.927093709261
54,"26/15-19 Fourth Avenue Macquarie Fields 2564",2,1,1,355000,2020-03-10,-33.9944850020085,150.890763556068,1529.88053463755
55,"1/36 Fraser Street Macquarie Fields 2564",2,1,1,478000,2020-02-22,-33.9822366945363,150.887806169171,853.158954466236
56,"3/13-15 Fields Road Macquarie Fields 2564",3,2,1,543000,2020-01-30,-33.9923017257789,150.88283720933,910.343810332768
57,"7/1 Mary Street Macquarie Fields 2564",2,1,1,425000,2020-01-29,-33.9849658841197,150.896863569923,1642.44702332601
58,"17/15-19 Fourth Avenue Macquarie Fields 2564",3,1,1,476000,2019-10-02,-33.9942744486007,150.890348400404,1486.27629688153
59,"2/27 Myee Road Macquarie Fields 2564",2,1,1,375000,2019-09-03,-33.9893981087903,150.877481592296,538.547870500243
60,"3/2-6 Myee Road Macquarie Fields 2564",3,2,2,552000,2019-08-26,-33.9884276520407,150.87985065341,416.38209403044
61,"6/1 Mary Street Macquarie Fields 2564",2,1,1,4e+05,2019-08-01,-33.9849658841197,150.896863569923,1642.44702332601
62,"7/124 Saywell Road Macquarie Fields 2564",2,1,1,399000,2019-04-15,-33.9928718628329,150.887743472535,1208.0565023915
63,"1/16 Groundsel Avenue Macquarie Fields 2564",4,3,2,615000,2019-03-29,-33.9985085669898,150.895950361572,2185.15765508811
64,"7/6-8 Second Avenue Macquarie Fields 2564",2,1,1,375000,2019-03-18,-33.9872344462142,150.886782822612,763.863897354289
65,"2/16 Groundsel Avenue Macquarie Fields 2564",4,3,1,630000,2019-01-07,-33.9985085669898,150.895950361572,2185.15765508811
66,"19/124 Saywell Road Macquarie Fields 2564",2,1,1,465000,2018-12-19,-33.9927554801073,150.88743568905,1179.59911108122
67,"4/1 Harold Street Macquarie Fields 2564",4,2,1,523000,2018-11-01,-33.9942058008137,150.892333654171,1614.89121707342
68,"3/16 Groundsel Avenue Macquarie Fields 2564",4,2,2,618500,2018-10-17,-33.9985085669898,150.895950361572,2185.15765508811
