"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"7/9-10 Park Street Emu Plains 2750",3,2,1,750000,2022-10-17,-33.7519096647165,150.665762597074,868.322266362864
2,"1/46 Forbes Street Emu Plains 2750",4,2,2,855000,2022-08-24,-33.7571300397427,150.656695054219,1865.81666395186
3,"5/38 Forbes Street Emu Plains 2750",4,2,2,705000,2022-07-15,-33.7571406009407,150.657619326682,1805.02926238354
4,"22/66-70 Great Western Highway Emu Plains 2750",3,2,1,655000,2022-05-30,-33.747149078989,150.672654784598,196.985551794971
5,"18/66-70 Great Western Highway Emu Plains 2750",3,2,2,635000,2022-02-28,-33.7470171059235,150.673028617479,208.020603097817
6,"10/38-40 Forbes Street Emu Plains 2750",4,2,2,852500,2022-02-03,-33.7571406009407,150.657619326682,1805.02926238354
7,"15/38 Forbes Street Emu Plains 2750",4,2,2,820000,2021-11-29,-33.7571406009407,150.657619326682,1805.02926238354
8,"12/42-44 Forbes Street Emu Plains 2750",3,2,2,720000,2021-09-16,-33.7570973922299,150.657030665622,1840.71498408093
9,"23/66-70 Great Western Highway Emu Plains 2750",3,2,2,560000,2021-07-21,-33.7471884739339,150.672577838727,196.682764304179
10,"2/46B Forbes Street Emu Plains 2750",4,2,2,8e+05,2021-06-04,-33.7571300397427,150.656695054219,1865.81666395186
11,"7/38 Forbes Street Emu Plains 2750",4,2,1,710000,2021-06-03,-33.7571406009407,150.657619326682,1805.02926238354
12,"5/246-250 Great Western Highway Emu Plains 2750",3,2,1,667255,2021-05-24,-33.7544035323683,150.651885518176,2052.79045554623
13,"8/9-10 Park Street Emu Plains 2750",3,2,1,652000,2021-02-15,-33.7519096647165,150.665762597074,868.322266362864
14,"19/66-70 Great Western Highway Emu Plains 2750",3,2,2,540000,2021-01-13,-33.7470418325379,150.672939769306,204.2857178887
15,"4/13 Mackay Street Emu Plains 2750",3,2,2,695000,2020-12-04,-33.7553488014989,150.653837663426,1951.3146282651
16,"6/4 York Street Emu Plains 2750",4,2,1,708000,2020-11-12,-33.7479180766958,150.675475630292,448.147024002897
17,"10/163-167 Great Western Highway Emu Plains 2750",3,2,1,550000,2020-08-12,-33.7522762053424,150.666546724116,860.875600889173
18,"9/246 - 250 Great Western Highway Emu Plains 2750",3,2,1,557250,2020-07-07,-33.75479467388,150.651671276731,2091.02478130515
19,"13 MacKay Street Emu Plains 2750",3,2,2,650000,2019-11-22,-33.7553488014989,150.653837663426,1951.3146282651
20,"5/60 Great Western Highway Emu Plains 2750",3,1,4,611000,2019-07-19,-33.7475597084256,150.673661702626,292.16863087841
21,"11/295 Great Western Highway Emu Plains 2750",3,2,2,590000,2019-06-03,-33.7534253223582,150.651877471549,2004.36598787452
