"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"7/49 Mamre Road St Marys 2760",4,2,2,649000,2023-03-28,-33.7756513216419,150.771878161827,1538.97402833101
2,"1/34 Australia Street St Marys 2760",3,2,2,650000,2023-03-23,-33.7667716172369,150.782209947138,835.617837720331
3,"7/94 Saddington Street St Marys 2760",3,1,1,625000,2023-03-20,-33.7728373491079,150.765768760241,1477.42104018379
4,"10/16 John Street St Marys 2760",3,2,1,665000,2023-03-17,-33.77516064503,150.770557676801,1515.06293807674
5,"4/237 Great Western Highway St Marys 2760",4,2,2,651000,2023-03-17,-33.7719756894614,150.783382156297,1338.08754540175
6,"5/196-198 Great Western Highway St Marys 2760",4,2,1,710000,2023-03-16,-33.773403756215,150.785892703936,1604.22349006069
7,"1/135 Adelaide Street St Marys 2760",3,2,2,670000,2023-03-14,-33.7697599752665,150.786670125456,1365.72440265566
8,"4/143 Brisbane Street St Marys 2760",3,2,2,617500,2023-03-10,-33.7662991712644,150.783998226181,943.419144631078
9,"10/100-102 Saddington Street St Marys 2760",3,2,2,685000,2023-03-09,-33.772878629981,150.764840883559,1533.02939624074
10,"11/16 John Street St Marys 2760",3,2,1,660000,2023-03-06,-33.77516064503,150.770557676801,1515.06293807674
11,"4/154 Brisbane Street St Marys 2760",2,2,1,550000,2023-03-03,-33.7669933604854,150.783315184891,932.067787290564
12,"9/153 Adelaide Street St Marys 2760",4,2,2,685000,2023-02-22,-33.7694223102971,150.784823089272,1211.24838907577
13,"5/126 Brisbane Street St Marys 2760",3,2,1,612000,2023-02-21,-33.7674197479,150.785651305125,1138.58395136675
14,"8/10 Sainsbury Street St Marys 2760",3,2,NA,620000,2023-02-17,-33.7710197753138,150.772072789619,1033.29858165463
15,"2/21 Australia Street St Marys 2760",3,2,2,605000,2023-02-16,-33.765504776391,150.781546938597,703.485468557468
16,"3/16 John Street St Marys 2760",3,2,2,640000,2023-02-16,-33.77516064503,150.770557676801,1515.06293807674
