"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/166-168 Rooty Hill Road North Rooty Hill 2766",3,2,2,685000,2023-04-01,-33.7624021730211,150.839409730788,1149.81672511898
2,"41/5 Abraham Street Rooty Hill 2766",4,3,4,760000,2023-03-10,-33.7605914723876,150.833979095721,1600.18974773489
3,"40/5 Abraham Street Rooty Hill 2766",4,2,2,690000,2023-03-03,-33.7606892053786,150.833967277237,1592.61327931932
4,"9/86 Hartington Street Rooty Hill 2766",4,2,2,7e+05,2023-01-26,-33.765865156318,150.841271435302,728.782453329057
5,"5 Lovage Glade Rooty Hill 2766",3,2,2,725000,2023-01-20,-33.7739922496369,150.836688797379,828.766926721916
6,"8/38 Blenheim Avenue Rooty Hill 2766",2,2,1,510000,2023-01-16,-33.7608632136885,150.831199321352,1756.66506400529
7,"3/19 Beatrice Street Rooty Hill 2766",4,2,2,736000,2022-12-14,-33.7607442744825,150.838145907427,1367.66240944949
8,"8/2 Evans Road Rooty Hill 2766",4,2,2,715000,2022-11-30,-33.7811010674485,150.850263541029,1162.47738951518
9,"1/20 Blenheim Avenue Rooty Hill 2766",3,1,1,560000,2022-11-30,-33.7613500765345,150.832802611791,1611.99330208611
10,"12/78 Hartington Street Rooty Hill 2766",4,2,2,721000,2022-11-25,-33.7653998768727,150.84091847336,789.953808373251
11,"15/122 Rooty Hill North Road Rooty Hill 2766",4,2,2,720000,2022-11-21,-33.7651314464235,150.840035775136,858.262875502864
12,"11 Foxglove Glade Rooty Hill 2766",3,2,2,7e+05,2022-11-09,-33.7739922496369,150.836688797379,828.766926721916
13,"2 Abraham Street Rooty Hill 2766",3,2,2,665000,2022-11-08,-33.7602040189133,150.834487458148,1603.96991711529
14,"4/504 Woodstock Avenue Rooty Hill 2766",3,2,2,660000,2022-10-28,-33.7600839481503,150.840637009051,1344.26628328908
15,"2/18 Hartington Street Rooty Hill 2766",2,2,1,553000,2022-09-29,-33.7613823049522,150.840440788698,1214.13948049264
16,"1/31 Derby Street Rooty Hill 2766",2,1,1,525000,2022-09-19,-33.7625929451373,150.844758977576,998.988692637404
17,"2/115 Hartington Street Rooty Hill 2766",4,2,2,752000,2022-09-17,-33.7676294212079,150.843689530549,458.165070884107
18,"8/62 Derby Street Rooty Hill 2766",3,2,1,7e+05,2022-08-29,-33.7645106826744,150.843350650204,802.385528459812
19,"6/36-38 Adelaide Street Rooty Hill 2766",3,1,1,635000,2022-08-19,-33.7677758111468,150.83865468895,734.35562305609
20,"1/19 Beatrice St Rooty Hill 2766",4,2,2,735000,2022-07-27,-33.7607442744825,150.838145907427,1367.66240944949
21,"4/24 Blenheim Avenue Rooty Hill 2766",3,2,2,660000,2022-07-20,-33.7613022996864,150.832478315957,1637.11588546891
22,"9/63 Spencer Street Rooty Hill 2766",3,2,2,620000,2022-07-20,-33.762816406676,150.831156070731,1620.37144303438
23,"6/21-23 Elizabeth St Rooty Hill 2766",4,2,2,760000,2022-07-04,-33.7671359366584,150.837644921074,851.770939340004
24,"18/12 Blenheim Avenue Rooty Hill 2766",4,2,2,736000,2022-06-21,-33.7614653696127,150.833596378022,1551.44490571893
25,"5/35 Abraham Street Rooty Hill 2766",3,2,2,690000,2022-06-20,-33.7603960064055,150.831332258336,1783.48993028512
26,"8/4 Leopold Street Rooty Hill 2766",3,2,1,650000,2022-06-10,-33.7647332641132,150.833089943432,1350.57627997116
27,"4/4 Leopold Street Rooty Hill 2766",3,2,1,640000,2022-05-11,-33.7647332641132,150.833089943432,1350.57627997116
28,"2/21-23 Derby Street Rooty Hill 2766",4,2,2,785000,2022-05-10,-33.7619070540005,150.844895015864,1074.9397686719
29,"4/62 Derby Street Rooty Hill 2766",3,2,2,680000,2022-05-06,-33.7645106826744,150.843350650204,802.385528459812
30,"2/66 Rooty Hill North Road Rooty Hill 2766",4,2,2,783000,2022-05-06,-33.7691074021948,150.842728126255,353.551109412092
31,"3/39 Abraham Street Rooty Hill 2766",4,2,2,722500,2022-05-03,-33.7603483133765,150.831008046321,1808.78868222803
32,"5/18-20 Hartington Street Rooty Hill 2766",4,2,2,725000,2022-04-28,-33.7613823049522,150.840440788698,1214.13948049264
33,"5/1A Premier Lane Rooty Hill 2766",2,2,1,560000,2022-04-20,-33.771414940139,150.84265671244,231.668460924771
34,"4 Warimi Close Rooty Hill 2766",4,2,2,770000,2022-04-14,-33.7833823700358,150.836310689727,1549.61027064331
35,"18/122 Rooty Hill Road North Rooty Hill 2766",4,2,2,740000,2022-03-31,-33.765119544121,150.839759759065,873.705831984599
36,"7/18 Hartington Street Rooty Hill 2766",4,2,2,750000,2022-03-31,-33.7613823049522,150.840440788698,1214.13948049264
37,"14/48 Spencer Street Rooty Hill 2766",3,1,1,6e+05,2022-03-25,-33.7639709719289,150.833300915935,1384.57633048237
38,"17/11 Abraham Street Rooty Hill 2766",4,2,2,725000,2022-03-11,-33.7604937393966,150.833378616177,1644.78552184667
39,"7/25 Abraham St Rooty Hill 2766",3,2,2,660000,2022-03-06,-33.7604786938804,150.832255105876,1716.64168526231
40,"9/48 Spencer Street Rooty Hill 2766",3,1,2,630000,2022-02-19,-33.7640363088641,150.832877210729,1411.51238569576
