"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/37 O'Brien Street Mount Druitt 2770",3,2,2,595000,2023-03-24,-33.7585272191831,150.824958491523,1309.15521781038
2,"2/32 Tulloona Street Mount Druitt 2770",3,1,2,530000,2023-02-28,-33.760145261772,150.8173061492,1082.37923942978
3,"4/97 Fuller Street Mount Druitt 2770",3,2,2,670500,2023-02-17,-33.77423524101,150.81616176796,634.983563264156
4,"7/32 Methven Street Mount Druitt 2770",3,2,1,460000,2023-01-18,-33.7626372854051,150.822795289952,811.397256185781
5,"5/7 Hythe Street Mount Druitt 2770",3,2,1,515000,2022-12-23,-33.7625228305173,150.818883371921,794.122640981377
6,"9/2-4 O'Brien Street Mount Druitt 2770",3,1,2,557000,2022-12-21,-33.7588428397471,150.818719505714,1202.46230331025
7,"7/2-4 O'Brien Street Mount Druitt 2770",3,1,2,555000,2022-12-19,-33.7588910356904,150.819042963357,1194.23810606927
8,"5/29 Meacher Street Mount Druitt 2770",3,1,2,555000,2022-11-17,-33.7599025637656,150.823005675721,1109.80114310027
9,"7/1-5 Meacher Street Mount Druitt 2770",4,2,1,650000,2022-11-08,-33.7590204941849,150.818647672803,1183.55607701968
10,"8/51-57 MEACHER STREET Mount Druitt 2770",3,1,1,6e+05,2022-11-02,-33.7604457110914,150.827415814077,1220.20215489269
11,"13/51-57 Meacher Street Mount Druitt 2770",2,1,1,5e+05,2022-10-28,-33.7602420308442,150.827082130512,1222.63237192251
12,"15/20-22 Hythe Street Mount Druitt 2770",3,1,2,565000,2022-10-17,-33.7634517549367,150.820650696205,684.010334886666
13,"13/54-56 Meacher Street Mount Druitt 2770",3,1,1,575000,2022-10-14,-33.7613477715111,150.827020020609,1116.54823048588
14,"4/32 Meacher Street Mount Druitt 2770",3,1,2,580000,2022-10-12,-33.7608845456321,150.823453436989,1015.79404506292
15,"2/33 Hythe St Mount Druitt 2770",3,2,1,580000,2022-09-13,-33.7631730147466,150.823302981827,771.439266986316
16,"12/28 O'Brien Street Mount Druitt 2770",4,2,2,6e+05,2022-08-30,-33.7595002743227,150.823092763695,1155.21338903557
17,"1/37 O'Brien Street Mount Druitt 2770",3,2,1,590000,2022-08-26,-33.7585272191831,150.824958491523,1309.15521781038
