"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/2 Hazelbank Road Wollstonecraft 2065",3,2,2,2680000,2023-02-04,-33.8336584921152,151.198210088163,619.107948321437
2,"6/19 Rocklands Road Wollstonecraft 2065",3,2,2,2100000,2022-10-21,-33.8322372566127,151.200161814317,769.71160463095
3,"2/10 River Road Wollstonecraft 2065",3,2,1,2400000,2022-10-17,-33.8283698045781,151.197909764572,686.686090186182
4,"6/35-51 Nicholson Street Wollstonecraft 2065",3,2,1,1925000,2022-10-08,-33.8257290440731,151.197949075698,891.689929555585
5,"4/6 Boronia Street Wollstonecraft 2065",3,2,1,1820000,2022-08-24,-33.8279595523272,151.194012850148,485.353920405992
6,"4/19 Sinclair Street Wollstonecraft 2065",3,1,2,1625000,2022-08-06,-33.8304030028313,151.201650021226,922.391920604466
7,"5/9 River Road Wollstonecraft 2065",3,2,2,1950000,2022-07-25,-33.8286169449932,151.196975936739,600.916005539597
8,"1/19 Rocklands Road Wollstonecraft 2065",3,2,1,1950000,2022-07-05,-33.8322372566127,151.200161814317,769.71160463095
9,"1/1C Christie Street Wollstonecraft 2065",2,1,1,1605000,2022-05-03,-33.8281670882498,151.19711088538,642.300543637503
10,"3/4 Hume Street Wollstonecraft 2065",2,1,1,1280000,2022-04-30,-33.8276432193013,151.197459991648,705.190250669234
11,"3/30 Christie Street Wollstonecraft 2065",3,2,2,2110000,2022-04-22,-33.8266000914511,151.196442344783,729.913733820205
12,"5/15 Russell Street Wollstonecraft 2065",3,2,2,2180000,2022-04-19,-33.8283977582252,151.193315308165,416.090710548628
13,"3/23 Christie Street Wollstonecraft 2065",3,2,2,2150000,2022-04-06,-33.8261829241301,151.196951880677,795.184827083288
14,"12/15 Russell Street Wollstonecraft 2065",3,2,2,2350000,2022-03-26,-33.8283977582252,151.193315308165,416.090710548628
15,"9/30 Morton St Wollstonecraft 2065",3,2,2,1890000,2021-12-23,-33.8319759088717,151.199104101955,671.167889493571
16,"2/20 Milner Crescent Wollstonecraft 2065",3,1,1,1750000,2021-12-18,-33.8300963509037,151.193834650886,274.791535973061
17,"2/79 Shirley Road Wollstonecraft 2065",4,2,2,2456000,2021-10-20,-33.8301644957765,151.198611329868,655.757679621154
18,"13/24 Tryon Avenue Wollstonecraft 2065",3,2,2,2325000,2021-09-30,-33.8341687823805,151.192409978803,254.539877588434
19,"1/9 Lithgow Street Wollstonecraft 2065",3,2,2,2550000,2021-09-02,-33.8271219487428,151.196305887399,675.748283249978
20,"1/1-11 Bridge End Wollstonecraft 2065",3,2,2,2850000,2021-08-31,-33.8337120524765,151.195032760126,355.178714590808
21,"10/5-7 River Road Wollstonecraft 2065",2,1,1,1800000,2021-08-27,-33.8287700404547,151.197017678617,593.711698225854
22,"4/1 Bridge End Wollstonecraft 2065",4,3,2,2720000,2021-07-31,-33.8338899583714,151.195021360738,365.757081159671
23,"3/18 Shirley Road Wollstonecraft 2065",3,2,2,2300000,2021-06-05,-33.8358209812249,151.190377115826,453.867243544801
24,"10/24 Tryon Avenue Wollstonecraft 2065",4,3,1,2425000,2021-03-30,-33.8341709197658,151.192663699013,260.588175806582
25,"2/12 Boronia Street Wollstonecraft 2065",2,1,1,1370000,2021-03-18,-33.828375001358,151.194817261395,481.829582943857
26,"4/30 Morton Street Wollstonecraft 2065",3,2,2,1850000,2021-03-06,-33.8320936746113,151.199043416977,665.784238580432
27,"4/1B Hazelbank Road Wollstonecraft 2065",4,2,2,2218000,2021-02-13,-33.8334924047037,151.200174722448,789.520718585311
28,"14/3-15 Christie Street Wollstonecraft 2065",2,1,1,1160000,2021-02-11,-33.8270820508837,151.197264441847,736.464417796349
29,"3/6 Boronia Street Wollstonecraft 2065",3,2,1,1535000,2020-11-14,-33.8279595523272,151.194012850148,485.353920405992
30,"8/15 Belmont Avenue Wollstonecraft 2065",3,3,2,1775000,2020-11-07,-33.8325592893327,151.195970024539,387.705752709015
31,"5/10a Gillies Street Wollstonecraft 2065",3,2,1,1310000,2020-11-05,-33.83129043683,151.200316963345,786.541670058864
32,"4/38 Morton Street Wollstonecraft 2065",3,2,1,1815000,2020-09-09,-33.8315118867119,151.199060096964,668.708895560288
33,"9/6 Boronia Street Wollstonecraft 2065",3,2,1,1610000,2020-07-28,-33.8279595523272,151.194012850148,485.353920405992
34,"5/1C Christie Street Wollstonecraft 2065",3,1,1,1385000,2020-03-07,-33.8280635717456,151.19691097699,636.145315170664
35,"1D Hume Street Wollstonecraft 2065",3,2,2,1800000,2019-12-14,-33.8282847701704,151.197712789847,677.522958536672
36,"8/8 Morton Street Wollstonecraft 2065",3,2,2,1945000,2019-12-03,-33.833779359159,151.2002498243,803.873711149239
37,"7/10 Gillies Street Wollstonecraft 2065",2,1,1,1360000,2019-11-16,-33.8315308298131,151.200339762122,786.673218088708
38,"1B Telopea Street Wollstonecraft 2065",3,2,1,1340000,2019-11-07,-33.8325265580008,151.191515043001,73.0540492641187
39,"3/26 Christie Street Wollstonecraft 2065",4,2,2,1865000,2019-09-14,-33.826804316522,151.196533623709,716.628147162617
40,"1/20 Milner Crescent Wollstonecraft 2065",3,2,1,1655000,2019-07-20,-33.8300963509037,151.193834650886,274.791535973061
41,"1/10 Boronia Street Wollstonecraft 2065",3,3,1,1315000,2019-05-11,-33.8283408031931,151.194584244487,473.087605062039
42,"2/6 Boronia Street Wollstonecraft 2065",3,2,1,1300000,2019-04-24,-33.8279595523272,151.194012850148,485.353920405992
43,"4/82 Milray Avenue Wollstonecraft 2065",4,3,2,2390000,2019-03-09,-33.8308712578522,151.190838371958,150.308207726939
44,"1/9 River Road Wollstonecraft 2065",3,2,2,1370000,2019-02-09,-33.8286169449932,151.196975936739,600.916005539597
45,"2/2 Hazelbank Road Wollstonecraft 2065",3,2,2,1900000,2018-11-17,-33.8336584921152,151.198210088163,619.107948321437
46,"2/2A Hume Street Wollstonecraft 2065",3,2,1,1470000,2018-11-10,-33.8281370391269,151.197310290857,658.527592108233
47,"Unit 7/19-23 Sinclair St Wollstonecraft 2065",2,1,1,1155000,2018-10-19,-33.8304030028313,151.201650021226,922.391920604466
48,"3/19 Rocklands Road Wollstonecraft 2065",3,2,2,1610000,2018-08-18,-33.8322372566127,151.200161814317,769.71160463095
49,"2/18 Boronia Street Wollstonecraft 2065",3,2,2,1315000,2018-07-27,-33.8282157871072,151.195122027395,512.625778253162
50,"8/3-15 Christie Street Wollstonecraft 2065",2,1,1,995000,2018-06-02,-33.8267945516048,151.1971351929,752.408942168031
51,"2/15 Belmont Avenue Wollstonecraft 2065",3,2,2,1625000,2018-05-22,-33.8325116801227,151.1957760673,369.113934135085
52,"4/36 Milner Crescent Wollstonecraft 2065",3,2,1,1525000,2018-05-02,-33.829620887446,151.195443389563,420.438131888973
53,"5/12 Boronia Street Wollstonecraft 2065",2,1,1,1227000,2018-04-07,-33.828375001358,151.194817261395,481.829582943857
54,"1/18 Boronia Street Wollstonecraft 2065",3,2,2,1410000,2018-04-05,-33.8282157871072,151.195122027395,512.625778253162
55,"1/9 Lithgow Street Wollstonecraft 2065",3,2,2,1900000,2018-03-15,-33.8271219487428,151.196305887399,675.748283249978
56,"1/1 Balfour Street Wollstonecraft 2065",2,1,1,1057500,2018-03-08,-33.8291287020916,151.195509187503,460.46896223192
57,"5/9 River Road Wollstonecraft 2065",3,2,2,1638000,2018-01-30,-33.8286169449932,151.196975936739,600.916005539597
58,"14c Rocklands Road Wollstonecraft 2065",3,2,1,1725000,2018-01-23,-33.8327265921201,151.198054687678,580.903116711919
59,"8/74 Milray Avenue Wollstonecraft 2065",3,2,2,1922000,2017-12-16,-33.8311898959015,151.189838243271,203.15797630443
60,"5/28 Morton Street Wollstonecraft 2065",3,2,2,1601000,2017-12-11,-33.8324451278115,151.199457315355,706.134701731551
61,"50 Walumetta Drive Wollstonecraft 2065",3,3,2,2920000,2017-12-06,-33.8343222550276,151.195644555239,440.73302419945
62,"10/18 Boronia Street Wollstonecraft 2065",3,2,2,1295000,2017-12-04,-33.8282157871072,151.195122027395,512.625778253162
63,"4/8a Gillies Street Wollstonecraft 2065",3,2,2,1910000,2017-11-24,-33.8318976638056,151.200507651642,800.944375668721
64,"2/93 Shirley Road Wollstonecraft 2065",3,2,2,1451000,2017-11-13,-33.8289133290895,151.199503834918,783.750420569403
65,"3/5-7 River Road Wollstonecraft 2065",2,1,1,1250000,2017-10-30,-33.8286547473765,151.197287324442,621.418187978246
66,"4/30 Christie Street Wollstonecraft 2065",3,2,2,1930000,2017-09-23,-33.8266000914511,151.196442344783,729.913733820205
67,"4/1-5 Selwyn Street Wollstonecraft 2065",3,2,2,1910000,2017-09-12,-33.831219190653,151.194418869538,250.743873235308
68,"1B/6 Gas Works Road Wollstonecraft 2065",3,2,2,2150000,2017-03-25,-33.8346886699249,151.196010006217,492.4507436942
69,"12/18 Boronia Street Wollstonecraft 2065",3,2,2,1360000,2017-03-17,-33.8282157871072,151.195122027395,512.625778253162
70,"2/74 Milray Avenue Wollstonecraft 2065",3,2,2,1610000,2017-03-15,-33.8311898959015,151.189838243271,203.15797630443
71,"3/23-25 Christie Street Wollstonecraft 2065",3,2,2,1720000,2017-03-04,-33.8261829241301,151.196951880677,795.184827083288
