"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/1740 Pacific Highway Wahroonga 2076",3,2,2,1100000,2023-02-22,-33.7187922204467,151.109022782701,750.031416669884
2,"3/1 Woonona Avenue Wahroonga 2076",3,2,2,1410000,2022-11-15,-33.7181047786577,151.113950922673,287.869013719314
3,"2/1 Neringah Avenue Wahroonga 2076",4,3,2,1875000,2022-10-26,-33.7184227461547,151.115201502626,194.207028252085
4,"5/100 Browns Road Wahroonga 2076",3,2,2,1280000,2022-10-14,-33.7356099643445,151.093582730318,2959.69041764718
5,"13/1740 Pacific Highway Wahroonga 2076",3,2,2,1100000,2022-10-14,-33.7189043284016,151.108480473565,801.716729170915
6,"10/11-17 Jubilee Street Wahroonga 2076",3,2,2,1370000,2022-09-16,-33.7065964675074,151.112118303362,1292.4471363213
7,"8/1-3 Burns Road Wahroonga 2076",3,2,1,1650000,2022-06-25,-33.7132134352407,151.11523578461,501.652252192113
8,"10/100 Browns Road Wahroonga 2076",3,2,2,1400000,2022-06-24,-33.7356004508844,151.092996164734,2998.93485906061
9,"20/1740 Pacific Highway Wahroonga 2076",3,2,2,1060000,2022-06-07,-33.7191800930161,151.108723129662,786.505291224211
10,"24/1740 Pacific Highway Wahroonga 2076",3,2,2,1100000,2022-05-27,-33.7190881854478,151.108291126372,823.109785842237
11,"1/35a Fox Valley Road Wahroonga 2076",4,3,2,3100000,2022-05-12,-33.7265071755864,151.115825870594,1010.11297940736
12,"19/1740 Pacific Highway Wahroonga 2076",3,2,2,1050000,2022-05-03,-33.7191672687042,151.108912476855,769.148657232142
13,"46/1740 Pacific Highway Wahroonga 2076",3,2,2,1180000,2022-04-22,-33.7195128545722,151.108960337522,775.177757741383
14,"52/1740 Pacific Highway Wahroonga 2076",3,2,2,990000,2022-04-19,-33.7191139178905,151.109164353045,745.082726224776
15,"1/68 Coonanbarra Road Wahroonga 2076",3,2,2,2470000,2022-04-02,-33.7154742859842,151.116351080647,230.817003809153
16,"31/1740 Pacific Highway Wahroonga 2076",3,2,2,1200000,2022-03-19,-33.7195551412737,151.108258017855,838.88004067113
17,"2/10-12 Carrington Street Wahroonga 2076",4,2,2,1350000,2022-02-21,-33.7060842074948,151.117195976487,1269.09342611026
