"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/25-27 Heath Street Asquith 2077",3,2,1,1060000,2022-08-05,-33.6902857449326,151.107044988827,206.196470822003
2,"21/9 Heath Street Asquith 2077",2,2,1,8e+05,2022-07-07,-33.6909378569997,151.106413244785,298.74063257741
3,"4/41 Hazelmead Road Asquith 2077",2,1,1,980000,2022-03-22,-33.6857797176045,151.115471819004,749.642205344724
4,"19/17 Haldane Street Asquith 2077",3,2,1,1127500,2022-02-21,-33.6895618837744,151.108268998148,97.6107571621194
5,"8/470-472 Pacific Highway Asquith 2077",2,2,1,673521,2021-11-11,-33.6814814357466,151.111309198249,853.292096826159
6,"9/17 Haldane Street Asquith 2077",3,2,1,950000,2021-07-23,-33.6895123886361,151.108060037302,92.2844989188733
7,"2/475-477 Pacific Highway Asquith 2077",3,2,2,1130000,2021-06-30,-33.6818934481972,151.110429517511,784.797815292177
8,"6/475-477 Pacific Highway Asquith 2077",3,2,2,1130000,2021-06-25,-33.6818934481972,151.110429517511,784.797815292177
9,"24/9-19 Heath Street Asquith 2077",2,2,1,770000,2021-06-18,-33.6909378569997,151.106413244785,298.74063257741
10,"18/17 Haldane Street Asquith 2077",3,2,1,943000,2021-05-01,-33.6895948665634,151.108234129431,101.034343281702
11,"5/475-477 Pacific Highway Asquith 2077",3,2,2,1100000,2021-04-22,-33.6818934481972,151.110429517511,784.797815292177
12,"LOT 24 3-5 Winston Street Asquith 2077",4,3,2,1245000,2021-04-19,-33.6897797713474,151.109022782701,144.746847930659
13,"10/9-19 Heath Street Asquith 2077",2,2,1,802000,2021-04-15,-33.6909378569997,151.106413244785,298.74063257741
14,"10/470 Pacific Highway Asquith 2077",2,2,1,750000,2021-03-12,-33.6815892270215,151.111298469413,841.677234190177
15,"17/17 Haldane Street Asquith 2077",3,2,1,912000,2021-02-26,-33.6896406736642,151.108217617082,106.054859297716
16,"4/17 Haldane Street Asquith 2077",3,2,1,901000,2020-12-12,-33.68930342779,151.108292802753,69.3295085814935
17,"7/25-27 Heath Street Asquith 2077",3,2,2,1048000,2020-11-21,-33.6902857449326,151.107044988827,206.196470822003
18,"2/1-3 Haldane Street Asquith 2077",3,2,1,925000,2020-10-30,-33.6885863978828,151.109236185955,99.1614519240442
19,"22/9-19 Heath Street Asquith 2077",2,2,1,648000,2020-09-18,-33.6909378569997,151.106413244785,298.74063257741
20,"11/17 Haldane Street Asquith 2077",3,2,1,910000,2020-08-08,-33.6895792762235,151.107991305696,100.552137552778
21,"4/475-477 Pacific Highway Asquith 2077",3,3,2,1075000,2020-07-23,-33.6818934481972,151.110429517511,784.797815292177
22,"7/1 Winston Street Asquith 2077",4,2,2,1007000,2020-07-04,-33.6894601693793,151.108476031156,90.3586252477154
23,"5/470-472 Pacific Highway Asquith 2077",3,2,2,850000,2020-06-24,-33.6815478204198,151.111087161634,839.509575449488
24,"6/1 Winston Street Asquith 2077",3,2,1,885000,2020-05-27,-33.6895004863336,151.108415597635,93.126164085282
25,"19/17 Haldane Street Asquith 2077",3,2,1,910000,2020-03-03,-33.6895618837744,151.108268998148,97.6107571621194
26,"1/470-472 Pacific Highway Asquith 2077",4,2,2,980000,2019-12-19,-33.6813486664003,151.111117168847,861.40741565181
27,"5/17 Haldane Street Asquith 2077",3,2,1,832000,2019-04-12,-33.6893355304791,151.108261622073,72.4743724736317
28,"8/9-19 Heath Street Asquith 2077",2,2,1,751000,2018-10-17,-33.6909378569997,151.106413244785,298.74063257741
29,"15/9-19 Heath Street Asquith 2077",2,2,1,715000,2018-07-23,-33.6909378569997,151.106413244785,298.74063257741
30,"16/156 Sherbrook Road Asquith 2077",3,2,1,955000,2018-04-20,-33.6898865987034,151.110157357114,227.100397637259
