"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/23 Stuart Street Concord West 2138",3,2,2,1720000,2023-03-27,-33.8492268295257,151.086315117351,105.345759830707
2,"14/4-10 Cavendish Street Concord West 2138",3,2,2,1640000,2023-03-13,-33.8471692818437,151.086636563338,176.984541698072
3,"7/213-215 Queen Street Concord West 2138",2,2,2,1125000,2023-02-21,-33.8508095843023,151.086937892757,285.9408498281
4,"6/23 Stuart Street Concord West 2138",3,2,2,1720000,2023-01-19,-33.8492268295257,151.086315117351,105.345759830707
5,"4/23 Stuart Street Concord West 2138",3,2,2,1720000,2022-12-06,-33.8492268295257,151.086315117351,105.345759830707
6,"6/2 Station Avenue Concord West 2138",2,2,1,850000,2022-11-17,-33.8466989732565,151.083943960762,251.439550810126
7,"9/3-5 Concord Avenue Concord West 2138",2,2,1,820000,2022-11-11,-33.8451037294441,151.08484090822,384.191787058963
8,"1/217-219 Queen Street Concord West 2138",3,2,2,1550000,2022-09-14,-33.850546182995,151.086629941634,247.460300471463
9,"5/23 Stuart Street Concord West 2138",3,2,2,1745000,2022-05-31,-33.8492268295257,151.086315117351,105.345759830707
10,"7/2 Station Avenue Concord West 2138",2,2,1,990000,2022-05-06,-33.8466989732565,151.083911355158,253.272116532572
11,"10/231 Queen Street Concord West 2138",3,2,2,1700000,2022-02-09,-33.8492268295257,151.086315117351,105.345759830707
12,"1/213-215 Queen Street Concord West 2138",3,2,2,1348000,2022-02-05,-33.8508060219934,151.086477474815,269.699652074042
13,"2/213-215 Queen Street Concord West 2138",3,2,2,1220000,2021-12-04,-33.8507965085333,151.086557186715,271.040108662357
14,"2/2 STATION AVE Concord West 2138",2,2,2,1100000,2021-10-29,-33.8467146055059,151.084105899131,241.253257667895
15,"9/231-235 Queen Street Concord West 2138",3,2,2,1775000,2021-10-22,-33.8492268295257,151.086315117351,105.345759830707
16,"5/249-251 Queen Street Concord West 2138",3,2,2,880000,2021-09-27,-33.8474417356064,151.086202296934,130.710762833085
17,"1/4-10 Cavendish Street Concord West 2138",3,2,2,1700000,2021-06-26,-33.8473774883185,151.087014922447,181.69174791262
18,"13/4-10 Cavendish Street Concord West 2138",3,2,2,1475000,2021-05-20,-33.8471776218373,151.086692470632,179.10719390776
19,"27/3-5 Concord Avenue Concord West 2138",3,2,2,1050000,2021-04-28,-33.8449139631562,151.085016006178,402.549876884608
20,"2/4-10 Cavendish Street Concord West 2138",3,2,2,1612000,2021-02-27,-33.8473727525432,151.086951890535,177.873870755581
21,"1/23 Stuart Street Concord West 2138",3,2,2,1550000,2020-12-18,-33.8492268295257,151.086315117351,105.345759830707
22,"2/249-251 Queen Street Concord West 2138",2,1,1,880000,2020-12-17,-33.8473096787218,151.086191651917,143.702508086654
23,"2/12-16 Burke Street Concord West 2138",3,2,2,1230000,2020-10-03,-33.8470370154116,151.087908349507,269.338268755218
24,"2/23 Stuart Street Concord West 2138",3,2,2,1480000,2020-07-08,-33.8492268295257,151.086315117351,105.345759830707
25,"7/12-16 Burke Street Concord West 2138",3,2,2,1290000,2019-11-25,-33.8470370154116,151.087908349507,269.338268755218
26,"12/3-5 Concord Avenue Concord West 2138",2,2,1,670000,2019-04-19,-33.8451308868104,151.085025058633,378.508042632924
27,"9/3-5 Concord Avenue Concord West 2138",2,2,1,760000,2018-11-23,-33.8451037294441,151.08484090822,384.191787058963
28,"13/249 Queen Street Concord West 2138",2,1,1,780500,2018-09-04,-33.8474607625266,151.086465237237,141.23729376293
29,"11/3-5 Concord Avenue Concord West 2138",2,2,2,875000,2017-07-18,-33.8451265701303,151.084938054478,380.170253795552
