"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/40 Lairen Cres Birrong 2143",4,3,2,773000,2022-03-24,-33.8950586989033,151.023905477963,196.866661637847
2,"6/40-42 Larien Crescent Birrong 2143",3,2,1,555000,2019-07-13,-33.8950586989033,151.023905477963,196.866661637847
3,"16/7 Wellington Road Birrong 2143",3,1,2,705000,2017-09-21,-33.8895020419217,151.021908154256,465.321385367308
4,"14/7 Wellington Road Birrong 2143",3,1,2,675000,2017-05-20,-33.8896214421325,151.021651165104,464.062982048277
5,"5/40-43 Larien Crescent Birrong 2143",4,2,2,575088,2016-03-11,-33.8950586989033,151.023905477963,196.866661637847
6,"1/40-42 Larien Crescent Birrong 2143",4,2,3,655000,2015-05-19,-33.8950586989033,151.023905477963,196.866661637847
7,"7/40 Larien Crescent Birrong 2143",4,2,2,468000,2013-02-20,-33.8950586989033,151.023905477963,196.866661637847
8,"7/40-42 Larien Crescent Birrong 2143",4,2,2,468000,2013-02-20,-33.8950586989033,151.023905477963,196.866661637847
9,"22/7 Wellington Road Birrong 2143",3,NA,NA,725000,2011-12-01,-33.8889179489989,151.021645968324,534.525582212146
10,"3/40 Larien Crescent Birrong 2143",3,2,1,312000,2011-05-01,-33.8950586989033,151.023905477963,196.866661637847
11,"3/12 Birrong Avenue Birrong 2143",3,1,1,360000,2011-05-01,-33.8929957868033,151.020035804724,370.487864093776
12,"6/7 Wellington Road Birrong 2143",3,1,1,392000,2011-04-01,-33.8893540594212,151.021265681377,507.441183314522
13,"2/40-42 Larien Cres Birrong 2143",3,2,2,348000,2009-02-14,-33.8950586989033,151.023905477963,196.866661637847
14,"2/40 Larien Crescent Birrong 2143",3,2,1,667500,2009-02-01,-33.8950586989033,151.023905477963,196.866661637847
15,"17/7 Wellington Road Birrong 2143",2,NA,NA,280000,2008-12-01,-33.889298235946,151.021887367136,486.77010046229
16,"5/40 Larien Crescent Birrong 2143",4,2,1,198000,2007-12-01,-33.8950586989033,151.023905477963,196.866661637847
17,"20/149 Auburn Road Birrong 2143",3,1,1,284000,2007-04-01,-33.8969945236678,151.021286031305,483.753263220438
18,"11/149 Auburn Road Birrong 2143",2,1,1,270000,2006-08-01,-33.8969945236678,151.021286031305,483.753263220438
19,"4/48 Rodd Street Birrong 2143",4,1,2,420000,2006-06-01,-33.8915020897479,151.020952617294,347.24043158379
20,"2/149 Auburn Road Birrong 2143",2,1,1,270000,2006-06-01,-33.8969945236678,151.021286031305,483.753263220438
21,"10/149 Auburn Road Birrong 2143",2,1,1,277000,2006-03-01,-33.8969945236678,151.021286031305,483.753263220438
22,"6/48 Rodd Street Birrong 2143",3,1,2,398000,2006-03-01,-33.891535156356,151.021325360528,317.370616651943
23,"8/12 Birrong Avenue Birrong 2143",3,1,1,675000,2006-03-01,-33.8933219266559,151.020796043342,298.773063880156
24,"15/149 Auburn Road Birrong 2143",2,1,1,265000,2006-02-01,-33.8969945236678,151.021286031305,483.753263220438
25,"8/48 Rodd Street Birrong 2143",3,1,1,354000,2005-05-01,-33.891842897931,151.021386883697,292.711915134461
26,"3/48 Rodd Street Birrong 2143",3,NA,NA,450000,2003-11-01,-33.8914234255866,151.020480716145,388.380861682839
27,"20/7 Wellington Road Birrong 2143",2,NA,NA,335000,2002-08-01,-33.8891632453954,151.021551168999,513.613773832137
28,"9/149 Auburn Road Birrong 2143",1,NA,NA,275000,2002-07-01,-33.8969945236678,151.021286031305,483.753263220438
29,"7/48 Rodd Street Birrong 2143",3,1,2,930000,2002-07-01,-33.8916707755493,151.021427871204,300.664578210517
