"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/6-10 Emert Street Wentworthville 2145",3,1,1,745000,2023-03-27,-33.8058428949704,150.967827109139,475.333320961188
2,"5/14-16 Short Street Wentworthville 2145",3,2,1,773000,2023-03-17,-33.8058211858411,150.975034623861,256.974640817169
3,"4/195 Dunmore street Wentworthville 2145",3,3,1,810000,2023-03-03,-33.8050633360655,150.961337001511,1078.54412765407
4,"11/20-22 Veron Street Wentworthville 2145",2,2,1,660000,2023-02-03,-33.8094209617979,150.9779728162,548.49586631157
5,"2/71A Wentworth Avenue Wentworthville 2145",3,1,1,690000,2023-01-29,-33.8065252657079,150.973413563787,90.8731388941977
6,"5/6 Water Street Wentworthville 2145",2,2,1,745000,2022-12-30,-33.8043930771781,150.974902441248,363.33445211137
7,"5/19 Stapleton Street Wentworthville 2145",3,2,1,670000,2022-10-11,-33.8046584901422,150.96484482799,779.1646087678
8,"5/57 Killeen Street Wentworthville 2145",2,2,1,7e+05,2022-09-28,-33.8128479867302,150.974180005013,652.185217674943
9,"6/33 Pritchard Street Wentworthville 2145",2,1,1,565000,2022-09-24,-33.8076401845588,150.967468196045,490.487569174515
10,"4/129 Dunmore Street Wentworthville 2145",3,2,2,780000,2022-09-10,-33.8061290950543,150.965902456532,641.251343356325
11,"2/11-13 Water St Wentworthville 2145",3,2,1,755000,2022-08-09,-33.8051668525697,150.975418850302,329.702049556991
12,"5/53 Lower Mount Street Wentworthville 2145",2,2,1,649500,2022-07-01,-33.8015342195525,150.970767983687,647.187015012145
13,"5/22-24 Water Street Wentworthville 2145",3,2,2,860000,2022-06-16,-33.8048045028955,150.976124774188,405.616798287122
14,"5/140 Dunmore Street Wentworthville 2145",2,1,2,730050,2022-05-13,-33.8066234597036,150.964189866075,792.1016995967
15,"7/43-45 Stapleton Street Wentworthville 2145",2,1,1,620000,2022-04-28,-33.8041679392588,150.962423212343,1008.45734412637
16,"10/6 Water Street Wentworthville 2145",3,2,1,778000,2022-03-23,-33.8043930771781,150.974902441248,363.33445211137
17,"10/20 Veron Street Wentworthville 2145",2,2,1,701000,2022-03-19,-33.8094209617979,150.9779728162,548.49586631157
18,"3/158-160 Station Street Wentworthville 2145",2,1,1,528000,2022-03-07,-33.8129716617116,150.970808971194,675.920030465495
19,"15/29-33 Stapleton Street Wentworthville 2145",3,2,2,815000,2022-02-25,-33.8044002437053,150.96358955417,898.08853869927
20,"2/51 Stapleton Street Wentworthville 2145",3,2,1,8e+05,2021-12-06,-33.8040264108237,150.96168677833,1078.02257656369
21,"9/10 Water Street Wentworthville 2145",3,2,1,891000,2021-11-12,-33.8044960488586,150.975208799809,370.641883105583
22,"11/11-13 Water Street Wentworthville 2145",3,2,1,770000,2021-11-11,-33.8053163438129,150.975380042091,316.2204273236
23,"2/20 Veron Street Wentworthville 2145",3,2,2,8e+05,2021-11-10,-33.8094209617979,150.9779728162,548.49586631157
24,"2-4 Water Street Wentworthville 2145",2,2,1,7960000,2021-10-21,-33.8042900216786,150.974597004696,358.542223601727
25,"6/20-22 Veron St Wentworthville 2145",2,2,1,635000,2021-08-24,-33.8094209617979,150.9779728162,548.49586631157
26,"Lot 2/3A Stapleton Street Wentworthville 2145",3,2,1,780000,2021-08-16,-33.8051030662866,150.966506288837,617.932636197745
27,"10/2-4 Water Street Wentworthville 2145",3,2,1,790000,2021-08-09,-33.8042900216786,150.974597004696,358.542223601727
28,"2/8-9 Mildred Street Wentworthville 2145",3,2,2,796500,2021-08-06,-33.8109476835518,150.967635415014,635.956440862458
29,"3/19 Hill Street Wentworthville 2145",3,2,2,860000,2021-07-08,-33.8045096694513,150.972327352954,292.330777913254
30,"8/20-22 Veron Street Wentworthville 2145",2,2,1,642000,2021-07-07,-33.8094209617979,150.9779728162,548.49586631157
