"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/12 Bogan Place Seven Hills 2147",3,2,2,710000,2023-02-09,-33.7935073737956,150.932680950934,2161.73008346031
2,"2/12 Bogan Place Seven Hills 2147",3,2,2,745000,2023-01-30,-33.7932781706533,150.932431673134,2140.0863418793
3,"5/36 Ellam Drive Seven Hills 2147",3,2,1,725000,2022-12-23,-33.788894393383,150.925528505317,1898.37414440193
4,"2F Vermont Court Seven Hills 2147",4,2,2,822500,2022-12-08,-33.7828366243201,150.923233037313,1526.60577446937
5,"14/4 Nolan Place Seven Hills 2147",3,1,2,750000,2022-11-01,-33.7669431947949,150.941220182432,944.208860498402
6,"1/16-18 Leabons Lane Seven Hills 2147",5,3,2,965000,2022-10-21,-33.7828366243201,150.923233037313,1526.60577446937
7,"3/5-7 Fuller Street Seven Hills 2147",4,2,2,815000,2022-10-10,-33.7827380112292,150.94153550963,1063.04089888633
8,"1/61 Wall Park Avenue Seven Hills 2147",5,3,2,917000,2022-09-21,-33.7764422799351,150.926800710581,897.157112150336
9,"17/4 Nolan Place Seven Hills 2147",2,1,1,630000,2022-08-31,-33.76708212484,150.941435262068,941.011788410981
10,"2/54 Nowland Street Seven Hills 2147",3,1,2,735000,2022-08-19,-33.7672174506668,150.945811788992,1192.37793076106
11,"4/13-15 Alice Street Seven Hills 2147",4,3,2,850000,2022-07-14,-33.7770166079407,150.934799393143,326.831509478561
12,"3/54 Nowland Street Seven Hills 2147",3,1,1,750000,2022-05-02,-33.7672174506668,150.945811788992,1192.37793076106
13,"1/5-7 Fuller Street Seven Hills 2147",4,2,2,840000,2022-04-13,-33.7824863026768,150.941410703092,1032.88165975084
14,"13/15 Carter Street Seven Hills 2147",5,3,2,920000,2022-03-04,-33.7804337841368,150.946667497487,1188.71063200236
15,"60B Ellam Drive Seven Hills 2147",3,2,2,785000,2021-12-20,-33.7910617020871,150.925490451476,2110.14126095028
16,"3/17 Fuller Street Seven Hills 2147",3,2,2,770000,2021-11-26,-33.7824292638257,150.942777623861,1092.9202182794
17,"7/4 Ross Street Seven Hills 2147",4,2,2,850000,2021-11-12,-33.7835810211411,150.942278732984,1178.29105490039
18,"11/12 Bogan Place Seven Hills 2147",3,2,1,710000,2021-10-13,-33.7929787271623,150.932934587324,2100.10022488666
19,"7/12 Bogan Place Seven Hills 2147",3,2,1,707700,2021-10-05,-33.7933039450055,150.932738283152,2138.54889935249
20,"2/36 Ellam Drive Seven Hills 2147",2,2,1,640000,2021-09-01,-33.788894393383,150.925528505317,1898.37414440193
21,"2A Vermont Court Seven Hills 2147",4,2,2,770000,2021-07-11,-33.7828366243201,150.923233037313,1526.60577446937
22,"4/15 Carter Street Seven Hills 2147",4,2,2,835000,2021-07-09,-33.7804337841368,150.946667497487,1188.71063200236
23,"8/54 Nowland Street Seven Hills 2147",3,1,1,731000,2021-06-24,-33.7672174506668,150.945811788992,1192.37793076106
24,"11/31 Fuller Street Seven Hills 2147",2,1,2,635000,2021-06-03,-33.7819663732229,150.944291060299,1138.11428536946
25,"3/12 Bogan Place Seven Hills 2147",3,2,2,690000,2021-05-14,-33.7934572500146,150.932627977306,2156.94704921501
26,"5/39 Abigail Street Seven Hills 2147",3,3,2,720000,2021-05-07,-33.7800754158665,150.940507553024,758.642174052713
27,"4/71 Pioneer Street Seven Hills 2147",3,2,2,682000,2021-03-16,-33.768349133324,150.929165664562,925.674120465102
28,"3/15 Carter Street Seven Hills 2147",4,2,2,776000,2021-03-03,-33.7804337841368,150.946667497487,1188.71063200236
29,"15/112 Seven Hills Road South Seven Hills 2147",3,2,1,690000,2021-01-15,-33.7822646432474,150.925929327927,1295.98077203807
30,"6/39 Abigail Street Seven Hills 2147",3,3,1,680000,2020-12-23,-33.7800091988314,150.940460530548,750.08591813646
31,"1/39 Abigail Street Seven Hills 2147",3,3,1,7e+05,2020-11-30,-33.7803489592766,150.940490453942,783.78765348189
