"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/11 Hamlin Circuit Holsworthy 2173",3,2,1,802500,2023-03-29,-33.9611940104334,150.957186450696,211.690348025046
2,"3/29 The Boulevarde Holsworthy 2173",3,2,1,790000,2023-02-27,-33.9620564244511,150.955939894056,132.697714010548
3,"4/66-68 Bardia Parade Holsworthy 2173",3,2,2,790000,2022-10-06,-33.9558370103854,150.947771645592,1152.75994211535
4,"1/1-3 Bardia Parade Holsworthy 2173",3,3,2,870000,2022-09-17,-33.950061837188,150.950020174938,1573.35509250387
5,"2/1 MacArthur Drive Holsworthy 2173",3,2,1,777000,2022-09-06,-33.9619115013452,150.958932820223,240.606313683366
6,"2/10 Light Horse Parade Holsworthy 2173",3,2,1,8e+05,2022-08-24,-33.9609108278346,150.952458135296,460.493168643244
7,"3/10 Light Horse Parade Holsworthy 2173",4,2,2,845000,2022-08-16,-33.9609108278346,150.952458135296,460.493168643244
8,"5/19 Troopers Mews Holsworthy 2173",3,2,2,785000,2022-07-01,-33.9591693617213,150.954168965553,492.752270037577
9,"3/3 MacArthur Drive Holsworthy 2173",3,2,1,790000,2022-06-20,-33.9619115013452,150.958932820223,240.606313683366
10,"4/11 Sabre Crescent Holsworthy 2173",2,2,2,7e+05,2022-06-14,-33.9577116649401,150.955411415061,607.150431831913
11,"20 Howden Street Holsworthy 2173",3,2,1,825000,2022-06-10,-33.9609486302179,150.958520430587,287.416744037467
12,"3/6 Parkwood Road Holsworthy 2173",3,2,1,810000,2022-06-07,-33.9617902152062,150.955731603762,168.02523719858
13,"5/11 Sabre Crescent Holsworthy 2173",2,2,1,719000,2021-12-14,-33.9577116649401,150.955411415061,607.150431831913
14,"3/7 Hamlin Circuit Holsworthy 2173",3,2,1,8e+05,2021-11-22,-33.9616188891053,150.95693591561,161.221650369314
15,"2/22 Morningside Parade Holsworthy 2173",3,2,2,794850,2021-11-15,-33.9610961936233,150.957381581402,226.527114484302
16,"3/14 Provost Mews Holsworthy 2173",3,1,2,866500,2021-11-15,-33.9591673081551,150.954887462293,464.890819862607
17,"2/30 Margate Avenue Holsworthy 2173",3,2,1,810000,2021-10-30,-33.9597474196738,150.958193871639,392.599871113409
18,"3/11 Sabre Crescent Holsworthy 2173",3,3,2,740000,2021-09-27,-33.9577116649401,150.955411415061,607.150431831913
19,"2/11 Sabre Crescent Holsworthy 2173",3,3,2,759000,2021-09-08,-33.9577116649401,150.955411415061,607.150431831913
20,"3/28 Margate Avenue Holsworthy 2173",3,2,1,730000,2021-07-23,-33.9599490882642,150.958302501104,375.401332451567
21,"2/6 Margate Avenue Holsworthy 2173",3,2,1,765000,2021-07-16,-33.9619115013452,150.958932820223,240.606313683366
22,"2/6 Margate Avenue Holsworthy 2173",3,2,1,765000,2021-07-16,-33.9619115013452,150.958932820223,240.606313683366
23,"9 Madang Street Holsworthy 2173",3,1,NA,870000,2021-07-05,-33.9609648492006,150.949062961596,744.528881402969
24,"11/19 Troopers Mews Holsworthy 2173",3,2,2,730000,2020-11-06,-33.959813720528,150.9549249294,397.286552385858
25,"8/19 Troopers Mews Holsworthy 2173",3,2,2,715000,2020-10-03,-33.9594437014123,150.954536679645,449.94792882361
26,"2/4 Parkwood Road Holsworthy 2173",3,2,1,701000,2020-08-31,-33.9618390397922,150.955970068907,152.271122016509
27,"1/3 Macarthur Drive Holsworthy 2173",3,2,1,640000,2020-01-30,-33.9619115013452,150.958932820223,240.606313683366
28,"1/6 Margate Avenue Holsworthy 2173",3,2,1,640000,2020-01-14,-33.9619115013452,150.958932820223,240.606313683366
29,"3/11 The Boulevarde Holsworthy 2173",3,2,1,7e+05,2019-07-30,-33.9620404569255,150.957893128953,156.434180114534
30,"13/14 Provost Mews Holsworthy 2173",3,2,2,651000,2019-06-12,-33.9591673081551,150.954887462293,464.890819862607
31,"5/19 Troopers Mews Holsworthy 2173",3,2,2,651000,2019-03-21,-33.9591693617213,150.954168965553,492.752270037577
32,"9/19 Troopers Mews Holsworthy 2173",3,2,2,685000,2018-12-14,-33.9595439070647,150.954649416243,435.33061688675
33,"14 Morningside Parade Holsworthy 2173",3,2,1,7e+05,2018-09-15,-33.9616573201314,150.95788734544,189.266345823671
34,"2/20 Margate Ave Holsworthy 2173",3,2,1,725000,2018-06-13,-33.9605165850187,150.958608189113,332.033387768819
35,"3/66-68 Bardia Parade Holsworthy 2173",3,2,1,735000,2018-04-26,-33.9558370103854,150.947771645592,1152.75994211535
36,"2/11 The Boulevard Holsworthy 2173",3,2,1,745000,2018-01-15,-33.9620404569255,150.957893128953,156.434180114534
37,"11/14 Provost Mews Holsworthy 2173",3,1,2,708000,2018-01-12,-33.9591673081551,150.954887462293,464.890819862607
38,"3/15 Morningside Parade Holsworthy 2173",3,2,1,745000,2017-12-28,-33.960777387936,150.958083984888,283.127796798996
39,"5/14 Provost Mews Holsworthy 2173",3,1,2,725000,2017-09-01,-33.9591673081551,150.954887462293,464.890819862607
40,"13 Wenton Road Holsworthy 2173",3,2,1,759000,2017-08-29,-33.960695412923,150.956899957246,263.32355669413
41,"10 Wenton Road Holsworthy 2173",3,2,1,767500,2017-07-20,-33.9617015346706,150.956614050528,151.143212662381
42,"50B Brallos Avenue Holsworthy 2173",4,2,1,802500,2017-06-07,-33.9503114921741,150.949610970425,1563.33219467826
43,"9 The Boulevarde Holsworthy 2173",3,2,1,750000,2017-05-03,-33.9620393672781,150.958063616863,167.779056552417
44,"6/19 Troopers Holsworthy 2173",3,1,2,675000,2017-04-07,-33.9592388057891,150.954314726849,479.593607652235
45,"4/19 Troopers Mews Holsworthy 2173",3,1,2,670000,2017-02-13,-33.9592865826372,150.953957238679,491.2050396717
46,"10/14 Provost Mews Holsworthy 2173",3,2,2,712000,2017-02-13,-33.9591673081551,150.954887462293,464.890819862607
47,"18 Morningside Parade Holsworthy 2173",3,2,1,750000,2016-08-05,-33.9612814336835,150.957533377669,211.289610022262
48,"11/19 Troopers Mews Holsworthy 2173",3,2,2,629000,2016-05-16,-33.959813720528,150.9549249294,397.286552385858
49,"14/19 Troopers Mews Holsworthy 2173",3,1,2,650000,2016-04-01,-33.9599093580432,150.954312463735,415.007927618365
50,"27 Margate Avenue Holsworthy 2173",3,2,1,690000,2016-01-25,-33.9603987773696,150.958232093117,327.027810959394
51,"1/10 Lighthorse Parade Holsworthy 2173",3,2,1,660000,2015-09-30,-33.9609108278346,150.952458135296,460.493168643244
52,"1/3 Macarthur Drive Holsworthy 2173",3,2,2,580000,2015-09-16,-33.9619115013452,150.958932820223,240.606313683366
53,"10 Morningside Parade Holsworthy 2173",3,2,1,665000,2015-08-25,-33.9617802407415,150.957974517233,183.147895839253
54,"7/19 Troopers Mews Holsworthy 2173",3,1,2,542000,2015-04-01,-33.9593333117475,150.9544228534,465.661050611477
55,"3/19 Troopers Mews Holsworthy 2173",3,1,2,575000,2015-03-18,-33.9594334754904,150.954064275582,472.098533035522
56,"14/19 Troopers Mews Holsworthy 2173",3,1,2,530000,2015-03-12,-33.9599093580432,150.954312463735,415.007927618365
57,"3/14 Provost Mews Holsworthy 2173",3,1,2,550000,2015-03-05,-33.9591673081551,150.954887462293,464.890819862607
58,"8/14 Provost Mews Holsworthy 2173",3,1,2,549000,2015-02-25,-33.9591673081551,150.954887462293,464.890819862607
59,"1/14 Provost Mews Holsworthy 2173",3,1,2,530000,2015-01-08,-33.9591673081551,150.954887462293,464.890819862607
60,"2/14 Provost Mews Holsworthy 2173",3,1,2,530000,2015-01-08,-33.9591673081551,150.954887462293,464.890819862607
61,"10/19 Troopers Mews Holsworthy 2173",3,1,2,555000,2014-12-19,-33.9596918895653,150.954789477845,414.872175177936
62,"1/7 Hamlin Circuit Holsworthy 2173",3,2,1,556000,2014-12-03,-33.9616188891053,150.95693591561,161.221650369314
63,"3/12 Margate Ave Holsworthy 2173",3,2,1,6e+05,2014-11-20,-33.960983163659,150.95885947857,303.632695741983
64,"2/10 Lighthorse Parade Holsworthy 2173",3,2,1,547000,2014-10-15,-33.9609108278346,150.952458135296,460.493168643244
65,"3/28 Margate Avenue Holsworthy 2173",3,2,1,565000,2014-10-15,-33.9599490882642,150.958302501104,375.401332451567
66,"8 Morningside Parade Holsworthy 2173",3,2,1,595000,2014-10-12,-33.9618155704633,150.958113992102,188.638723169586
67,"4/66-68 Bardia Parade Holsworthy 2173",3,2,2,520000,2014-09-04,-33.9558370103854,150.947771645592,1152.75994211535
68,"43 Margate Avenue Holsworthy 2173",3,2,2,499950,2014-02-01,-33.959812421333,150.957842921353,375.635053201927
69,"1/2 Parkwood Road Holsworthy 2173",3,2,2,522000,2014-01-20,-33.9618627605782,150.956222280374,140.659403650975
70,"3/11 Hamlin Circuit Holsworthy 2173",3,2,1,495000,2013-12-21,-33.9611940104334,150.957186450696,211.690348025046
71,"3/31 The Boulevard Holsworthy 2173",3,3,1,510000,2013-11-15,-33.9620130900117,150.955701261273,149.582371337034
72,"1/10 Light Horse Parade Holsworthy 2173",3,2,1,490000,2013-09-11,-33.9609108278346,150.952458135296,460.493168643244
73,"3/2 Parkwood Road Holsworthy 2173",3,2,1,486000,2013-08-02,-33.9618627605782,150.956222280374,140.659403650975
74,"35 Morningside Pde Holsworthy 2173",3,2,1,496050,2013-05-15,-33.9602803410777,150.957471938318,316.672717902757
75,"2/20 Margate Avenue Holsworthy 2173",3,2,1,475000,2013-03-29,-33.9605165850187,150.958608189113,332.033387768819
76,"2/20 Margate Ave Holsworthy 2173",3,2,1,475000,2013-03-29,-33.9605165850187,150.958608189113,332.033387768819
77,"2/6 Margate Avenue Holsworthy 2173",3,2,1,470000,2013-03-26,-33.9619115013452,150.958932820223,240.606313683366
78,"2/10 Lighthorse Parade Holsworthy 2173",3,3,2,445000,2012-09-10,-33.9609108278346,150.952458135296,460.493168643244
79,"5 Morningside Parade Holsworthy 2173",3,2,1,464500,2012-09-01,-33.9614705294191,150.958457398675,238.375568774564
80,"5/66 Bardia Parade Holsworthy 2173",3,2,5,480000,2012-08-08,-33.9558370103854,150.947771645592,1152.75994211535
81,"5/66-68 Bardia Parade Holsworthy 2173",3,2,5,480000,2012-08-08,-33.9558370103854,150.947771645592,1152.75994211535
82,"1/9 Wenton Road Holsworthy 2173",3,2,1,420000,2012-06-13,-33.9609537850884,150.956553030273,234.572716285682
83,"1/9 Wenton Rd Holsworthy 2173",3,2,1,420000,2012-06-13,-33.9609537850884,150.956553030273,234.572716285682
84,"1 Wenton Road Holsworthy 2173",3,2,1,460000,2012-03-01,-33.9616477228523,150.956279528773,162.045898908052
85,"10 Howden St Holsworthy 2173",3,2,3,455000,2012-02-02,-33.9613819746121,150.957550309113,201.450917053421
86,"1 Hamlin Circuit Holsworthy 2173",3,2,NA,462000,2012-02-01,-33.961817330663,150.957205729073,144.961138408115
87,"10 Howden Street Holsworthy 2173",3,2,3,741000,2012-01-01,-33.9613819746121,150.957550309113,201.450917053421
88,"38 Wenton Road Holsworthy 2173",3,2,1,460000,2011-12-03,-33.9608905017194,150.9570649131,243.16074453587
89,"23 Morningside Parade Holsworthy 2173",3,2,2,465000,2011-12-01,-33.9604180138374,150.957919951043,313.816789463116
90,"18 Wenton Road Holsworthy 2173",3,2,1,740000,2011-12-01,-33.9615967608809,150.956579600906,163.009219540993
91,"4 Hamlin Circuit Holsworthy 2173",3,2,1,730000,2011-12-01,-33.9615451283574,150.957320561147,177.056540534826
92,"8 Howden Street Holsworthy 2173",3,2,1,456000,2011-12-01,-33.9617652790443,150.957319555319,153.928755029348
93,"2/19 Parkwood Road Holsworthy 2173",3,2,1,458000,2011-11-19,-33.9609563415688,150.956284222638,237.241273175235
94,"2 19 Parkwood Road Holsworthy 2173",3,2,1,458000,2011-11-19,-33.9609563415688,150.956284222638,237.241273175235
95,"2/19 Parkwood Rd Holsworthy 2173",3,2,1,458000,2011-11-19,-33.9609563415688,150.956284222638,237.241273175235
96,"18 Howden Street Holsworthy 2173",3,3,2,425000,2011-11-03,-33.9609910007385,150.958408615998,277.662011678321
97,"18 Howden St Holsworthy 2173",3,3,2,425000,2011-11-03,-33.9609910007385,150.958408615998,277.662011678321
98,"8 Howden St Holsworthy 2173",3,2,1,456000,2011-10-20,-33.9617652790443,150.957319555319,153.928755029348
99,"37 Parkwood Road Holsworthy 2173",3,2,2,450000,2011-09-16,-33.9601046563872,150.95732726667,333.287780603428
100,"3/14 Margate Avenue Holsworthy 2173",3,2,1,437500,2011-08-12,-33.960983163659,150.95885947857,303.632695741983
101,"18 Morningside Parade Holsworthy 2173",3,2,1,430000,2011-08-12,-33.9612814336835,150.957533377669,211.289610022262
102,"18 Morningside Pde Holsworthy 2173",3,2,1,430000,2011-08-12,-33.9612814336835,150.957533377669,211.289610022262
103,"3/14 Margate Ave Holsworthy 2173",3,2,1,437500,2011-08-12,-33.960983163659,150.95885947857,303.632695741983
104,"22 Wenton Road Holsworthy 2173",3,2,1,430000,2011-06-01,-33.9613220020949,150.956673729679,193.11345007228
105,"23 The Boulevarde Holsworthy 2173",3,2,1,460000,2011-03-12,-33.9620438096868,150.956774815431,112.813754479062
106,"2/21 The Boulevarde Holsworthy 2173",3,2,1,460000,2011-03-12,-33.9620531974184,150.956949913389,113.623481699775
107,"37 Morningside Parade Holsworthy 2173",3,2,2,430000,2011-03-12,-33.9603589633295,150.9575410052,309.632559907499
108,"37 Morningside Parade Holsworthy 2173",3,2,2,430000,2011-03-12,-33.9603589633295,150.9575410052,309.632559907499
109,"8 Wenton Road Holsworthy 2173",3,2,1,458000,2011-02-28,-33.9617653209538,150.956575912869,144.346161176317
110,"2/21 The Boulevarde Boulevard Holsworthy 2173",3,2,1,460000,2011-02-01,-33.9620531974184,150.956949913389,113.623481699775
111,"6 Morningside Parade Holsworthy 2173",3,2,1,445000,2011-01-28,-33.9618810331271,150.95804140482,178.738368212252
112,"25 Morningside Parade Holsworthy 2173",3,2,1,427000,2010-11-01,-33.9602886810714,150.957846525571,325.10274759016
113,"3/11 Hamlin Circuit Holsworthy 2173",3,3,1,440000,2010-09-03,-33.9611940104334,150.957186450696,211.690348025046
114,"3/11 Hamlin Circuit Holsworthy 2173",3,3,1,440000,2010-09-01,-33.9611940104334,150.957186450696,211.690348025046
115,"5 Acton Lane Holsworthy 2173",3,2,1,428000,2010-08-19,-33.9604717418367,150.956779509297,287.760012463416
116,"3/21 The Boulevarde Holsworthy 2173",3,2,1,430000,2010-08-13,-33.9620531974184,150.956949913389,113.623481699775
117,"17 The Boulevarde Holsworthy 2173",3,2,1,457500,2010-08-03,-33.9620411693873,150.95720774073,121.564300910877
118,"17 The Boulevarde Boulevard Holsworthy 2173",3,2,1,457500,2010-07-01,-33.9620411693873,150.95720774073,121.564300910877
119,"1/66-68 Bardia Parade Holsworthy 2173",3,2,1,425000,2010-06-11,-33.9558370103854,150.947771645592,1152.75994211535
120,"1/66-68 Bardia Parade Holsworthy 2173",3,2,1,425000,2010-06-11,-33.9558370103854,150.947771645592,1152.75994211535
121,"19 Margate Avenue Holsworthy 2173",3,2,1,435000,2010-06-01,-33.9608182916235,150.958390343449,292.888681700096
122,"2/4 Parkwood Road Holsworthy 2173",3,3,1,420000,2010-03-30,-33.9618390397922,150.955970068907,152.271122016509
123,"2/4 Parkwood Road Holsworthy 2173",3,3,1,420000,2010-03-30,-33.9618390397922,150.955970068907,152.271122016509
124,"3/15 Morningside Parade Holsworthy 2173",3,2,1,416000,2009-12-15,-33.960777387936,150.958083984888,283.127796798996
125,"1/21 The Boulevarde Holsworthy 2173",3,2,1,395000,2009-09-04,-33.9620531974184,150.956949913389,113.623481699775
126,"14 Howden Place Holsworthy 2173",3,3,1,415000,2009-08-14,-33.9610771667031,150.958177862204,258.06517068923
127,"14 Howden Street Holsworthy 2173",3,3,1,415000,2009-08-01,-33.9610771667031,150.958177862204,258.06517068923
128,"4/10 Lighthorse Parade Holsworthy 2173",3,2,1,4150000,2009-06-18,-33.9609108278346,150.952458135296,460.493168643244
129,"1/10 Lighthorse Parade Holsworthy 2173",3,2,1,4100000,2009-06-18,-33.9609108278346,150.952458135296,460.493168643244
130,"4/10 Lighthorse Pde Holsworthy 2173",3,2,1,4150000,2009-06-18,-33.9609108278346,150.952458135296,460.493168643244
131,"1/10 Lighthorse Pde Holsworthy 2173",3,2,1,4100000,2009-06-18,-33.9609108278346,150.952458135296,460.493168643244
132,"3 Mubo Crescent Holsworthy 2173",2,1,1,480000,2009-06-01,-33.9562222845649,150.946269189448,1228.94135362474
133,"2/11 The Boulevarde Boulevard Holsworthy 2173",3,3,1,420000,2009-05-01,-33.9620404569255,150.957893128953,156.434180114534
134,"15 Howden Street Holsworthy 2173",3,2,1,835000,2009-03-01,-33.9615021291941,150.957816099263,200.322941976112
135,"1/66-68 Bardia Parade Holsworthy 2173",3,3,1,361000,2008-12-20,-33.9558370103854,150.947771645592,1152.75994211535
136,"2/14 Margate Avenue Holsworthy 2173",3,2,1,395000,2008-12-04,-33.960983163659,150.95885947857,303.632695741983
137,"4 Sanananda Road Holsworthy 2173",3,2,1,3e+05,2007-08-01,-33.9513836633188,150.950476401928,1421.62817950957
138,"3/22 Morningside Parade Holsworthy 2173",3,2,NA,392000,2007-06-01,-33.9610961936233,150.957381581402,226.527114484302
139,"6 Howden Street Holsworthy 2173",3,2,1,384000,2007-06-01,-33.9618745790617,150.957317543662,142.563700567969
140,"43 Parkwood Road Holsworthy 2173",3,2,1,369000,2007-05-01,-33.9600032353587,150.957597750685,349.343177495384
141,"35 Morningside Parade Holsworthy 2173",3,2,1,374000,2007-05-01,-33.9602803410777,150.957471938318,316.672717902757
142,"2 Acton Lane Holsworthy 2173",3,2,1,369000,2007-05-01,-33.9604084584678,150.957202292493,298.068015641489
143,"29 Morningside Parade Holsworthy 2173",3,2,1,375000,2007-05-01,-33.9601806383395,150.957738147563,333.572175809861
144,"49 Parkwood Road Holsworthy 2173",3,2,1,365000,2007-05-01,-33.9597581485099,150.957741081229,379.004427896427
145,"41 Morningside Parade Holsworthy 2173",3,2,1,380000,2007-05-01,-33.9604506194407,150.957323159537,295.318891865287
146,"2/39 Margate Avenue Holsworthy 2173",3,2,1,385000,2007-03-01,-33.9600044507347,150.957946270219,358.030188111801
147,"40 Wenton Road Holsworthy 2173",3,2,1,379000,2007-02-01,-33.9608228178512,150.957180583364,252.20335909254
148,"2/30 Margate Avenue Holsworthy 2173",3,2,1,675000,2007-01-01,-33.9597474196738,150.958193871639,392.599871113409
149,"33 Parkwood Road Holsworthy 2173",3,2,1,390000,2006-12-01,-33.9600432589464,150.957205812892,338.366873366881
150,"43 Morningside Parade Holsworthy 2173",3,2,1,722500,2006-12-01,-33.9605079097489,150.957219223938,287.370253762001
151,"17 Morningside Parade Holsworthy 2173",3,2,2,392000,2006-12-01,-33.960647887532,150.958014247454,293.43826893381
152,"1/28 Margate Avenue Holsworthy 2173",3,2,1,349000,2006-11-01,-33.9599490882642,150.958302501104,375.401332451567
153,"11 Morningside Parade Holsworthy 2173",3,2,1,390000,2006-11-01,-33.9609690401521,150.958187166116,268.845415737889
154,"2/15 Morningside Parade Holsworthy 2173",3,2,1,7e+05,2006-10-01,-33.960777387936,150.958083984888,283.127796798996
155,"29 Margate Avenue Holsworthy 2173",3,2,1,745000,2006-07-01,-33.9604167565519,150.958142742029,321.768877254415
156,"17 Margate Avenue Holsworthy 2173",3,2,1,383000,2006-07-01,-33.9608807787117,150.958423787243,288.66377181985
157,"4 Margate Avenue Holsworthy 2173",3,2,1,379000,2006-05-01,-33.9616975113571,150.958925779424,253.506457510021
158,"16 Margate Avenue Holsworthy 2173",3,2,1,379000,2006-05-01,-33.9607405913811,150.958728888519,317.447364276162
159,"21 Howden Street Holsworthy 2173",3,2,1,365000,2006-05-01,-33.9611899452103,150.958515485264,265.655908667998
160,"3/21 Margate Avenue Holsworthy 2173",3,3,1,8e+05,2006-05-01,-33.9606888750385,150.958320606015,302.039740578436
161,"2 Margate Avenue Holsworthy 2173",3,2,1,379000,2006-04-01,-33.9617258421898,150.958796614296,242.097892004168
162,"3/12 Margate Avenue Holsworthy 2173",3,2,1,750000,2006-03-01,-33.960983163659,150.95885947857,303.632695741983
163,"3 Margate Avenue Holsworthy 2173",3,3,1,383000,2006-03-01,-33.9615953359574,150.958599639572,237.677935937873
164,"9 Morningside Parade Holsworthy 2173",3,2,1,845000,2006-02-01,-33.9613409871055,150.958387996516,245.173939185719
165,"2/12 Margate Avenue Holsworthy 2173",3,2,1,387000,2005-12-01,-33.960983163659,150.95885947857,303.632695741983
166,"7 Morningside Parade Holsworthy 2173",3,3,1,393000,2005-12-01,-33.9614035999223,150.958421356491,241.772251311949
167,"19 Howden Street Holsworthy 2173",3,3,1,383000,2005-12-01,-33.9612310165359,150.958403167761,255.671769433415
168,"2 Morningside Parade Holsworthy 2173",3,3,1,8e+05,2005-11-01,-33.9620971605005,150.958296717591,180.355226814141
169,"15 The Boulevarde Boulevard Holsworthy 2173",3,2,1,375000,2005-10-01,-33.9620388643639,150.957641168943,141.505615554414
170,"3/11 The Boulevarde Boulevard Holsworthy 2173",3,3,1,380000,2005-10-01,-33.9620404569255,150.957893128953,156.434180114534
171,"9 Howden Street Holsworthy 2173",3,2,1,378000,2005-10-01,-33.9618097450406,150.957555589712,158.662519781394
172,"1 Howden Street Holsworthy 2173",3,2,1,727000,2005-10-01,-33.9620943106534,150.957533461488,130.673348105775
173,"16 Morningside Parade Holsworthy 2173",3,2,1,385750,2005-10-01,-33.961608705093,150.957828839756,190.797836020165
174,"13 The Boulevarde Boulevard Holsworthy 2173",3,2,1,375000,2005-10-01,-33.9620374813499,150.957722892499,146.273066054076
175,"12 Morningside Parade Holsworthy 2173",3,1,NA,685000,2005-10-01,-33.961708952655,150.957950964085,188.049502663881
176,"4/66 Bardia Parade Holsworthy 2173",3,2,1,405000,2004-04-01,-33.9558370103854,150.947771645592,1152.75994211535
177,"3/66 Bardia Parade Holsworthy 2173",3,1,1,410000,2004-02-01,-33.9558370103854,150.947771645592,1152.75994211535
178,"2 Sanananda Road Holsworthy 2173",3,2,1,720000,2003-08-01,-33.9512729383778,150.950610931474,1427.94880654721
179,"5/66-68 Bardia Parade Holsworthy 2173",3,2,5,670000,2001-08-01,-33.9558370103854,150.947771645592,1152.75994211535
