"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/193 Canterbury Road Canterbury 2193",3,2,2,1150000,2022-04-09,-33.9115269593483,151.11897210177,54.8536695722078
2,"5/68 Church Street Canterbury 2193",2,1,1,1074000,2021-04-30,-33.9117561205811,151.121631092914,282.921475163758
3,"4/7-11 High Street Canterbury 2193",2,2,1,925000,2021-04-28,-33.9161835675669,151.116276900804,522.729000520265
4,"3/3 Fore Street Canterbury 2193",2,2,1,8e+05,2020-04-18,-33.9145603701074,151.115524038261,409.371261822434
5,"3/3 Fore Street Canterbury 2193",2,2,1,840000,2020-03-31,-33.9145603701074,151.115524038261,409.371261822434
6,"7/3 Fore Street Canterbury 2193",2,2,1,890000,2020-01-28,-33.9145603701074,151.115524038261,409.371261822434
7,"8/3 Fore Street Canterbury 2193",2,2,1,910000,2019-12-05,-33.9145603701074,151.115524038261,409.371261822434
8,"6/4 Blick Parade Canterbury 2193",3,2,2,885000,2019-03-26,-33.9108777809473,151.121644923054,305.422246487751
9,"2/7-11 High Street Canterbury 2193",2,2,1,805000,2019-02-22,-33.9162434562651,151.116361809483,525.731948618244
10,"4/5-7 Dibbs Street Canterbury 2193",2,1,2,750000,2018-10-27,-33.9151167189307,151.114482335334,521.238289074618
11,"5/3 Fore Street Canterbury 2193",3,2,2,960000,2018-03-10,-33.9145603701074,151.115524038261,409.371261822434
12,"1/30-36 Minter Street Canterbury 2193",3,2,2,890000,2018-02-02,-33.9081528661345,151.121378210895,490.306566103093
13,"1/8 Rome Street Canterbury 2193",4,3,2,985000,2018-01-15,-33.9165447018652,151.116967569625,538.774048190618
14,"9/28-30 Phillips Ave Canterbury 2193",2,1,1,750000,2016-02-06,-33.9111972152773,151.11253404576,563.235481644266
15,"5/68 Church Street Canterbury 2193",2,1,1,675000,2015-10-22,-33.9117561205811,151.121631092914,282.921475163758
16,"8/5-7 Dibbs Street Canterbury 2193",4,2,2,940000,2015-08-21,-33.9151167189307,151.114482335334,521.238289074618
17,"1/5 Wairoa street Canterbury 2193",3,2,2,925000,2015-07-02,-33.9102893713444,151.112311673869,605.329630071028
