"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/21 Willeroo Street Lakemba 2195",2,1,2,675000,2023-02-26,-33.9266619523646,151.077642529773,747.053223623301
2,"6/61 Colin Street Lakemba 2195",2,1,1,360000,2023-01-16,-33.9151468518726,151.070249858811,757.654270372229
3,"7/249 Lakemba Street Lakemba 2195",1,1,1,442500,2022-10-24,-33.9189933491494,151.072628307656,323.057599991453
4,"1/67 Moreton Street Lakemba 2195",4,1,2,870000,2022-05-25,-33.9202390256898,151.082625235935,625.775513890412
5,"1/21 Willeroo Street Lakemba 2195",2,1,1,720000,2022-04-20,-33.9266619523646,151.077642529773,747.053223623301
6,"1/40 Colin Street Lakemba 2195",4,2,2,860000,2022-02-16,-33.9172524278598,151.070679682806,574.50689464688
7,"1/111 Yangoora Road Lakemba 2195",4,3,3,992000,2022-01-28,-33.9135194215521,151.075430545525,735.528320247715
8,"5/30 Sproule St Street Lakemba 2195",2,1,1,572000,2021-08-16,-33.9215624443821,151.074162195937,224.17091015064
9,"2/40 Colin Street Lakemba 2195",4,2,2,815000,2021-08-05,-33.9172524278598,151.070679682806,574.50689464688
10,"2/111 Yangoora Road Lakemba 2195",3,3,3,930000,2021-07-16,-33.9135194215521,151.075430545525,735.528320247715
11,"1/57 Colin Street Lakemba 2195",2,1,1,540000,2021-07-08,-33.9153904299789,151.070395452469,728.715617236334
12,"1/8 Macdonald Street Lakemba 2195",2,2,1,645000,2021-05-31,-33.9182017622135,151.072644652367,365.088100975245
13,"9/29-33 Macdonald Street Lakemba 2195",2,1,1,555000,2021-05-07,-33.9168376493812,151.072916393668,454.830185443323
14,"2/74 Croydon Street Lakemba 2195",3,1,1,610000,2021-03-26,-33.9238956728596,151.078410395923,482.409832158817
15,"2/26 Sproule Street Lakemba 2195",2,1,1,510000,2021-02-08,-33.9214046131453,151.074282727705,203.853337247969
16,"1/63 Fairmount Street Lakemba 2195",2,1,1,531100,2020-12-08,-33.9159995009732,151.069219387634,765.246147609937
17,"6/94 sproule Street Lakemba 2195",3,2,1,535000,2020-11-25,-33.9246803447253,151.076310226264,509.69029175908
18,"4/111 Yangoora Road Lakemba 2195",4,2,2,9e+05,2020-10-30,-33.9135194215521,151.075430545525,735.528320247715
19,"8/47 Fairmount Street Lakemba 2195",2,1,1,365000,2020-04-28,-33.9166306163727,151.069726911872,686.196471494181
20,"3/111 Yangoora Road Lakemba 2195",3,2,2,818000,2020-03-10,-33.9135194215521,151.075430545525,735.528320247715
21,"6/85 Croydon Street Lakemba 2195",3,2,2,659000,2019-08-09,-33.9244103217145,151.077812430951,511.019590298265
22,"4/23 Willeroo Street Lakemba 2195",3,2,1,590000,2019-04-10,-33.9267822326751,151.077709668818,761.489544589381
23,"11/47 Fairmount Street Lakemba 2195",2,2,1,470000,2018-04-19,-33.916455727963,151.069710483341,698.626368513684
24,"TH 7/26 Sproule Street Lakemba 2195",2,1,1,573000,2018-04-16,-33.921609634497,151.074183905066,226.600795366736
25,"1/64-68 Wangee Road Lakemba 2195",3,2,1,740000,2017-12-21,-33.9137901151151,151.073985673056,725.165629687767
26,"3/40 Colin St Lakemba 2195",4,2,2,770000,2017-01-25,-33.9172524278598,151.070679682806,574.50689464688
27,"8/29-33 MacDonald St Lakemba 2195",2,2,2,575000,2016-11-05,-33.9168602386102,151.072859229088,455.996681235932
28,"1/8 Macdonald Street Lakemba 2195",2,2,1,590000,2016-10-10,-33.9182017622135,151.072644652367,365.088100975245
29,"3/10-12 Hampden Road Lakemba 2195",2,1,2,590000,2016-05-06,-33.9174613467965,151.074008220376,341.251678804289
30,"12/64-68 Wangee Road Lakemba 2195",3,2,1,610000,2016-01-12,-33.9137404523388,151.073714099393,736.86230990397
31,"8/195-199 Haldon Street Lakemba 2195",3,2,3,656000,2015-10-17,-33.9234601491706,151.07965468945,511.678557197546
