"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/75 Hercules Street Dulwich Hill 2203",3,2,2,1200000,2022-12-20,-33.9075204515399,151.139477002965,430.253001050654
2,"3/165a Denison Road Dulwich Hill 2203",2,2,1,1085000,2022-09-30,-33.9005102468191,151.14201470797,1180.79741218348
3,"2/55-57 Garnet Street Dulwich Hill 2203",2,2,2,1120000,2022-05-10,-33.9114254964103,151.135201561793,559.001011101036
4,"1/1A Nelson Street Dulwich Hill 2203",3,2,2,1915000,2022-02-22,-33.8989437948442,151.140834536003,1353.51715734064
5,"1/75-79 Hercules Street Dulwich Hill 2203",3,1,2,1360000,2022-02-05,-33.9074954734684,151.139115323843,446.473238031616
6,"4/46 Constitution Road Dulwich Hill 2203",3,2,2,1760000,2022-02-05,-33.9005764638542,151.136347451776,1255.43416011179
7,"6/7-9 Kroombit Street Dulwich Hill 2203",3,2,2,1703000,2021-12-04,-33.9046830515865,151.134112752571,971.326939840403
8,"6/75-79 Hercules Street Dulwich Hill 2203",2,1,1,1235000,2021-10-09,-33.9076429949643,151.139096296923,432.584671492772
9,"4/55-57 Garnet Street Dulwich Hill 2203",2,1,2,1100000,2021-05-29,-33.9114254964103,151.135201561793,559.001011101036
10,"3/165 Denison Road Dulwich Hill 2203",3,2,1,1541000,2021-05-15,-33.9003699756695,151.141818990531,1195.43772355583
11,"2/75 Hercules Street Dulwich Hill 2203",2,1,2,882000,2020-09-05,-33.9075014246197,151.139241471486,440.873053355361
12,"4/165 Denison Road Dulwich Hill 2203",3,2,3,1455000,2020-08-04,-33.9003699756695,151.141818990531,1195.43772355583
13,"1/165a Denison Road Dulwich Hill 2203",2,3,1,805000,2019-05-07,-33.9005102468191,151.14201470797,1180.79741218348
14,"8/114 Ewart Street Dulwich Hill 2203",3,2,1,1258000,2018-09-01,-33.9101037121891,151.136891437292,416.665995121495
15,"4/75A Cobar Street Dulwich Hill 2203",3,2,1,893000,2018-06-15,-33.9031518874239,151.130859652129,1304.64086656907
16,"1/10-14 Terry Road Dulwich Hill 2203",2,2,2,1045000,2018-05-26,-33.8996571786234,151.13851048571,1298.30454725145
17,"5/155a Wardell Rd Dulwich Hill 2203",3,1,1,975000,2018-03-03,-33.9055661269955,151.146767079433,800.005953471013
18,"4/277 Wardell Road Dulwich Hill 2203",3,1,1,753000,2015-12-05,-33.911997393664,151.139775817813,168.251906054833
19,"3/165a Denison Road Dulwich Hill 2203",2,2,1,920000,2015-08-08,-33.9005102468191,151.14201470797,1180.79741218348
20,"8/132 Wardell Road Dulwich Hill 2203",3,1,1,713500,2014-11-08,-33.9043467696311,151.148755183047,1023.20761506902
21,"73/1-9 Terrace Rd Dulwich Hill 2203",2,2,1,715000,2014-09-27,-33.9056986029752,151.138446531789,654.104756665881
22,"81/1-9 Terrace Road Dulwich Hill 2203",3,2,1,858000,2014-07-23,-33.9058853936875,151.138855820121,620.648662018986
23,"7/114 Ewart Street Dulwich Hill 2203",3,2,2,930000,2014-05-30,-33.9101037121891,151.136891437292,416.665995121495
24,"2/96 Hercules Street Dulwich Hill 2203",3,2,1,892000,2014-05-10,-33.9088504919358,151.138407136844,362.031665874701
25,"76/1-9 Terrace Road Dulwich Hill 2203",2,2,1,721000,2014-03-22,-33.9057735371896,151.138588102133,641.339349666486
26,"76/1 Terrace Road Dulwich Hill 2203",2,2,1,721000,2014-03-22,-33.9057735371896,151.138588102133,641.339349666486
27,"2/165 Denison Rd Dulwich Hill 2203",3,2,1,840000,2013-12-11,-33.9003699756695,151.141818990531,1195.43772355583
28,"2/122 Constitution Road Dulwich Hill 2203",3,1,2,850000,2013-12-07,-33.9032596786987,151.141000581505,872.837090110241
29,"4/165 Denison Road Dulwich Hill 2203",3,2,2,950000,2013-10-18,-33.9003699756695,151.141818990531,1195.43772355583
30,"4/165 Denison Rd Dulwich Hill 2203",3,2,2,950000,2013-10-18,-33.9003699756695,151.141818990531,1195.43772355583
31,"3/46 Constitution Road Dulwich Hill 2203",3,2,2,908000,2013-08-06,-33.9005764638542,151.136347451776,1255.43416011179
32,"3/46 Constitution road Dulwich Hill 2203",3,2,2,908000,2013-06-29,-33.9005764638542,151.136347451776,1255.43416011179
33,"1/96 Hercules Street Dulwich Hill 2203",3,2,1,850000,2013-03-16,-33.9088504919358,151.138407136844,362.031665874701
34,"3/165 Denison Road Dulwich Hill 2203",3,2,1,780000,2013-02-01,-33.9003699756695,151.141818990531,1195.43772355583
35,"2/553 New Canterbury Road Dulwich Hill 2203",4,2,2,748000,2012-12-20,-33.9046970074553,151.138053755806,770.94867659454
36,"73/1 Terrace Road Dulwich Hill 2203",2,2,1,540000,2012-02-16,-33.9056986029752,151.138446531789,654.104756665881
37,"73/1-9 Terrace Road Dulwich Hill 2203",2,2,1,540000,2012-02-16,-33.9056986029752,151.138446531789,654.104756665881
38,"73/1-9 Terrace Rd Dulwich Hill 2203",2,2,1,540000,2012-02-16,-33.9056986029752,151.138446531789,654.104756665881
39,"7/7-9 Kroombit Street Dulwich Hill 2203",2,2,1,679500,2012-02-11,-33.9046830515865,151.134112752571,971.326939840403
40,"7 Dulwich Hill 2203",2,2,1,679500,2012-02-11,-33.904425591,151.138886088,773.938428926157
41,"13/2-6 Terrace Road Dulwich Hill 2203",2,1,1,534975,2011-12-01,-33.9059112518588,151.137599372835,668.186771009335
42,"13/2 Terrace Road Dulwich Hill 2203",2,1,1,534975,2011-12-01,-33.9059112518588,151.137599372835,668.186771009335
43,"100 Hercules Street Dulwich Hill 2203",3,2,1,839500,2011-11-04,-33.909040927253,151.138006574119,376.357227319777
44,"2/55-57 Garnet Street Dulwich Hill 2203",2,1,2,640000,2011-10-22,-33.9114254964103,151.135201561793,559.001011101036
45,"8/55 - 57 Garnet Street Dulwich Hill 2203",2,1,2,640000,2011-10-22,-33.9114254964103,151.135201561793,559.001011101036
46,"3/114 Ewart Street Dulwich Hill 2203",3,3,2,795000,2011-10-13,-33.9101037121891,151.136891437292,416.665995121495
47,"4/75A Cobar Street Dulwich Hill 2203",3,2,1,702500,2011-06-01,-33.9031518874239,151.130859652129,1304.64086656907
48,"25/115-117 Constitution Road Dulwich Hill 2203",2,1,1,510000,2011-05-11,-33.9032702398967,151.138666640566,903.221961931759
49,"5/46 Constitution Road Dulwich Hill 2203",3,2,2,780000,2011-04-01,-33.9005764638542,151.136347451776,1255.43416011179
50,"5/7-9 Kroombit Street Dulwich Hill 2203",3,2,2,730000,2011-01-26,-33.9046830515865,151.134112752571,971.326939840403
51,"5/155A Wardell Road Dulwich Hill 2203",3,1,1,630000,2011-01-01,-33.9055661269955,151.146767079433,800.005953471013
52,"7/55 Garnet Street Dulwich Hill 2203",2,1,2,615000,2010-12-04,-33.9114254964103,151.135201561793,559.001011101036
53,"8/114 Ewart Street Dulwich Hill 2203",3,2,1,740000,2010-11-23,-33.9101037121891,151.136891437292,416.665995121495
54,"8/114 Ewart Street Dulwich Hill 2203",3,2,1,740000,2010-11-01,-33.9101037121891,151.136891437292,416.665995121495
55,"1/165 Denison Rd Dulwich Hill 2203",3,2,2,895000,2010-10-18,-33.9003699756695,151.141818990531,1195.43772355583
56,"33a Challis Avenue Dulwich Hill 2203",3,2,2,652000,2010-08-25,-33.9104515192613,151.14579427575,426.901975209444
57,"33a Challis Ave Dulwich Hill 2203",3,2,2,652000,2010-08-25,-33.9104515192613,151.14579427575,426.901975209444
58,"6/7-9 Kroombit Street Dulwich Hill 2203",3,2,2,732500,2010-08-24,-33.9046830515865,151.134112752571,971.326939840403
59,"76/1-9 Terrace Road Dulwich Hill 2203",2,3,1,545000,2010-08-20,-33.9057735371896,151.138588102133,641.339349666486
60,"50/1 Terrace Road Dulwich Hill 2203",3,3,1,572000,2010-07-30,-33.9052357961914,151.138630933659,695.6566496024
61,"50/1-9 Terrace Road Dulwich Hill 2203",3,3,1,572000,2010-07-30,-33.9052357961914,151.138630933659,695.6566496024
62,"3/75A Cobar Street Dulwich Hill 2203",3,1,1,650000,2010-06-04,-33.9031518874239,151.130859652129,1304.64086656907
63,"2/553 New Canterbury Road Dulwich Hill 2203",4,2,2,660000,2010-03-01,-33.9046970074553,151.138053755806,770.94867659454
64,"2/75 Hercules Street Dulwich Hill 2203",2,1,2,520000,2010-01-14,-33.9075014246197,151.139241471486,440.873053355361
65,"2/75 Hercules Street Dulwich Hill 2203",2,1,2,520000,2009-12-01,-33.9075014246197,151.139241471486,440.873053355361
66,"88/115 Constitution Road Dulwich Hill 2203",3,2,1,5e+05,2009-12-01,-33.9027765038902,151.139016501205,948.839159581786
67,"2/75A Cobar Street Dulwich Hill 2203",3,1,1,615000,2009-08-18,-33.9031518874239,151.130859652129,1304.64086656907
68,"5/7-9 Kroombit Street Dulwich Hill 2203",3,2,2,1720000,2009-07-01,-33.9046830515865,151.134112752571,971.326939840403
69,"1/7-9 Kroombit Street Dulwich Hill 2203",2,2,1,1030000,2009-07-01,-33.9046830515865,151.134112752571,971.326939840403
70,"3/46 Constitution Road Dulwich Hill 2203",3,2,2,660000,2009-06-03,-33.9005764638542,151.136347451776,1255.43416011179
71,"3/75 Hercules Street Dulwich Hill 2203",2,NA,NA,457800,2009-05-01,-33.9075109380798,151.139360410692,435.414972728081
72,"71/115 Constitution Road Dulwich Hill 2203",2,2,1,470000,2009-03-01,-33.9028278430471,151.138584414096,952.749400217784
73,"2/23 Garnet Street Dulwich Hill 2203",3,2,2,5e+05,2009-02-01,-33.9074467327015,151.134947171032,709.329011853772
74,"9/75-79 Hercules street Dulwich Hill 2203",2,1,1,440000,2009-01-17,-33.9076715353446,151.13946275373,415.252796872476
75,"9/75-79 Hercules street Dulwich Hill 2203",2,1,1,440000,2009-01-01,-33.9076715353446,151.13946275373,415.252796872476
76,"3/165A Denison Road Dulwich Hill 2203",2,2,1,850000,2008-07-01,-33.9005102468191,151.14201470797,1180.79741218348
77,"10/114 Ewart Street Dulwich Hill 2203",4,4,2,1640000,2007-11-01,-33.9101037121891,151.136891437292,416.665995121495
78,"5/114 Ewart Street Dulwich Hill 2203",3,NA,NA,970000,2007-09-01,-33.9101037121891,151.136891437292,416.665995121495
79,"4/114 Ewart Street Dulwich Hill 2203",3,3,2,1310000,2007-08-01,-33.9101037121891,151.136891437292,416.665995121495
80,"6/114 Ewart Street Dulwich Hill 2203",3,2,NA,959000,2007-07-01,-33.9101037121891,151.136891437292,416.665995121495
81,"7/114 Ewart Street Dulwich Hill 2203",3,NA,NA,632000,2007-07-01,-33.9101037121891,151.136891437292,416.665995121495
82,"59 Weston Street Dulwich Hill 2203",3,2,2,655000,2007-06-01,-33.8980952109667,151.140705454694,1448.30458496734
83,"1/55 Garnet Street Dulwich Hill 2203",2,1,1,406000,2007-04-01,-33.9114254964103,151.135201561793,559.001011101036
84,"2/29 Dulwich Street Dulwich Hill 2203",2,3,1,915000,2006-10-01,-33.9029103628839,151.141195041659,911.45284973945
85,"1/155A Wardell Road Dulwich Hill 2203",2,1,1,830000,2006-09-01,-33.9055661269955,151.146767079433,800.005953471013
86,"4/29 Dulwich Street Dulwich Hill 2203",2,2,1,490000,2006-06-01,-33.9029103628839,151.141195041659,911.45284973945
87,"3/155A Wardell Road Dulwich Hill 2203",2,1,1,715000,2006-05-01,-33.9055661269955,151.146767079433,800.005953471013
88,"3/119 Windsor Road Dulwich Hill 2203",3,2,1,490000,2006-03-01,-33.9008499234453,151.136663449526,1216.63193843844
89,"6/155A Wardell Road Dulwich Hill 2203",3,1,1,495000,2005-07-01,-33.9055661269955,151.146767079433,800.005953471013
90,"2/155A Wardell Road Dulwich Hill 2203",2,1,1,420000,2005-04-01,-33.9055661269955,151.146767079433,800.005953471013
91,"6/75 Hercules Street Dulwich Hill 2203",2,NA,NA,442000,2004-11-01,-33.9076429949643,151.139096296923,432.584671492772
92,"17/1 Williams Parade Dulwich Hill 2203",2,2,2,380000,2004-08-01,-33.9030981594245,151.137587219075,952.322047746716
93,"2/55 Garnet Street Dulwich Hill 2203",2,1,NA,428000,2004-05-01,-33.9114254964103,151.135201561793,559.001011101036
94,"153 Wardell Road Dulwich Hill 2203",2,1,1,1e+05,2004-02-01,-33.905281016559,151.146928011974,833.974724630259
95,"151 Wardell Road Dulwich Hill 2203",2,1,1,1e+05,2004-02-01,-33.905281016559,151.146928011974,833.974724630259
96,"161A Wardell Road Dulwich Hill 2203",2,1,1,480000,2003-06-01,-33.9069778071283,151.145039233912,577.580809102957
97,"161 Wardell Road Dulwich Hill 2203",2,1,2,480000,2003-06-01,-33.9069778071283,151.145039233912,577.580809102957
98,"10/75 Hercules Street Dulwich Hill 2203",2,1,NA,415000,2003-04-01,-33.9076798753383,151.139585297154,410.047484061226
99,"2/4 Keith Street Dulwich Hill 2203",2,1,1,265000,2003-01-01,-33.9100823802455,151.141228653091,113.062714849014
100,"11/34 Terrace Road Dulwich Hill 2203",2,1,1,320000,2002-11-01,-33.9072966547251,151.137349675939,555.169020097123
101,"5/55 Garnet Street Dulwich Hill 2203",2,NA,NA,375000,2002-10-01,-33.9114254964103,151.135201561793,559.001011101036
102,"6/55 Garnet Street Dulwich Hill 2203",2,1,2,395000,2002-05-01,-33.9114254964103,151.135201561793,559.001011101036
103,"1/75 Hercules Street Dulwich Hill 2203",3,2,2,73000,2002-03-01,-33.9074954734684,151.139115323843,446.473238031616
