"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/124-126 Livingstone Road Marrickville 2204",3,2,1,1260000,2022-12-21,-33.9045556047487,151.15367544403,1030.23647183552
2,"2/19-23a Riverside Crescent Marrickville 2204",3,1,NA,1100000,2022-12-19,-33.9145979210337,151.140588694783,1164.7761356004
3,"3/116 Sydenham Road Marrickville 2204",3,2,2,1360000,2022-11-12,-33.9092541643927,151.16091078667,876.815990481197
4,"4/84 Illawarra Road Marrickville 2204",3,2,2,1785000,2022-09-24,-33.905595254109,151.16056193186,1141.00238328186
5,"1/63 Illawarra Road Marrickville 2204",2,1,1,1355000,2022-07-16,-33.9042588853763,151.162282652763,1355.90209704852
6,"5/19A Riverside Crescent Marrickville 2204",3,1,1,1145000,2022-06-22,-33.9145972504814,151.140588024231,1164.83222026124
7,"7/80-84 Illawarra Road Marrickville 2204",3,2,2,1465000,2022-06-15,-33.905408882492,151.160387504455,1148.23324270077
8,"2/19c Riverside Crescent Marrickville 2204",3,1,1,965000,2022-04-30,-33.9147542854374,151.140661198246,1159.56080979774
9,"Terrace 1/116 Sydenham Road Marrickville 2204",2,1,2,1230000,2022-04-12,-33.9092541643927,151.16091078667,876.815990481197
10,"12/39-43 Riverside Crescent Marrickville 2204",3,2,2,1535000,2022-03-04,-33.9143068175364,151.139786127554,1236.81777552942
11,"3/24-26 Perry Street Marrickville 2204",3,2,1,1600000,2021-11-03,-33.9017915045385,151.165567352979,1760.97373089423
12,"1/50A-54 George Street Marrickville 2204",2,2,1,1327000,2021-09-24,-33.9048725245078,151.151940892987,1000.22332657443
13,"6/24-26 Perry Street Marrickville 2204",3,2,2,1707500,2021-08-28,-33.9017915045385,151.165567352979,1760.97373089423
14,"7/67-69 Pile Street Marrickville 2204",3,2,2,1510000,2021-07-21,-33.9043575403767,151.152125630133,1055.52358069109
15,"7/132-134 Wardell Road Marrickville 2204",3,1,1,1175000,2021-07-21,-33.9043467696311,151.148755183047,1128.33887015474
16,"43/12-22 Newington Rd (enter via Philpott & Pritchard St) Marrickville 2204",3,2,1,1241000,2021-07-10,-33.9017889899676,151.168234306932,1930.6345700213
17,"14/67 Pile Street Marrickville 2204",3,2,1,1466000,2021-07-06,-33.9045253041687,151.151931756712,1038.73077504382
18,"1/14 Harney Street Marrickville 2204",3,1,NA,975000,2021-06-19,-33.908193769822,151.146955001702,847.46831047967
19,"12/67-69 Pile Street Marrickville 2204",3,2,2,1390000,2021-05-29,-33.9045300818535,151.152060167469,1036.97209459494
20,"13/67-69 Pile Street Marrickville 2204",3,2,2,1375000,2021-05-29,-33.9045253041687,151.151987664007,1038.17904110038
21,"7/23 George Street Marrickville 2204",2,2,1,1195000,2021-04-01,-33.9053064975447,151.150094024441,987.073820403872
22,"16/22 Newington Road Marrickville 2204",3,2,2,1195000,2020-08-17,-33.9017209708233,151.168587268874,1959.4765184106
23,"7/24 Perry Street Marrickville 2204",3,2,2,1300000,2020-06-30,-33.9017915045385,151.165567352979,1760.97373089423
24,"3/43 George Street Marrickville 2204",2,2,1,1050000,2020-04-22,-33.9053598902679,151.152249933757,943.361877545378
25,"1/16-18 Gorman Street Marrickville 2204",4,3,1,1392000,2020-01-15,-33.9071754524052,151.160242665168,985.903341971608
26,"5/23 George Street Marrickville 2204",2,1,1,874000,2019-07-20,-33.9053064975447,151.150094024441,987.073820403872
27,"3/14 Harney Street Marrickville 2204",3,2,NA,1040000,2019-06-22,-33.908193769822,151.146955001702,847.46831047967
28,"6/18 Gorman Street Marrickville 2204",2,3,1,1070000,2019-03-29,-33.9071754524052,151.160242665168,985.903341971608
29,"43/12-22 Newington Road Marrickville 2204",3,2,1,820000,2019-02-15,-33.9017889899676,151.168234306932,1930.6345700213
30,"5/1 Cowper Street Marrickville 2204",3,3,1,1010000,2018-11-20,-33.9027166571015,151.168500516176,1879.07939133544
31,"3/347A Livingstone Road Marrickville 2204",2,2,1,8e+05,2018-10-20,-33.9190547884996,151.142438245538,1150.30518737358
32,"3/347A Livingstone Road Marrickville 2204",2,2,1,8e+05,2018-10-20,-33.9190547884996,151.142438245538,1150.30518737358
33,"4/67-69 Pile Street Marrickville 2204",2,2,1,990000,2018-07-28,-33.9042468992547,151.151960255183,1069.26622505584
34,"20/198 Marrickville Road (Enter via Victoria Road) Marrickville 2204",2,2,1,790000,2018-06-06,-33.9123530378157,151.159555432927,612.367494204535
35,"5/54 George Street Marrickville 2204",2,2,1,1180000,2018-02-16,-33.9046619711,151.151950364538,1023.42032312821
36,"5/54 George Street Marrickville 2204",2,2,1,1180000,2018-02-16,-33.9046619711,151.151950364538,1023.42032312821
37,"1/130 Wardell Road Marrickville 2204",2,1,1,905000,2017-10-25,-33.9042155509369,151.148793153068,1140.72957939649
38,"2/124 Livingstone Road Marrickville 2204",3,2,1,1050000,2017-08-08,-33.9045556047487,151.15367544403,1030.23647183552
39,"2/19A Riverside Crescent Marrickville 2204",3,1,NA,970000,2017-05-20,-33.9147397009259,151.140400604876,1183.3911830498
40,"2/130 Wardell Road Marrickville 2204",2,1,1,1100000,2017-03-18,-33.9042155509369,151.148793153068,1140.72957939649
41,"9/132 Wardell Road Marrickville 2204",3,1,1,1e+06,2017-02-04,-33.9043467696311,151.148755183047,1128.33887015474
42,"1/24 Perry Street Marrickville 2204",3,1,2,1350000,2016-11-11,-33.9017915045385,151.165567352979,1760.97373089423
43,"5/19A Riverside Crescent Marrickville 2204",3,1,1,941000,2016-10-15,-33.9145972504814,151.140588024231,1164.83222026124
44,"3/50A-54 George Street Marrickville 2204",2,2,1,1015000,2016-09-15,-33.9047832991484,151.15194323992,1010.06909989218
45,"5/46 Henson St Marrickville 2204",2,1,2,975000,2016-07-23,-33.9150658407784,151.144630029399,800.532951178089
46,"41/12-22 Newington Road Marrickville 2204",3,2,1,932000,2016-07-09,-33.9019206277569,151.168160462365,1915.57251797369
47,"4/39-43 Riverside Cr Marrickville 2204",3,2,1,985000,2016-05-24,-33.9141628583493,151.139687388735,1245.30899223238
48,"3/19c Riverside Crescent Marrickville 2204",3,1,1,842500,2016-05-07,-33.9146810276037,151.140749794962,1150.68792195283
49,"7/39-43 Riverside Crescent Marrickville 2204",3,2,1,980000,2016-04-19,-33.9143341844503,151.139601725684,1253.97604344759
50,"1/1A Cowper Street Marrickville 2204",3,3,1,1175000,2016-03-01,-33.9027166571015,151.168500516176,1879.07939133544
51,"4/24-26 Perry Street Marrickville 2204",3,2,1,1e+06,2016-02-20,-33.9017915045385,151.165567352979,1760.97373089423
52,"9/12-22 Newington Road Marrickville 2204",3,2,1,939000,2016-02-20,-33.901502496517,151.168020149305,1938.79944264411
53,"9/39-43 Riverside Crescent Marrickville 2204",3,2,1,935000,2015-12-21,-33.9143662871394,151.139627877222,1251.73733827747
54,"16/12-22 Newington Road Marrickville 2204",3,2,2,930000,2015-11-14,-33.9017209708233,151.168587268874,1959.4765184106
55,"3/63 Illawarra Road Marrickville 2204",2,1,1,975000,2015-11-13,-33.9042588853763,151.162282652763,1355.90209704852
56,"5/137 Petersham Road Marrickville 2204",2,1,NA,570000,2015-08-22,-33.912459320348,151.153792203941,160.303112350389
57,"2/39-41 Riverside Crescent Marrickville 2204",3,2,1,1010000,2015-08-21,-33.9141212002906,151.139661153378,1247.59037633748
58,"67/525 Illawarra Road Marrickville 2204",2,2,1,875000,2015-07-15,-33.9194077085328,151.146587539067,870.802208988004
59,"10/50A George Street Marrickville 2204",2,2,1,950429,2015-06-13,-33.9047724445838,151.151607712336,1015.18431362251
60,"11/124 Livingstone Rd Marrickville 2204",3,2,1,1e+06,2014-08-30,-33.9045556047487,151.15367544403,1030.23647183552
61,"6/39-43 Riverside Crescent Marrickville 2204",3,2,1,765000,2014-07-19,-33.9141937875721,151.139709936054,1243.34338303681
62,"4/43 George Street Marrickville 2204",2,2,1,785000,2014-05-31,-33.9053598902679,151.152249933757,943.361877545378
63,"12/39-43 Riverside Crescent Marrickville 2204",3,2,2,740000,2014-04-13,-33.9143068175364,151.139786127554,1236.81777552942
64,"7/67-69 Pile Street Marrickville 2204",2,2,2,727000,2014-04-07,-33.9043575403767,151.152125630133,1055.52358069109
65,"8/67 Pile Street Marrickville 2204",2,2,2,745000,2014-03-19,-33.9043468534501,151.15195790825,1058.22272109791
66,"7-7a/347A Livingstone Road Marrickville 2204",2,2,1,687000,2014-02-24,-33.9190554171424,151.142467666018,1148.00142059946
67,"4/67-69 Pile Street Marrickville 2204",2,2,1,695000,2013-12-31,-33.9042468992547,151.151960255183,1069.26622505584
68,"9/132 Wardell Road Marrickville 2204",3,1,1,625000,2013-11-28,-33.9043467696311,151.148755183047,1128.33887015474
69,"6/24-26 Perry Street Marrickville 2204",3,2,2,882000,2013-09-19,-33.9017915045385,151.165567352979,1760.97373089423
70,"6/24-26 Perry Street Marrickville 2204",3,2,2,882000,2013-09-19,-33.9017915045385,151.165567352979,1760.97373089423
71,"6/24 Perry Street Marrickville 2204",3,2,2,882000,2013-09-19,-33.9017915045385,151.165567352979,1760.97373089423
72,"6/23 George Street Marrickville 2204",2,1,1,675000,2013-08-06,-33.9053064975447,151.150094024441,987.073820403872
73,"6/23 George St Marrickville 2204",2,1,1,675000,2013-08-06,-33.9053064975447,151.150094024441,987.073820403872
