"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/17 Rosetta Street Beverly Hills 2209",3,2,2,980000,2022-10-21,-33.9442118135952,151.075573792251,747.234420827482
2,"1/17 Rosetta Street Beverly Hills 2209",3,2,1,1015000,2022-08-12,-33.9442118135952,151.075573792251,747.234420827482
3,"1/49-51 Melvin Street Beverly Hills 2209",3,2,2,1175000,2022-03-19,-33.9505231352293,151.078080903309,334.971439425835
4,"1/57-59 Mountview Avenue Beverly Hills 2209",4,2,3,1250000,2021-07-05,-33.9520655730516,151.069672932415,1119.12879068164
5,"8/11-17 Broadarrow Road Beverly Hills 2209",3,2,2,1030000,2021-06-17,-33.9475346933806,151.074887649657,607.826414906262
6,"3/17 Rosetta Street Beverly Hills 2209",3,2,2,1e+06,2021-04-15,-33.9442118135952,151.075573792251,747.234420827482
7,"1/17 Rosetta Street Beverly Hills 2209",3,2,1,960000,2021-04-14,-33.9442118135952,151.075573792251,747.234420827482
8,"2/17 Rosetta Street Beverly Hills 2209",3,2,2,940000,2021-04-10,-33.9442118135952,151.075573792251,747.234420827482
9,"6/10 Midlothian Ave Beverly Hills 2209",2,2,1,860000,2021-03-17,-33.9442118135952,151.075573792251,747.234420827482
10,"7/10 Midlothian Ave Beverly Hills 2209",3,2,1,852000,2021-03-15,-33.9442118135952,151.075573792251,747.234420827482
11,"7/49-51 Melvin Street Beverly Hills 2209",3,2,1,970000,2020-07-07,-33.9505231352293,151.078080903309,334.971439425835
12,"3/68 Stoney Creek Road Beverly Hills 2209",2,1,1,605000,2020-03-16,-33.9565617097339,151.075577983202,988.319662510168
13,"2/64 Stoney Creek Road Beverly Hills 2209",2,1,1,630000,2017-08-08,-33.9566979575701,151.07532711284,1013.48949169542
14,"5/11-17 Broadarrow Rd Beverly Hills 2209",3,2,2,950000,2017-07-22,-33.9474984835589,151.075116307975,588.679440773014
15,"4/12 Zuttion Avenue Beverly Hills 2209",3,3,2,865000,2017-05-29,-33.944621646751,151.076095565723,680.936285384089
16,"2/64 Stoney Creek Road Beverly Hills 2209",2,1,1,520000,2015-12-17,-33.9566979575701,151.07532711284,1013.48949169542
17,"2/11-17 Broadarrow Road Beverly Hills 2209",4,2,2,1015000,2015-08-01,-33.9474359964707,151.075509586872,556.156855683021
18,"3/68 Stoney Creek Road Beverly Hills 2209",2,1,1,460000,2014-09-17,-33.9565617097339,151.075577983202,988.319662510168
19,"6/68 Stoney Creek Road Beverly Hills 2209",2,2,1,380000,2013-08-02,-33.9565617097339,151.075577983202,988.319662510168
20,"6/68 Stoney Creek Rd Beverly Hills 2209",2,2,1,380000,2013-08-02,-33.9565617097339,151.075577983202,988.319662510168
21,"2/68 Stoney Creek Road Beverly Hills 2209",2,1,1,4e+05,2013-06-03,-33.9565617097339,151.075577983202,988.319662510168
22,"2/51 Central Road Beverly Hills 2209",4,2,2,580000,2013-05-01,-33.9529443317805,151.068392596705,1262.74527184187
23,"12 Dennis Place Beverly Hills 2209",3,1,1,625000,2013-04-09,-33.9510919311787,151.077138023021,442.177873418404
24,"2/1-3 Mercury Street Beverly Hills 2209",3,1,1,642000,2013-04-08,-33.9555270895155,151.076941215935,825.376618662449
25,"2/1 Mercury Street Beverly Hills 2209",3,1,1,642000,2013-04-08,-33.9555270895155,151.076941215935,825.376618662449
26,"2/1-3 Mercury St Beverly Hills 2209",3,1,1,642000,2013-04-08,-33.9555270895155,151.076941215935,825.376618662449
27,"7/64 Stoney Creek Road Beverly Hills 2209",2,1,2,434000,2013-01-18,-33.9566979575701,151.07532711284,1013.48949169542
28,"7/33-37 Gardinia Street Beverly Hills 2209",3,1,2,525000,2012-10-01,-33.9525161003473,151.068304167627,1254.81132466933
29,"1/88 Shorter Avenue Beverly Hills 2209",3,2,2,6e+05,2012-05-14,-33.9407998341791,151.074804584996,1090.06173140267
30,"7/27-29 Stoddard Street Beverly Hills 2209",4,2,1,670000,2012-04-01,-33.9315411001125,151.073815017507,2062.31289506833
31,"2/15 Central Road Beverly Hills 2209",3,1,2,537000,2012-03-01,-33.956097352298,151.071004649192,1229.29398607025
32,"7/33 Gardinia Street Beverly Hills 2209",3,1,2,525000,2012-01-01,-33.9525161003473,151.068304167627,1254.81132466933
33,"6/51 Central Road Beverly Hills 2209",3,2,1,512000,2011-10-11,-33.9529443317805,151.068392596705,1262.74527184187
34,"1/82 Melvin Street Beverly Hills 2209",4,2,2,771000,2011-10-01,-33.9480172814559,151.076806937846,422.676086689465
35,"3/82 Melvin Street Beverly Hills 2209",3,2,1,650000,2011-09-03,-33.9480172814559,151.076806937846,422.676086689465
36,"22/11 Broadarrow Road Beverly Hills 2209",3,3,2,628000,2011-08-01,-33.9471579268329,151.075813933777,540.658961008306
37,"2/11 Broadarrow Road Beverly Hills 2209",3,2,2,7e+05,2011-07-01,-33.9474359964707,151.075509586872,556.156855683021
38,"17/11 Broadarrow Road Beverly Hills 2209",3,2,2,658000,2011-07-01,-33.9470904525123,151.075305571349,587.004161733224
39,"8/11 Broadarrow Road Beverly Hills 2209",3,2,2,6e+05,2011-07-01,-33.9475346933806,151.074887649657,607.826414906262
40,"15/11 Broadarrow Road Beverly Hills 2209",3,2,2,6e+05,2011-06-01,-33.947139821922,151.075083450915,604.218092068176
41,"16/11 Broadarrow Road Beverly Hills 2209",3,2,2,640000,2011-06-01,-33.9470888180412,151.075302218588,587.358864746531
42,"7/68 Stoney Creek Road Beverly Hills 2209",2,1,1,370000,2011-05-12,-33.9565617097339,151.075577983202,988.319662510168
43,"2/64 Stoney Creek Road Beverly Hills 2209",2,1,1,370000,2011-05-03,-33.9566979575701,151.07532711284,1013.48949169542
44,"3/49-51 Melvin STREET Beverly Hills 2209",3,2,1,585000,2011-05-01,-33.9505231352293,151.078080903309,334.971439425835
45,"5/11 Broadarrow Road Beverly Hills 2209",3,2,2,6e+05,2011-05-01,-33.9474984835589,151.075116307975,588.679440773014
46,"3/49 Melvin Street Beverly Hills 2209",3,2,1,585000,2011-04-01,-33.9505231352293,151.078080903309,334.971439425835
47,"8/1 Mercury Street Beverly Hills 2209",3,1,1,590000,2011-03-01,-33.9555270895155,151.076941215935,825.376618662449
48,"10/46 Melvin Street Beverly Hills 2209",3,NA,NA,550000,2011-03-01,-33.9499976318097,151.078969301227,234.873064313813
49,"8/1-3 MERCURY STREET Beverly Hills 2209",3,1,1,590000,2011-03-01,-33.9555270895155,151.076941215935,825.376618662449
50,"64 Stoney Creek Road Beverly Hills 2209",1,1,1,280000,2010-10-18,-33.9566979575701,151.07532711284,1013.48949169542
51,"6/11 Broadarrow Road Beverly Hills 2209",4,3,2,6e+05,2010-08-01,-33.9474984835589,151.075117984356,588.53116934517
52,"23/11 Broadarrow Road Beverly Hills 2209",3,2,2,6e+05,2010-08-01,-33.9472118643798,151.075656856911,551.869458487377
53,"5/211 Penshurst Street Beverly Hills 2209",3,2,1,728000,2010-05-01,-33.9505914477401,151.074612471775,634.984988355611
54,"10/10 Dennis Place Beverly Hills 2209",2,1,1,499000,2009-11-01,-33.9510130993794,151.076930822375,454.252262085444
55,"1/49 Melvin Street Beverly Hills 2209",3,2,2,551000,2009-08-01,-33.9505231352293,151.078080903309,334.971439425835
56,"4/1-3 Mercury Street Beverly Hills 2209",3,1,1,450000,2009-07-23,-33.9555270895155,151.076941215935,825.376618662449
57,"2/97 Stoney Creek Road Beverly Hills 2209",3,1,2,750000,2009-05-01,-33.9564710175416,151.077381517308,902.255140532688
58,"1/1 Hampden Street Beverly Hills 2209",3,2,2,423000,2008-09-01,-33.9530675876667,151.081821830516,454.152689014345
59,"3/1-3 Mercury Street Beverly Hills 2209",3,1,1,430000,2008-09-01,-33.9555270895155,151.076941215935,825.376618662449
60,"5/57 Mountview Avenue Beverly Hills 2209",4,2,2,4e+05,2008-07-01,-33.9520655730516,151.069672932415,1119.12879068164
61,"2/14 Holley Road Beverly Hills 2209",3,2,1,651000,2008-01-16,-33.9590690303403,151.071263566181,1448.23959610092
62,"2/14-16 Holley Rd Beverly Hills 2209",3,2,1,651000,2008-01-16,-33.9590690303403,151.071263566181,1448.23959610092
63,"1/14-16 Holley Rd Beverly Hills 2209",3,2,1,665000,2008-01-16,-33.9590690303403,151.071263566181,1448.23959610092
64,"2/14-16 Holley Road Beverly Hills 2209",3,2,1,655000,2007-12-07,-33.9590690303403,151.071263566181,1448.23959610092
65,"4/14-16 Holley Rd Beverly Hills 2209",3,2,1,655000,2007-12-07,-33.9590690303403,151.071263566181,1448.23959610092
66,"10 Wiruna Crescent Beverly Hills 2209",4,2,2,542500,2007-07-19,-33.9486640710145,151.074825539754,592.005273202871
67,"10 Wiruna Cres Beverly Hills 2209",4,2,2,542500,2007-07-19,-33.9486640710145,151.074825539754,592.005273202871
68,"4/68 Stoney Creek Road Beverly Hills 2209",2,1,1,320000,2007-07-01,-33.9565617097339,151.075577983202,988.319662510168
69,"4/14 Ponyara Road Beverly Hills 2209",3,2,2,455000,2007-04-01,-33.9438504278398,151.084863790816,666.364540220693
70,"4/51 Central Road Beverly Hills 2209",3,2,2,770000,2006-05-01,-33.9529443317805,151.068392596705,1262.74527184187
71,"2/12 Central Road Beverly Hills 2209",3,NA,NA,465000,2006-05-01,-33.9566114982388,151.070243320926,1319.93801485733
72,"1/203A Penshurst Street Beverly Hills 2209",3,2,2,410000,2006-04-01,-33.9511293563764,151.075085211115,613.496938211538
73,"16/75 Mountview Avenue Beverly Hills 2209",3,1,1,415000,2006-03-01,-33.9508325112755,151.068431572555,1198.25909053434
74,"1/2 Ponyara Road Beverly Hills 2209",3,1,1,410000,2005-09-01,-33.9432988147919,151.08542873109,745.837997844101
75,"14/207 Penshurst Street Beverly Hills 2209",3,2,NA,352000,2005-06-01,-33.9505123644837,151.075092084275,589.998219448512
76,"13/46 Melvin Street Beverly Hills 2209",3,NA,NA,395000,2005-03-01,-33.9499524533516,151.079502557907,189.816246456547
77,"9/46 Melvin Street Beverly Hills 2209",3,1,2,403500,2005-01-01,-33.95009628681,151.079025962892,235.649707494139
78,"6/46 Melvin Street Beverly Hills 2209",3,NA,NA,405000,2004-12-01,-33.950183374784,151.079542371947,202.195778961426
79,"5/217 Penshurst Street Beverly Hills 2209",3,2,NA,452000,2004-11-01,-33.9501795610181,151.074262024404,655.593134683045
