"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"39/28 Toomevara Street Kogarah 2217",3,2,1,980000,2023-03-14,-33.9703626809504,151.139825187223,1089.37073264006
2,"5 Cross Street Kogarah 2217",4,2,3,1570000,2022-10-20,-33.9631740674205,151.140907290923,782.995628222116
3,"5B Garrigarrang Avenue Kogarah 2217",2,2,1,835000,2022-09-08,-33.9788586199185,151.138802846493,1889.18331386018
4,"8 Garrigarrang Avenue Kogarah 2217",3,3,2,1375000,2022-09-02,-33.9799284441303,151.138468576194,1993.89274907524
5,"1/25-27 Austral Street Kogarah 2217",3,1,1,1260000,2022-08-11,-33.9731442574287,151.138373106317,1282.25342253154
6,"39/28 Toomevara Street Kogarah 2217",3,1,1,980000,2022-04-05,-33.9703626809504,151.139825187223,1089.37073264006
7,"2/32 Green Street Kogarah 2217",3,2,2,1290000,2021-10-27,-33.9630902064792,151.140326341214,728.897844275087
8,"5/14 Railway parade Kogarah 2217",3,2,1,790000,2021-10-07,-33.9584405971497,151.135156886249,539.016796449368
9,"20 Garrigarrang Avenue Kogarah 2217",3,3,2,1440000,2021-08-21,-33.9798910189326,151.138145453827,1981.76131600685
10,"24 Garrigarrang Avenue Kogarah 2217",3,3,2,1440000,2021-08-04,-33.9798767696972,151.138045541541,1977.80030366392
11,"16 Garrigarrang Avenue Kogarah 2217",3,3,2,1456000,2021-06-01,-33.9798972634505,151.138252323092,1985.07390422451
12,"1/40 Green Street Kogarah 2217",4,2,2,1450000,2021-06-01,-33.9631740674205,151.140907290923,782.995628222116
13,"4/5a Cross Street Kogarah 2217",4,2,2,1450000,2021-05-21,-33.9631740674205,151.140907290923,782.995628222116
14,"3/40-42 Green Street Kogarah 2217",4,2,2,1400000,2021-05-14,-33.9631740674205,151.140907290923,782.995628222116
15,"12 Garrigarrang Avenue Kogarah 2217",3,3,2,1405000,2021-04-20,-33.9799114707764,151.138359359996,1989.28675680623
16,"42/27 Toomevara Street Kogarah 2217",3,1,3,895000,2021-04-10,-33.970279783928,151.139263180615,1050.28604121625
17,"5/69 Marshall Street Kogarah 2217",3,2,2,945000,2021-02-16,-33.9702365752171,151.14071794373,1132.34199981032
18,"14/197-207 Princes Highway Kogarah 2217",3,2,2,812000,2020-12-10,-33.9705663611975,151.133478326319,877.774242512449
19,"5/14 Railway Parade Kogarah 2217",3,2,1,645000,2020-11-20,-33.9584405971497,151.135156886249,539.016796449368
20,"2/25-27 Austral Street Kogarah 2217",3,1,1,920000,2019-09-27,-33.9731442574287,151.138373106317,1282.25342253154
21,"1/69 Marshall Street Kogarah 2217",3,2,1,951000,2019-09-07,-33.9701595036174,151.140944171297,1140.29676217339
22,"2/31 French Lane Kogarah 2217",3,2,2,895000,2019-03-02,-33.9628801559857,151.140883067223,779.368390959662
23,"2/33 French Lane Kogarah 2217",3,2,2,985000,2018-07-21,-33.9628801559857,151.140883067223,779.368390959662
24,"4/25-27 Austral Street Kogarah 2217",3,2,1,1020000,2017-03-25,-33.9731442574287,151.138373106317,1282.25342253154
25,"9/69 Marshall Street Kogarah 2217",3,2,2,825000,2015-03-26,-33.9702080348368,151.140528009804,1118.21912625423
26,"6/6 Railway Parade Kogarah 2217",3,1,2,757000,2015-03-07,-33.9580520121185,151.135547650575,594.204624472825
27,"13/197 Princes Highway Kogarah 2217",3,2,2,763000,2014-11-24,-33.9705663611975,151.133478326319,877.774242512449
28,"3/6-10 RAILWAY PARADE Kogarah 2217",3,1,2,750000,2014-09-26,-33.9580586757316,151.135771363571,603.798939156386
29,"10/197 Princes Highway Kogarah 2217",3,2,2,728000,2014-09-05,-33.9705663611975,151.133478326319,877.774242512449
30,"5/69 Marshall Street Kogarah 2217",3,2,2,825000,2014-08-30,-33.9702365752171,151.14071794373,1132.34199981032
31,"8/6-10 Railway Parade North Kogarah 2217",3,1,2,711000,2014-05-05,-33.9581481106384,151.135634319454,588.818516884568
32,"39/28 Toomevara Street Kogarah 2217",3,1,1,610000,2014-05-03,-33.9703626809504,151.139825187223,1089.37073264006
33,"45/27 Toomevara Street Kogarah 2217",3,2,1,640000,2014-02-17,-33.9702460886772,151.139018512861,1033.86415425157
34,"1/30-32 GREEN ST Kogarah 2217",4,3,2,910000,2014-01-15,-33.9630902064792,151.140326341214,728.897844275087
35,"8/197-207 Princes Highway Kogarah 2217",3,2,2,654000,2013-09-13,-33.9705663611975,151.133478326319,877.774242512449
36,"3/6 Railway Parade Kogarah 2217",3,1,2,6e+05,2013-08-14,-33.9580586757316,151.135771363571,603.798939156386
37,"28 Toomevara Street Kogarah 2217",3,2,2,588400,2013-07-18,-33.9705798979712,151.139365523653,1082.76176014532
38,"3/6 Railway Parade Kogarah 2217",3,1,2,6e+05,2013-07-01,-33.9580586757316,151.135771363571,603.798939156386
39,"5/33-37 Austral Street Kogarah 2217",2,1,1,525000,2013-03-01,-33.9732254361609,151.138933604182,1313.21864367083
40,"10/69 Marshall Street Kogarah 2217",3,2,2,622000,2012-11-16,-33.970260128365,151.140515939864,1121.80323547457
41,"12/69 Marshall Street Kogarah 2217",3,2,1,596000,2012-10-09,-33.9702130220692,151.140340338992,1107.14720677681
42,"9/33 Railway Street Kogarah 2217",2,NA,NA,550000,2011-12-01,-33.965710724688,151.129916268927,405.837371042281
43,"5/19 Austral Street Kogarah 2217",3,2,1,540000,2011-08-30,-33.9733400586868,151.13810186793,1291.66826249332
44,"42/27 Toomevara Street Kogarah 2217",3,1,2,575000,2011-06-09,-33.970279783928,151.139263180615,1050.28604121625
45,"4/26 Green Street Kogarah 2217",3,1,1,532500,2011-03-01,-33.9630530746482,151.140072788643,705.300792852785
46,"14/27 Toomevarra Street Kogarah 2217",3,2,1,510000,2011-02-01,-33.9705263795194,151.139116748767,1064.5029240787
47,"12/197 Princes Highway Kogarah 2217",3,2,2,6e+05,2010-12-01,-33.9705663611975,151.133478326319,877.774242512449
48,"14/27 Toomevara Street Kogarah 2217",3,2,1,735000,2010-12-01,-33.9705263795194,151.139116748767,1064.5029240787
49,"13/14-20 Railway Parade Kogarah 2217",3,2,1,572000,2010-10-19,-33.9585750428767,151.13513433893,524.822104794898
50,"7/27 French Street Kogarah 2217",3,2,1,550000,2010-04-10,-33.9626441215922,151.140300608771,725.467936194831
51,"2/197 Princes Highway Kogarah 2217",3,2,2,850000,2010-01-01,-33.9705663611975,151.133478326319,877.774242512449
52,"1/197 Princes Highway Kogarah 2217",3,2,3,479000,2009-12-15,-33.9705663611975,151.133478326319,877.774242512449
53,"5/22 Green Street Kogarah 2217",3,2,2,625000,2009-12-01,-33.9630193793974,151.13983843063,683.504172459762
54,"5/1 French Street Kogarah 2217",3,2,2,560000,2009-08-27,-33.9622387308452,151.13845332113,557.518547362544
55,"44/27 Toomevara Street Kogarah 2217",3,1,2,450000,2009-07-16,-33.9702538000281,151.139076264174,1037.69649371453
56,"8/14 Railway Parade Kogarah 2217",3,2,3,430000,2009-07-07,-33.9583965921581,151.135010622039,537.266741165488
57,"3/11 French Street Kogarah 2217",3,2,1,540000,2009-06-16,-33.9623359190125,151.139129237802,618.799154907049
58,"1/1 French Street Kogarah 2217",3,2,2,630000,2009-05-21,-33.9622387308452,151.13845332113,557.518547362544
59,"14/197 Princes Highway Kogarah 2217",3,2,2,485000,2009-03-01,-33.9705663611975,151.133478326319,877.774242512449
60,"10/197 Princes Highway Kogarah 2217",3,2,2,796000,2008-10-01,-33.9705663611975,151.133478326319,877.774242512449
61,"6/33 Austral Street Kogarah 2217",3,2,1,480000,2008-09-01,-33.9732254361609,151.138933604182,1313.21864367083
62,"8/197-207 Princes Highway Kogarah 2217",3,2,2,499950,2008-06-12,-33.9705663611975,151.133478326319,877.774242512449
63,"36/28 Toomevara Street Kogarah 2217",3,1,2,430000,2008-05-09,-33.9703733678769,151.139696776466,1082.92849570088
64,"24/28 Toomevara Street Kogarah 2217",3,1,NA,825000,2008-01-01,-33.9709373023226,151.139613460349,1128.39965334897
65,"23/28 Toomevara Street Kogarah 2217",3,1,2,440000,2007-11-01,-33.9708147588981,151.13963843842,1118.74844818466
66,"5/55 Austral Street Kogarah 2217",2,1,1,385000,2007-11-01,-33.9735573176171,151.14024101344,1404.08750567386
67,"3/55 Austral Street Kogarah 2217",3,1,2,950000,2007-10-01,-33.973380040365,151.140287449183,1389.41087856835
68,"33/27 Toomevara Street Kogarah 2217",3,NA,NA,415000,2007-09-01,-33.970326010124,151.139554954665,1070.71212234871
69,"2/22 Railway Parade Kogarah 2217",3,2,1,435000,2007-08-01,-33.9585841791511,151.134906267344,514.276084626346
70,"13/27 Toomevara Street Kogarah 2217",3,1,1,398000,2007-07-01,-33.9706486714867,151.139088837029,1074.15956669265
71,"41/27 Toomevara Street Kogarah 2217",3,1,1,930000,2007-06-01,-33.9702980983864,151.13937876706,1058.34016870183
