"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/110-112 Wilson Parade Heathcote 2233",2,1,1,850000,2022-10-21,-34.087022721808,151.010405668528,236.890262902118
2,"18/41 Bottle Forest Road Heathcote 2233",3,1,1,815000,2022-08-24,-34.0844204342386,151.013435810345,630.3575326703
3,"8/41 Bottle Forest Road Heathcote 2233",3,1,1,820000,2022-08-24,-34.084255310746,151.012688563677,590.866221290939
4,"4/5 Blacket Street Heathcote 2233",3,1,1,1060000,2022-02-11,-34.083485726306,151.010088413493,530.759919195454
5,"1/14 Strickland Street Heathcote 2233",3,2,2,1030000,2022-01-29,-34.0852584569181,151.008195528299,300.844610685289
6,"4/8 Blacket Street Heathcote 2233",3,2,2,1200000,2021-12-16,-34.0841557337363,151.009719693572,449.063855696801
7,"4/10-12 Strickland Street Heathcote 2233",2,1,1,875000,2021-11-29,-34.0853013303528,151.008640020624,300.118027316464
8,"1/1 Rosebery Street Heathcote 2233",4,2,2,1400000,2021-09-03,-34.0834736982749,151.0070059686,509.450996325409
9,"7/1 Rosebery Street Heathcote 2233",4,2,2,1225000,2021-07-22,-34.0834736982749,151.0070059686,509.450996325409
10,"10/1 Rosebery Street Heathcote 2233",4,2,2,1175000,2021-06-25,-34.0834736982749,151.0070059686,509.450996325409
11,"11/1 Rosebery Street Heathcote 2233",4,2,2,1175000,2021-06-22,-34.0834736982749,151.0070059686,509.450996325409
12,"12/1 Rosebery Street Heathcote 2233",3,2,2,1300000,2021-06-15,-34.0834736982749,151.0070059686,509.450996325409
13,"3/8 Blacket Street Heathcote 2233",3,2,2,1072500,2021-04-08,-34.0841557337363,151.009719693572,449.063855696801
14,"7/10-12 Strickland Street Heathcote 2233",3,2,2,970000,2021-03-18,-34.0854783561479,151.00859618327,280.014802558302
15,"11/10-12 Strickland Street Heathcote 2233",3,1,1,760000,2021-02-04,-34.0852756398196,151.008438184396,300.434079300191
16,"7/43 Bottle Forest Road Heathcote 2233",3,1,2,850000,2021-01-23,-34.0838337848353,151.013449891942,674.060234810217
17,"13/82 Wilson Parade Heathcote 2233",3,2,2,815000,2020-06-30,-34.0840335674975,151.012403662788,590.382625936061
18,"12/10-12 Strickland Street Heathcote 2233",3,2,2,810000,2020-04-29,-34.0853365343461,151.008423013151,293.547302244914
19,"5/8 Blacket Street Heathcote 2233",4,2,2,1100000,2020-03-19,-34.0841557337363,151.009719693572,449.063855696801
20,"8/43 Bottle Forest Road Heathcote 2233",3,1,1,810000,2020-03-09,-34.0838450584951,151.013545194181,679.670962609615
21,"1/8 Blacket Street Heathcote 2233",4,2,2,1200000,2020-02-25,-34.0841557337363,151.009719693572,449.063855696801
22,"4/10-12 Strickland Street Heathcote 2233",2,2,1,680000,2019-11-18,-34.0853013303528,151.008640020624,300.118027316464
23,"11/43 Bottle Forest Road Heathcote 2233",3,1,2,807000,2019-11-16,-34.0839926219005,151.013867981273,691.336026048121
24,"22/41 Bottle Forest Road Heathcote 2233",3,2,1,832500,2019-11-08,-34.0845194664246,151.012961310806,589.616714387537
