"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"21 Constance Avenue Schofields 2762",2,2,1,710000,2023-03-28,-33.7021669250457,150.868784110466,545.369672230318
2,"44 Godfrey Glade Schofields 2762",4,2,1,902000,2023-03-24,-33.7093723442915,150.892796167588,1830.32986395904
3,"13 Cottage Gl Schofields 2762",3,2,1,866000,2023-03-24,-33.707421749694,150.893012588328,1799.78258776167
4,"16 Amritsar Glade Schofields 2762",4,2,1,840000,2023-03-21,-33.7112738628459,150.882339072825,1077.38735696302
5,"33 Jacqui Avenue Schofields 2762",3,2,1,910000,2023-03-05,-33.7078334268685,150.883323862629,945.107188031091
6,"11 Wilbur Glade Schofields 2762",3,2,1,850000,2023-03-03,-33.7110189691703,150.892470027736,1863.27755936376
7,"20 Cottage Glade Schofields 2762",4,2,1,910000,2023-03-02,-33.707421749694,150.893012588328,1799.78258776167
8,"1 Amritsar Glade Schofields 2762",4,2,1,820000,2023-02-25,-33.710871741041,150.882713827716,1073.45760939188
9,"5 Cottage Glade Schofields 2762",4,2,1,9e+05,2023-02-17,-33.707421749694,150.893012588328,1799.78258776167
10,"46 Godfrey Glade Schofields 2762",4,2,1,9e+05,2023-02-16,-33.7093723442915,150.892796167588,1830.32986395904
11,"64 Neptune Circuit Schofields 2762",4,2,1,937500,2023-02-12,-33.7110189691703,150.892470027736,1863.27755936376
12,"12 Neptune Circuit Schofields 2762",4,2,1,903000,2023-02-06,-33.7101268832153,150.891684224313,1759.33018702552
13,"6 Amritsar Glade Schofields 2762",4,2,2,8e+05,2023-02-01,-33.7109985592361,150.882525234894,1069.47989585706
14,"53 Sciberras Avenue Schofields 2762",4,2,1,885000,2023-01-30,-33.6994498892219,150.890116473143,1611.92191532609
15,"23 Cottage Glade Schofields 2762",4,2,1,875000,2022-12-09,-33.707421749694,150.893012588328,1799.78258776167
16,"4/22 Westminster Street Schofields 2762",3,1,1,695000,2022-11-18,-33.6920813162309,150.870993580143,1423.15079689774
17,"14 Cottage Glade Schofields 2762",4,2,1,875000,2022-11-04,-33.707421749694,150.893012588328,1799.78258776167
18,"18 Bessie Glade Schofields 2762",4,2,2,915000,2022-10-28,-33.7093723442915,150.892796167588,1830.32986395904
19,"7 Amritsar Glade Schofields 2762",4,2,1,828000,2022-10-12,-33.7110490182932,150.88269010693,1084.65883914317
20,"18 Cirrus Street Schofields 2762",4,2,1,960000,2022-09-08,-33.7088013690472,150.891051809718,1657.40236781795
21,"20 Raspberry Crescent Schofields 2762",4,2,1,845000,2022-08-18,-33.6982169950838,150.885618408623,1302.13300816686
22,"69 Aerodrome Drive Schofields 2762",3,2,2,1056500,2022-07-22,-33.7092809396373,150.869396408493,662.06800152564
23,"12 Raspberry Crescent Schofields 2762",4,2,1,855000,2022-07-22,-33.6982169950838,150.885618408623,1302.13300816686
24,"11/25 - 29 Grange Avenue Schofields 2762",3,2,1,8e+05,2022-07-15,-33.6974351730651,150.867476868847,996.782591081652
25,"13 Christy Drive Schofields 2762",3,2,2,890000,2022-06-28,-33.7094338674608,150.870208531092,632.131084841538
